VALEUR,#triolet,#lisette,#frosine,#jacinte,#orgon,#la-marquise,#champagne,#dorante,#la-joueuse,#lisette #la-joueuse,#le-chevalier
Fréquences (scènes),0.42592592592592593,0.3148148148148148,0.16666666666666666,0.2777777777777778,0.2962962962962963,0.18518518518518517,0.018518518518518517,0.24074074074074073,0.35185185185185186,0.018518518518518517,0.2222222222222222
Fréquences(répliques),0.05263157894736842,0.0,0.3026315789473684,0.47368421052631576,0.17105263157894737,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.12867647058823528,0.12867647058823528,0.0625,0.1213235294117647,0.14338235294117646,0.11397058823529412,0.014705882352941176,0.11397058823529412,0.09191176470588236,0.007352941176470588,0.07352941176470588
Déviations,#triolet,#lisette,#frosine,#jacinte,#orgon,#la-marquise,#champagne,#dorante,#la-joueuse,#lisette #la-joueuse,#le-chevalier
#triolet,17.7962962962963,1.05148242872028,1.2246376811594206,0.8932367149758457,1.1626409017713366,0.015780998389693966,0.42592592592592593,1.1624550972377052,4.586871768793967,0.42592592592592593,1.8937198067632846
#lisette,1.0514824287202806,25.35185185185185,2.8333333333333335,0.1104575163398693,0.1840958605664491,1.0893246187363836,1.4912854030501095,0.002094855036031505,2.6502121316362803,1.4912854030501095,0.8366013071895425
#frosine,1.22463768115942,2.8333333333333335,37.5,0.1,0.041666666666666706,1.0666666666666669,0.16666666666666666,0.6282051282051281,1.4824561403508774,0.16666666666666666,2.0
#jacinte,0.8932367149758457,0.1104575163398693,0.1,28.166666666666657,0.5444444444444443,1.7777777777777781,0.2777777777777778,0.5341880341880345,0.9830409356725146,0.2777777777777778,0.03333333333333328
#orgon,1.1626409017713366,0.18409586056644872,0.041666666666666706,0.5444444444444443,26.740740740740744,8.562962962962965,1.6712962962962965,0.34223646723646733,0.47173489278752445,0.2962962962962963,0.6805555555555554
#la-marquise,0.015780998389694073,1.0893246187363832,1.0666666666666669,1.7777777777777781,8.562962962962965,35.85185185185186,3.5851851851851864,1.0535612535612535,1.802729044834308,0.18518518518518517,2.2222222222222223
#champagne,0.42592592592592593,1.4912854030501086,0.16666666666666666,0.2777777777777778,1.6712962962962965,3.5851851851851864,52.018518518518526,2.3945868945868947,0.35185185185185186,0.018518518518518517,0.2222222222222222
#dorante,1.1624550972377061,0.002094855036031505,0.6282051282051281,0.5341880341880342,0.34223646723646733,1.0535612535612535,2.3945868945868947,31.12962962962963,0.07204978257609844,0.24074074074074073,0.4273504273504274
#la-joueuse,4.586871768793967,2.6502121316362803,1.4824561403508771,0.9830409356725146,0.47173489278752445,1.8027290448343076,0.35185185185185186,0.07204978257609825,22.685185185185187,1.1939571150097466,1.8274853801169588
#lisette #la-joueuse,0.42592592592592593,1.4912854030501086,0.16666666666666666,0.2777777777777778,0.2962962962962963,0.18518518518518517,0.018518518518518517,0.24074074074074073,1.1939571150097466,52.018518518518526,0.2222222222222222
#le-chevalier,1.8937198067632846,0.8366013071895425,2.0,0.03333333333333336,0.6805555555555554,2.2222222222222223,0.2222222222222222,0.4273504273504274,1.8274853801169588,0.2222222222222222,32.66666666666668
Successions,#triolet,#lisette,#frosine,#jacinte,#orgon,#la-marquise,#champagne,#dorante,#la-joueuse,#lisette #la-joueuse,#le-chevalier
#triolet,0.0078125,0.2734375,0.2265625,0.125,0.0390625,0.109375,0.0,0.0234375,0.1171875,0.0,0.078125
#lisette,0.30275229357798167,0.0,0.0,0.13761467889908258,0.11009174311926606,0.05504587155963303,0.0,0.045871559633027525,0.24770642201834864,0.0,0.10091743119266056
#frosine,0.45161290322580644,0.0,0.016129032258064516,0.3064516129032258,0.0967741935483871,0.11290322580645161,0.0,0.016129032258064516,0.0,0.0,0.0
#jacinte,0.2375,0.175,0.2375,0.0,0.075,0.1,0.0,0.075,0.0875,0.0,0.0125
#orgon,0.09722222222222222,0.1527777777777778,0.09722222222222222,0.013888888888888888,0.041666666666666664,0.3611111111111111,0.0,0.09722222222222222,0.125,0.0,0.013888888888888888
#la-marquise,0.13580246913580246,0.07407407407407407,0.06172839506172839,0.13580246913580246,0.3333333333333333,0.0,0.037037037037037035,0.18518518518518517,0.037037037037037035,0.0,0.0
#champagne,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#dorante,0.0547945205479452,0.0821917808219178,0.0,0.1095890410958904,0.0684931506849315,0.1917808219178082,0.0,0.0,0.273972602739726,0.0,0.2191780821917808
#la-joueuse,0.11382113821138211,0.21138211382113822,0.008130081300813009,0.06504065040650407,0.04878048780487805,0.024390243902439025,0.0,0.14634146341463414,0.008130081300813009,0.008130081300813009,0.36585365853658536
#lisette #la-joueuse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#le-chevalier,0.13095238095238096,0.13095238095238096,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0,0.21428571428571427,0.47619047619047616,0.0,0.0
