VALEUR,#florice,#alcandre,#circeine,#clorian,#palinice,#cerinte,#arimant,#sileine
Fréquences (scènes),0.37037037037037035,0.2962962962962963,0.4444444444444444,0.2962962962962963,0.25925925925925924,0.3333333333333333,0.2962962962962963,0.18518518518518517
Fréquences(répliques),0.13937058445728967,0.18240205523442518,0.19396274887604367,0.1245985870263327,0.0783558124598587,0.07642903018625562,0.1457931920359666,0.05908798972382787
Confrontation,0.15476190476190477,0.1130952380952381,0.16071428571428573,0.1130952380952381,0.11904761904761904,0.14285714285714285,0.08928571428571429,0.10714285714285714
Déviations,#florice,#alcandre,#circeine,#clorian,#palinice,#cerinte,#arimant,#sileine
#florice,10.703703703703706,0.0004629629629629671,0.06944444444444439,0.31296296296296283,0.764021164021164,2.1333333333333337,0.0004629629629629671,0.7118518518518522
#alcandre,0.0004629629629629671,13.370370370370372,0.5868055555555557,0.05787037037037033,0.4133597883597885,0.1666666666666666,0.05787037037037033,0.18148148148148155
#circeine,0.06944444444444439,0.5868055555555557,8.333333333333336,0.05555555555555561,0.25396825396825423,0.0,0.6805555555555554,0.27222222222222214
#clorian,0.31296296296296283,0.05787037037037033,0.05555555555555561,13.370370370370372,0.4133597883597885,0.041666666666666706,0.05787037037037033,1.5564814814814816
#palinice,0.764021164021164,0.4133597883597885,0.25396825396825423,0.4133597883597885,14.814814814814815,0.04761904761904754,0.5562169312169312,2.2391534391534393
#cerinte,2.1333333333333337,0.1666666666666666,0.0,0.041666666666666706,0.04761904761904754,12.0,0.6666666666666669,1.0666666666666669
#arimant,0.0004629629629629671,0.05787037037037033,0.6805555555555554,0.05787037037037033,0.5562169312169312,0.6666666666666669,13.370370370370372,0.15648148148148142
#sileine,0.7118518518518522,0.18148148148148155,0.27222222222222214,1.5564814814814816,2.2391534391534393,1.0666666666666669,0.15648148148148142,17.92592592592593
Successions,#florice,#alcandre,#circeine,#clorian,#palinice,#cerinte,#arimant,#sileine
#florice,0.013888888888888888,0.25,0.25,0.027777777777777776,0.027777777777777776,0.3194444444444444,0.08333333333333333,0.027777777777777776
#alcandre,0.3,0.016666666666666666,0.4,0.05,0.03333333333333333,0.03333333333333333,0.15,0.016666666666666666
#circeine,0.16279069767441862,0.26744186046511625,0.0,0.12790697674418605,0.1511627906976744,0.046511627906976744,0.20930232558139536,0.03488372093023256
#clorian,0.020833333333333332,0.10416666666666667,0.25,0.0,0.16666666666666666,0.041666666666666664,0.20833333333333334,0.20833333333333334
#palinice,0.22857142857142856,0.11428571428571428,0.22857142857142856,0.22857142857142856,0.0,0.02857142857142857,0.0,0.17142857142857143
#cerinte,0.26666666666666666,0.044444444444444446,0.1111111111111111,0.06666666666666667,0.022222222222222223,0.0,0.4,0.08888888888888889
#arimant,0.2698412698412698,0.1111111111111111,0.2698412698412698,0.14285714285714285,0.0,0.1746031746031746,0.0,0.031746031746031744
#sileine,0.06896551724137931,0.0,0.06896551724137931,0.41379310344827586,0.3103448275862069,0.034482758620689655,0.06896551724137931,0.034482758620689655
