VALEUR,#monsieur-josse,#monsieur-griffet,#madame-josse,#nannette,#babet,#monsieur-brice,#champagne,#monsieur-du-rus,#monsieur-de-l-orme,#marote,#madame-brice,#nicole,#nicodeme,#adrienne
Fréquences (scènes),0.4,0.13333333333333333,0.8666666666666667,0.5333333333333333,0.4666666666666667,0.4,0.13333333333333333,0.2,0.2,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667
Fréquences(répliques),0.24008810572687225,0.0671806167400881,0.1696035242290749,0.08259911894273128,0.04515418502202643,0.11343612334801761,0.006607929515418502,0.040748898678414094,0.019823788546255508,0.02643171806167401,0.07929515418502203,0.011013215859030838,0.06387665198237885,0.034140969162995596
Confrontation,0.06557377049180328,0.040983606557377046,0.1721311475409836,0.13934426229508196,0.12704918032786885,0.11885245901639344,0.01639344262295082,0.06147540983606557,0.06147540983606557,0.012295081967213115,0.06967213114754098,0.040983606557377046,0.036885245901639344,0.036885245901639344
Déviations,#monsieur-josse,#monsieur-griffet,#madame-josse,#nannette,#babet,#monsieur-brice,#champagne,#monsieur-du-rus,#monsieur-de-l-orme,#marote,#madame-brice,#nicole,#nicodeme,#adrienne
#monsieur-josse,5.399999999999998,1.7999999999999998,0.276923076923077,0.4500000000000001,0.22857142857142848,0.816666666666667,0.8000000000000002,1.2000000000000002,1.2000000000000002,0.4000000000000001,0.533333333333333,0.049999999999999975,0.8999999999999999,0.8999999999999999
#monsieur-griffet,1.7999999999999998,11.266666666666667,0.3102564102564103,0.004166666666666665,0.00476190476190476,0.049999999999999975,0.26666666666666666,0.4000000000000001,0.4000000000000001,0.13333333333333333,0.8999999999999999,2.016666666666667,5.633333333333334,5.633333333333334
#madame-josse,0.276923076923077,0.3102564102564103,0.2666666666666664,0.16410256410256402,0.14358974358974366,0.12307692307692301,0.041025641025641005,0.06153846153846151,0.06153846153846151,0.020512820512820502,0.06153846153846151,0.041025641025641005,0.020512820512820502,0.020512820512820502
#nannette,0.4500000000000001,0.004166666666666665,0.16410256410256402,3.266666666666667,1.376190476190476,1.0124999999999997,1.0666666666666667,1.2249999999999999,1.2249999999999999,0.4083333333333334,0.09999999999999995,0.004166666666666665,0.4083333333333334,0.4083333333333334
#babet,0.2285714285714287,0.00476190476190476,0.14358974358974366,1.376190476190476,4.266666666666667,0.514285714285714,0.00476190476190476,0.257142857142857,0.257142857142857,0.6095238095238095,0.257142857142857,0.00476190476190476,0.6095238095238095,0.6095238095238095
#monsieur-brice,0.816666666666667,0.049999999999999975,0.12307692307692301,1.0124999999999997,0.5142857142857145,5.399999999999998,0.049999999999999975,2.699999999999999,2.699999999999999,0.4000000000000001,0.533333333333333,0.049999999999999975,0.8999999999999999,0.8999999999999999
#champagne,0.8000000000000002,0.26666666666666666,0.041025641025641005,1.0666666666666667,0.00476190476190476,0.049999999999999975,11.266666666666667,0.4000000000000001,0.4000000000000001,0.13333333333333333,0.4000000000000001,0.26666666666666666,0.13333333333333333,0.13333333333333333
#monsieur-du-rus,1.2000000000000002,0.4000000000000001,0.06153846153846151,1.2249999999999999,0.25714285714285723,2.699999999999999,0.4000000000000001,9.599999999999998,9.599999999999998,0.20000000000000004,0.2666666666666665,0.4000000000000001,0.20000000000000004,0.20000000000000004
#monsieur-du-rus,1.2000000000000002,0.4000000000000001,0.06153846153846151,1.2249999999999999,0.25714285714285723,2.699999999999999,0.4000000000000001,9.599999999999998,9.599999999999998,0.20000000000000004,0.2666666666666665,0.4000000000000001,0.20000000000000004,0.20000000000000004
#marote,0.4000000000000001,0.13333333333333333,0.020512820512820502,0.4083333333333334,0.6095238095238095,0.4000000000000001,0.13333333333333333,0.20000000000000004,0.20000000000000004,13.066666666666668,0.20000000000000004,0.13333333333333333,0.06666666666666667,0.06666666666666667
#madame-brice,0.533333333333333,0.8999999999999999,0.06153846153846151,0.09999999999999995,0.25714285714285723,0.533333333333333,0.4000000000000001,0.2666666666666665,0.2666666666666665,0.20000000000000004,9.599999999999998,0.8999999999999999,3.2000000000000006,3.2000000000000006
#nicole,0.049999999999999975,2.016666666666667,0.041025641025641005,0.004166666666666665,0.00476190476190476,0.049999999999999975,0.26666666666666666,0.4000000000000001,0.4000000000000001,0.13333333333333333,0.8999999999999999,11.266666666666667,5.633333333333334,5.633333333333334
#nicodeme,0.8999999999999999,5.633333333333334,0.020512820512820502,0.4083333333333334,0.6095238095238095,0.8999999999999999,0.13333333333333333,0.20000000000000004,0.20000000000000004,0.06666666666666667,3.2000000000000006,5.633333333333334,13.066666666666668,13.066666666666668
#nicodeme,0.8999999999999999,5.633333333333334,0.020512820512820502,0.4083333333333334,0.6095238095238095,0.8999999999999999,0.13333333333333333,0.20000000000000004,0.20000000000000004,0.06666666666666667,3.2000000000000006,5.633333333333334,13.066666666666668,13.066666666666668
Successions,#monsieur-josse,#monsieur-griffet,#madame-josse,#nannette,#babet,#monsieur-brice,#champagne,#monsieur-du-rus,#monsieur-de-l-orme,#marote,#madame-brice,#nicole,#nicodeme,#adrienne
#monsieur-josse,0.0,0.22580645161290322,0.3064516129032258,0.0967741935483871,0.12903225806451613,0.03225806451612903,0.0,0.0,0.0,0.0,0.11290322580645161,0.04838709677419355,0.03225806451612903,0.016129032258064516
#monsieur-griffet,0.6363636363636364,0.0,0.09090909090909091,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.045454545454545456,0.045454545454545456
#madame-josse,0.3508771929824561,0.03508771929824561,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.17543859649122806,0.05263157894736842,0.07017543859649122,0.07017543859649122,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.0
#nannette,0.3333333333333333,0.0,0.1111111111111111,0.0,0.2962962962962963,0.07407407407407407,0.0,0.0,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.0,0.0,0.0
#babet,0.14285714285714285,0.0,0.047619047619047616,0.6190476190476191,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0
#monsieur-brice,0.038461538461538464,0.07692307692307693,0.38461538461538464,0.0,0.038461538461538464,0.0,0.0,0.11538461538461539,0.07692307692307693,0.0,0.11538461538461539,0.0,0.11538461538461539,0.038461538461538464
#champagne,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-du-rus,0.0,0.0,0.36363636363636365,0.09090909090909091,0.0,0.36363636363636365,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0
#monsieur-de-l-orme,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
#marote,0.0,0.0,0.5,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-brice,0.2727272727272727,0.18181818181818182,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
#nicole,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nicodeme,0.38461538461538464,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.38461538461538464
#adrienne,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5,0.0
