VALEUR,#un-senateur,#un-autre-senateur,#sicinie,#coriolan,#sancine,#aufidie,#un-second-senateur,#verginie,#velumnie,#camille,#lieutenant-des-volques,#un-autre-lieutenant,#un-soldat-des-volques,#un-lieutenant,#un-volque
Fréquences (scènes),0.1111111111111111,0.07407407407407407,0.14814814814814814,0.5555555555555556,0.2962962962962963,0.3333333333333333,0.037037037037037035,0.25925925925925924,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.04278812974465148,0.026224982746721876,0.0738440303657695,0.2726017943409248,0.08764665286404417,0.18219461697722567,0.028985507246376812,0.1766735679779158,0.06970324361628709,0.018633540372670808,0.004140786749482402,0.0027605244996549345,0.002070393374741201,0.00759144237405107,0.004140786749482402
Confrontation,0.07142857142857142,0.05952380952380952,0.08333333333333333,0.19047619047619047,0.09523809523809523,0.13095238095238096,0.03571428571428571,0.09523809523809523,0.05952380952380952,0.023809523809523808,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.023809523809523808,0.023809523809523808
Déviations,#un-senateur,#un-autre-senateur,#sicinie,#coriolan,#sancine,#aufidie,#un-second-senateur,#verginie,#velumnie,#camille,#lieutenant-des-volques,#un-autre-lieutenant,#un-soldat-des-volques,#un-lieutenant,#un-volque
#un-senateur,21.333333333333332,14.222222222222221,5.444444444444445,1.6666666666666667,0.8888888888888888,1.0,7.111111111111111,0.06349206349206356,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#un-autre-senateur,14.222222222222221,23.148148148148152,9.796296296296296,1.1111111111111112,0.5925925925925926,0.6666666666666666,11.574074074074076,0.5185185185185185,0.2222222222222222,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
#sicinie,5.444444444444445,9.796296296296296,19.59259259259259,0.6722222222222223,1.1851851851851851,0.0833333333333333,4.898148148148148,1.037037037037037,0.4444444444444444,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814
#coriolan,1.6666666666666665,1.1111111111111112,0.6722222222222223,5.333333333333332,0.06944444444444439,0.2,0.5555555555555556,0.9174603174603174,0.06666666666666674,1.1111111111111112,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.3555555555555555,0.3555555555555555
#sancine,0.8888888888888888,0.5925925925925926,1.1851851851851851,0.06944444444444439,13.370370370370372,0.041666666666666706,0.2962962962962963,2.074074074074074,0.8888888888888888,0.5925925925925926,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963
#aufidie,1.0,0.6666666666666666,0.0833333333333333,0.2,0.041666666666666706,12.0,0.3333333333333333,2.333333333333333,1.0,0.6666666666666666,1.3333333333333337,1.3333333333333337,1.3333333333333337,0.3333333333333333,0.3333333333333333
#un-second-senateur,7.111111111111111,11.574074074074076,4.898148148148148,0.5555555555555556,0.2962962962962963,0.3333333333333333,25.03703703703704,0.25925925925925924,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
#verginie,0.06349206349206356,0.5185185185185185,1.037037037037037,0.9174603174603178,2.074074074074074,2.333333333333333,0.25925925925925924,14.814814814814815,6.349206349206351,4.232804232804233,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924
