VALEUR,#la-comtesse,#lisette,#le-marquis,#monsieur-du-berceau,#le-baron,#lucile,#coraline,#luclle,#arlequin,#scapin
Fréquences (scènes),0.2727272727272727,0.030303030303030304,0.3939393939393939,0.2727272727272727,0.5151515151515151,0.24242424242424243,0.09090909090909091,0.030303030303030304,0.15151515151515152,0.030303030303030304
Fréquences(répliques),0.1779257849666984,0.016175071360608945,0.1636536631779258,0.13225499524262607,0.2626070409134158,0.13320647002854424,0.039961941008563276,0.0009514747859181732,0.06470028544243578,0.008563273073263558
Confrontation,0.16,0.01,0.21,0.16,0.2,0.13,0.04,0.02,0.05,0.02
Déviations,#la-comtesse,#lisette,#le-marquis,#monsieur-du-berceau,#le-baron,#lucile,#coraline,#luclle,#arlequin,#scapin
#la-comtesse,17.45454545454546,1.9393939393939397,0.058275058275058286,0.12121212121212141,0.08734402852049919,0.30681818181818193,0.8181818181818182,1.9393939393939397,1.3636363636363638,0.2727272727272727
#lisette,1.9393939393939397,31.03030303030303,0.3939393939393939,0.2727272727272727,0.5151515151515151,0.24242424242424243,0.09090909090909091,0.030303030303030304,0.15151515151515152,0.030303030303030304
#le-marquis,0.05827505827505841,0.3939393939393939,12.121212121212121,5.596736596736599,0.07253530782942554,0.007284382284382272,1.1818181818181819,0.3939393939393939,1.9696969696969697,0.3939393939393939
#monsieur-du-berceau,0.12121212121212141,0.2727272727272727,5.596736596736598,17.45454545454546,0.08734402852049919,0.640151515151515,0.8181818181818182,0.2727272727272727,1.3636363636363638,0.2727272727272727
#le-baron,0.08734402852049895,0.5151515151515151,0.07253530782942536,0.08734402852049895,7.757575757575757,0.003565062388591794,0.19251336898395718,0.5151515151515151,0.9639928698752228,0.5151515151515151
#lucile,0.30681818181818193,0.24242424242424243,0.007284382284382272,0.640151515151515,0.003565062388591794,18.939393939393938,0.7272727272727273,2.367424242424242,0.03712121212121213,0.24242424242424243
#coraline,0.8181818181818181,0.09090909090909091,1.1818181818181817,0.8181818181818181,0.19251336898395718,0.7272727272727273,27.272727272727277,0.09090909090909091,5.254545454545454,9.09090909090909
#luclle,1.9393939393939397,0.030303030303030304,0.3939393939393939,0.2727272727272727,0.5151515151515151,2.367424242424242,0.09090909090909091,31.03030303030303,0.15151515151515152,0.030303030303030304
#arlequin,1.3636363636363635,0.15151515151515152,1.9696969696969697,1.3636363636363635,0.9639928698752228,0.03712121212121213,5.254545454545454,0.15151515151515152,23.757575757575754,4.751515151515152
#scapin,0.2727272727272727,0.030303030303030304,0.3939393939393939,0.2727272727272727,0.5151515151515151,0.24242424242424243,9.09090909090909,0.030303030303030304,4.751515151515152,31.03030303030303
Successions,#la-comtesse,#lisette,#le-marquis,#monsieur-du-berceau,#le-baron,#lucile,#coraline,#luclle,#arlequin,#scapin
#la-comtesse,0.03571428571428571,0.05357142857142857,0.08928571428571429,0.16071428571428573,0.32142857142857145,0.32142857142857145,0.0,0.017857142857142856,0.0,0.0
#lisette,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis,0.08695652173913043,0.0,0.0,0.2028985507246377,0.43478260869565216,0.2608695652173913,0.0,0.0,0.014492753623188406,0.0
#monsieur-du-berceau,0.35294117647058826,0.0,0.5,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0
#le-baron,0.17204301075268819,0.0,0.3225806451612903,0.08602150537634409,0.021505376344086023,0.23655913978494625,0.0967741935483871,0.0,0.06451612903225806,0.0
#lucile,0.2698412698412698,0.0,0.2698412698412698,0.031746031746031744,0.36507936507936506,0.0,0.0,0.0,0.06349206349206349,0.0
#coraline,0.0,0.0,0.0,0.0,0.3103448275862069,0.0,0.0,0.0,0.6206896551724138,0.06896551724137931
#lisette,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin,0.0,0.0,0.0,0.0,0.17142857142857143,0.14285714285714285,0.5428571428571428,0.0,0.0,0.14285714285714285
#scapin,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0
