VALEUR,#le-chevalier,#frontin,#clitandre,#madame-pinuin,#guillaume,#madame-robin,#madame-valentin,#angelique,#monsieur-mouflard,#monsieur-valentin,#fuzillard,#monsieur-touvenel,#mademoiselle-gesmarres
Fréquences (scènes),0.4166666666666667,0.5416666666666666,0.125,0.4166666666666667,0.2916666666666667,0.125,0.375,0.3333333333333333,0.16666666666666666,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664
Fréquences(répliques),0.29577464788732394,0.07042253521126761,0.0,0.0,0.18309859154929578,0.16901408450704225,0.0,0.0,0.0,0.0,0.0,0.2112676056338028,0.07042253521126761
Confrontation,0.1271186440677966,0.15254237288135594,0.0423728813559322,0.0635593220338983,0.11864406779661017,0.046610169491525424,0.11864406779661017,0.11016949152542373,0.059322033898305086,0.09322033898305085,0.025423728813559324,0.0211864406779661,0.0211864406779661
Déviations,#le-chevalier,#frontin,#clitandre,#madame-pinuin,#guillaume,#madame-robin,#madame-valentin,#angelique,#monsieur-mouflard,#monsieur-valentin,#fuzillard,#monsieur-touvenel,#mademoiselle-gesmarres
#le-chevalier,8.166666666666664,0.06282051282051296,0.45,0.3266666666666668,0.4023809523809521,0.45,0.15,0.5333333333333331,0.06666666666666674,0.40333333333333315,0.8166666666666669,0.8166666666666669,0.8166666666666669
#frontin,0.06282051282051276,5.041666666666669,0.08653846153846154,0.0320512820512821,0.38507326007325987,0.08653846153846154,0.15705128205128205,0.025641025641025595,0.6282051282051281,0.6160256410256408,0.3878205128205129,0.3878205128205129,0.3878205128205129
#clitandre,0.45,0.08653846153846154,18.375,1.25,0.017857142857142856,0.375,0.013888888888888888,0.0,4.5,0.225,0.125,0.125,0.125
#madame-pinuin,0.3266666666666668,0.03205128205128196,1.25,8.166666666666664,0.28809523809523824,0.45,2.0166666666666666,1.633333333333333,0.26666666666666655,2.0833333333333335,0.41666666666666663,0.41666666666666663,0.41666666666666663
#guillaume,0.4023809523809521,0.3850732600732602,0.017857142857142856,0.28809523809523824,12.041666666666664,1.4464285714285714,0.05357142857142857,0.1904761904761907,0.5952380952380955,1.6297619047619043,1.7202380952380956,1.7202380952380956,1.7202380952380956
#madame-robin,0.45,0.08653846153846154,0.375,0.45,1.4464285714285714,18.375,1.125,1.0,0.5,0.625,0.125,6.125,6.125
#madame-valentin,0.15,0.15705128205128205,0.013888888888888888,2.0166666666666666,0.05357142857142857,1.125,9.375,8.333333333333334,0.16666666666666666,5.208333333333333,1.0416666666666667,0.375,0.375
#angelique,0.5333333333333334,0.025641025641025595,0.0,1.6333333333333335,0.19047619047619038,1.0,8.333333333333334,10.66666666666667,0.3333333333333334,3.2666666666666657,1.3333333333333337,0.3333333333333333,0.3333333333333333
#monsieur-mouflard,0.06666666666666664,0.6282051282051281,4.5,0.2666666666666667,0.5952380952380951,0.5,0.16666666666666666,0.3333333333333334,16.66666666666667,0.03333333333333332,0.16666666666666666,0.16666666666666666,0.16666666666666666
#monsieur-valentin,0.40333333333333315,0.6160256410256414,0.225,2.0833333333333335,1.6297619047619043,0.625,5.208333333333333,3.2666666666666675,0.03333333333333337,15.041666666666663,3.008333333333334,0.20833333333333331,0.20833333333333331
#fuzillard,0.8166666666666664,0.3878205128205129,0.125,0.4166666666666667,1.720238095238095,0.125,1.0416666666666667,1.3333333333333337,0.16666666666666666,3.008333333333333,22.04166666666667,0.041666666666666664,0.041666666666666664
#monsieur-touvenel,0.8166666666666664,0.3878205128205129,0.125,0.4166666666666667,1.720238095238095,6.125,0.375,0.3333333333333333,0.16666666666666666,0.20833333333333334,0.041666666666666664,22.04166666666667,22.04166666666667
#monsieur-touvenel,0.8166666666666664,0.3878205128205129,0.125,0.4166666666666667,1.720238095238095,6.125,0.375,0.3333333333333333,0.16666666666666666,0.20833333333333334,0.041666666666666664,22.04166666666667,22.04166666666667
Successions,#le-chevalier,#frontin,#clitandre,#madame-pinuin,#guillaume,#madame-robin,#madame-valentin,#angelique,#monsieur-mouflard,#monsieur-valentin,#fuzillard,#monsieur-touvenel,#mademoiselle-gesmarres
