VALEUR,#la-comedie,#comedie #musique #ballet,#sganarelle,#monsieur-guillaume,#monsieur-josse,#aminte,#lucrece,#lisette,#lucinde,#monsieur-tomes,#monsieur-des-fonandres,#monsieur-macroton,#monsieur-bahys,#l-operateur,#monsieur-filerin,#clitandre,#le-notaire
Fréquences (scènes),0.09090909090909091,0.09090909090909091,0.7272727272727273,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.5,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456
Fréquences(répliques),0.3269230769230769,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0
Confrontation,0.03225806451612903,0.03225806451612903,0.23387096774193547,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.14516129032258066,0.07258064516129033,0.08064516129032258,0.056451612903225805,0.04838709677419355,0.04838709677419355,0.008064516129032258,0.016129032258064516,0.07258064516129033,0.024193548387096774
Déviations,#la-comedie,#comedie #musique #ballet,#sganarelle,#monsieur-guillaume,#monsieur-josse,#aminte,#lucrece,#lisette,#lucinde,#monsieur-tomes,#monsieur-des-fonandres,#monsieur-macroton,#monsieur-bahys,#l-operateur,#monsieur-filerin,#clitandre,#le-notaire
#la-comedie,18.18181818181818,18.18181818181818,0.14204545454545456,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091
#la-comedie,18.18181818181818,18.18181818181818,0.14204545454545456,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091
#sganarelle,0.14204545454545456,0.14204545454545456,1.636363636363636,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.0,0.0028409090909090854,0.7363636363636362,0.640151515151515,0.2045454545454545,0.2045454545454545,0.10227272727272725,0.7272727272727273,0.0028409090909090854,0.10227272727272725
#monsieur-guillaume,0.09090909090909091,0.09090909090909091,0.10227272727272725,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,0.5,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456
#monsieur-guillaume,0.09090909090909091,0.09090909090909091,0.10227272727272725,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,0.5,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456
#monsieur-guillaume,0.09090909090909091,0.09090909090909091,0.10227272727272725,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,0.5,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456
#monsieur-guillaume,0.09090909090909091,0.09090909090909091,0.10227272727272725,20.045454545454547,20.045454545454547,20.045454545454547,20.045454545454547,0.5,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456
#lisette,0.0,0.0,0.0,0.5,0.5,0.5,0.5,5.5,0.5,0.1,1.5,1.0,1.0,0.5,0.5,0.5,0.5
#lucinde,0.36363636363636365,0.36363636363636365,0.0028409090909090854,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.5,14.727272727272725,0.9090909090909091,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.18181818181818182,2.227272727272727,3.681818181818181
#monsieur-tomes,0.4545454545454546,0.4545454545454546,0.7363636363636366,0.2272727272727273,0.2272727272727273,0.2272727272727273,0.2272727272727273,0.1,0.9090909090909092,13.136363636363638,7.881818181818184,0.6545454545454544,0.6545454545454544,0.2272727272727273,2.627272727272727,0.9090909090909092,0.2272727272727273
#monsieur-des-fonandres,0.2727272727272727,0.2727272727272727,0.640151515151515,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,1.5,0.5454545454545454,7.881818181818184,16.40909090909091,1.9393939393939397,1.9393939393939397,0.13636363636363635,5.469696969696971,0.5454545454545454,0.13636363636363635
#monsieur-macroton,0.18181818181818182,0.18181818181818182,0.2045454545454545,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,0.36363636363636365,0.6545454545454544,1.9393939393939397,18.18181818181818,18.18181818181818,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091
#monsieur-macroton,0.18181818181818182,0.18181818181818182,0.2045454545454545,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,0.36363636363636365,0.6545454545454544,1.9393939393939397,18.18181818181818,18.18181818181818,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091
#l-operateur,0.09090909090909091,0.09090909090909091,0.10227272727272725,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.5,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.09090909090909091,20.045454545454547,0.045454545454545456,0.18181818181818182,0.045454545454545456
#monsieur-filerin,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.5,0.18181818181818182,2.627272727272727,5.469696969696971,0.09090909090909091,0.09090909090909091,0.045454545454545456,20.045454545454547,0.18181818181818182,0.045454545454545456
#clitandre,0.36363636363636365,0.36363636363636365,0.0028409090909090854,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.5,2.227272727272727,0.9090909090909091,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.18181818181818182,14.727272727272725,3.681818181818181
#le-notaire,0.09090909090909091,0.09090909090909091,0.10227272727272725,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.5,3.681818181818181,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,3.681818181818181,20.045454545454547
Successions,#la-comedie,#comedie #musique #ballet,#sganarelle,#monsieur-guillaume,#monsieur-josse,#aminte,#lucrece,#lisette,#lucinde,#monsieur-tomes,#monsieur-des-fonandres,#monsieur-macroton,#monsieur-bahys,#l-operateur,#monsieur-filerin,#clitandre,#le-notaire
#la-comedie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#comedie #musique #ballet,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
#sganarelle,0.0,0.021739130434782608,0.043478260869565216,0.010869565217391304,0.0,0.0,0.010869565217391304,0.5543478260869565,0.14130434782608695,0.043478260869565216,0.021739130434782608,0.0,0.03260869565217391,0.010869565217391304,0.0,0.09782608695652174,0.010869565217391304
