VALEUR,#fanchon,#margot,#jerome,#le-marchand,#genevieve,#marie-jeanne,#babet,#la-fermiere,#tous-trois,#belle-rose,#la-marchande,#manon,#le-perruquier,#la-bouquetiere,#le-petit-maitre,#le-violon,#la-marchande-de-citrons,#le-marchand-de-ratafia,#l-aveugle
Fréquences (scènes),0.7692307692307693,0.9230769230769231,0.5384615384615384,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
Fréquences(répliques),0.18125960061443933,0.13671274961597543,0.20276497695852536,0.016897081413210446,0.0445468509984639,0.05683563748079877,0.06912442396313365,0.015360983102918587,0.0015360983102918587,0.05683563748079877,0.0445468509984639,0.0015360983102918587,0.047619047619047616,0.03225806451612903,0.0629800307219662,0.0015360983102918587,0.009216589861751152,0.009216589861751152,0.009216589861751152
Confrontation,0.12654320987654322,0.1419753086419753,0.10185185185185185,0.021604938271604937,0.07407407407407407,0.05555555555555555,0.05555555555555555,0.015432098765432098,0.009259259259259259,0.08333333333333333,0.021604938271604937,0.009259259259259259,0.04938271604938271,0.06790123456790123,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
Déviations,#fanchon,#margot,#jerome,#le-marchand,#genevieve,#marie-jeanne,#babet,#la-fermiere,#tous-trois,#belle-rose,#la-marchande,#manon,#le-perruquier,#la-bouquetiere,#le-petit-maitre,#le-violon,#la-marchande-de-citrons,#le-marchand-de-ratafia,#l-aveugle
#fanchon,0.6923076923076922,0.06410256410256394,0.07032967032967045,0.1384615384615384,0.0019230769230769314,0.04102564102564109,0.04102564102564109,0.1884615384615385,0.7692307692307693,0.006153846153846145,0.1884615384615385,0.7692307692307693,0.1384615384615384,0.20769230769230754,0.0692307692307692,0.0692307692307692,0.0692307692307692,0.0692307692307692,0.0692307692307692
#margot,0.06410256410256394,0.07692307692307697,0.04487179487179485,0.012820512820512803,0.025641025641025605,0.21367521367521364,0.21367521367521364,0.38782051282051294,0.9230769230769231,0.03205128205128197,0.012820512820512803,0.006410256410256401,0.012820512820512803,0.019230769230769242,0.006410256410256401,0.006410256410256401,0.006410256410256401,0.006410256410256401,0.006410256410256401
#jerome,0.07032967032967023,0.04487179487179485,2.7692307692307696,0.7912087912087908,1.5824175824175817,0.23443223443223446,0.23443223443223446,1.076923076923077,0.5384615384615385,0.6351648351648349,1.076923076923077,0.5384615384615385,0.0054945054945055175,0.09157509157509156,0.3956043956043954,0.3956043956043954,0.3956043956043954,0.3956043956043954,0.3956043956043954
#le-marchand,0.1384615384615384,0.012820512820512803,0.7912087912087914,9.307692307692307,0.24038461538461534,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.7692307692307693,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
#genevieve,0.0019230769230769314,0.025641025641025605,1.5824175824175828,0.24038461538461534,6.23076923076923,0.006410256410256401,0.006410256410256401,0.6153846153846154,0.3076923076923077,0.1384615384615384,0.6153846153846154,0.3076923076923077,0.24038461538461534,1.2564102564102562,1.5576923076923075,1.5576923076923075,1.5576923076923075,1.5576923076923075,1.5576923076923075
#marie-jeanne,0.04102564102564109,0.21367521367521364,0.23443223443223446,0.46153846153846156,0.006410256410256401,7.692307692307691,7.692307692307691,0.6282051282051281,2.5641025641025634,0.020512820512820544,0.46153846153846156,0.23076923076923078,0.6282051282051281,0.13675213675213677,0.23076923076923078,2.5641025641025634,2.5641025641025634,2.5641025641025634,2.5641025641025634
