VALEUR,#valentin,#rene,#fanny,#henriette,#madame-valentin,#rognelard,#bonhomme,#finot,#le-visiteur-anglais,#la-visiteuse-allemande,#le-visiteur-italien,#le-visiteur-espagnol,#la-visiteuse-anglaise
Fréquences (scènes),0.5714285714285714,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857
Fréquences(répliques),0.19948186528497408,0.07772020725388601,0.3626943005181347,0.09844559585492228,0.03367875647668394,0.038860103626943004,0.02072538860103627,0.11398963730569948,0.018134715025906734,0.010362694300518135,0.010362694300518135,0.0051813471502590676,0.010362694300518135
Confrontation,0.10227272727272728,0.07386363636363637,0.13636363636363635,0.09090909090909091,0.06818181818181818,0.017045454545454544,0.017045454545454544,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.03977272727272727,0.09090909090909091
Déviations,#valentin,#rene,#fanny,#henriette,#madame-valentin,#rognelard,#bonhomme,#finot,#le-visiteur-anglais,#la-visiteuse-allemande,#le-visiteur-italien,#le-visiteur-espagnol,#la-visiteuse-anglaise
#valentin,1.285714285714286,0.04761904761904765,0.05357142857142853,0.7232142857142856,0.017857142857142842,0.5714285714285714,0.5714285714285714,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.3214285714285715,0.642857142857143
#rene,0.04761904761904765,2.2857142857142865,0.12698412698412687,0.04761904761904765,1.5238095238095237,0.42857142857142855,0.42857142857142855,0.023809523809523826,0.023809523809523826,0.023809523809523826,0.023809523809523826,0.42857142857142855,0.023809523809523826
#fanny,0.05357142857142853,0.12698412698412687,0.14285714285714304,0.0952380952380953,0.04761904761904765,0.023809523809523826,0.023809523809523826,0.04761904761904765,0.04761904761904765,0.04761904761904765,0.04761904761904765,0.023809523809523826,0.04761904761904765
#henriette,0.7232142857142856,0.04761904761904765,0.0952380952380953,1.285714285714286,0.642857142857143,0.3214285714285715,0.3214285714285715,0.017857142857142842,0.017857142857142842,0.017857142857142842,0.017857142857142842,0.5714285714285714,0.017857142857142842
#madame-valentin,0.017857142857142842,1.5238095238095237,0.04761904761904765,0.642857142857143,3.5714285714285716,0.2857142857142857,0.2857142857142857,0.3214285714285715,0.3214285714285715,0.3214285714285715,0.3214285714285715,0.2857142857142857,0.3214285714285715
#rognelard,0.5714285714285714,0.42857142857142855,0.023809523809523826,0.3214285714285715,0.2857142857142857,5.142857142857144,5.142857142857144,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857
