VALEUR,#alcippe,#geronte,#roguespine,#paquette,#spadarille,#beatrix,#cephise,#lucresse
Fréquences (scènes),0.4090909090909091,0.13636363636363635,0.2727272727272727,0.45454545454545453,0.3181818181818182,0.045454545454545456,0.5,0.045454545454545456
Fréquences(répliques),0.16666666666666666,0.09545454545454546,0.11666666666666667,0.3242424242424242,0.10454545454545454,0.013636363636363636,0.15303030303030302,0.025757575757575757
Confrontation,0.2073170731707317,0.07317073170731707,0.17073170731707318,0.15853658536585366,0.15853658536585366,0.012195121951219513,0.2073170731707317,0.012195121951219513
Déviations,#alcippe,#geronte,#roguespine,#paquette,#spadarille,#beatrix,#cephise,#lucresse
#alcippe,7.681818181818182,2.5606060606060614,2.639730639730641,0.2909090909090909,0.2604617604617605,0.4090909090909091,0.05555555555555555,0.4090909090909091
#geronte,2.5606060606060606,16.40909090909091,0.040404040404040435,1.3636363636363635,0.0021645021645021606,0.13636363636363635,0.16666666666666666,0.13636363636363635
#roguespine,2.6397306397306397,0.040404040404040435,11.636363636363635,0.19393939393939383,0.6233766233766233,0.2727272727272727,0.0,0.2727272727272727
#paquette,0.2909090909090909,1.3636363636363635,0.19393939393939383,6.545454545454547,0.01038961038961037,0.4545454545454546,0.2,0.6545454545454544
#spadarille,0.2604617604617605,0.0021645021645021714,0.6233766233766236,0.01038961038961037,10.22727272727273,0.3181818181818182,0.07142857142857142,0.3181818181818182
#beatrix,0.4090909090909091,0.13636363636363635,0.2727272727272727,0.45454545454545453,0.3181818181818182,20.045454545454547,0.5,0.045454545454545456
#cephise,0.05555555555555555,0.16666666666666666,0.0,0.2,0.07142857142857142,0.5,5.5,0.5
#lucresse,0.4090909090909091,0.13636363636363635,0.2727272727272727,0.6545454545454544,0.3181818181818182,0.045454545454545456,0.5,20.045454545454547
Successions,#alcippe,#geronte,#roguespine,#paquette,#spadarille,#beatrix,#cephise,#lucresse
#alcippe,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.38095238095238093,0.047619047619047616,0.0,0.19047619047619047,0.0
#geronte,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0
#roguespine,0.4375,0.0625,0.0,0.1875,0.0625,0.0,0.25,0.0
#paquette,0.3191489361702128,0.0,0.10638297872340426,0.0,0.19148936170212766,0.0,0.3191489361702128,0.06382978723404255
#spadarille,0.0,0.0,0.0625,0.6875,0.0,0.0,0.25,0.0
#beatrix,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
#cephise,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.3888888888888889,0.08333333333333333,0.08333333333333333,0.0,0.0
#lucresse,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
