VALEUR,#nearque,#polyeucte,#pauline,#stratonice,#felix,#albin,#severe,#fabian,#cleon
Fréquences (scènes),0.07407407407407407,0.4074074074074074,0.6296296296296297,0.1111111111111111,0.3333333333333333,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.07407407407407407
Fréquences(répliques),0.05350454788657036,0.20010700909577314,0.29213483146067415,0.06902086677367576,0.18138041733547353,0.047084002140181914,0.13215623327982878,0.021401819154628143,0.0032102728731942215
Confrontation,0.029411764705882353,0.17647058823529413,0.29411764705882354,0.04411764705882353,0.19117647058823528,0.10294117647058823,0.08823529411764706,0.029411764705882353,0.04411764705882353
Déviations,#nearque,#polyeucte,#pauline,#stratonice,#felix,#albin,#severe,#fabian,#cleon
#nearque,23.148148148148152,1.7239057239057238,1.2592592592592593,0.2222222222222222,0.6666666666666666,0.37037037037037035,0.37037037037037035,0.14814814814814814,0.14814814814814814
#polyeucte,1.7239057239057238,9.481481481481485,0.12378688849277099,1.222222222222222,0.7575757575757575,2.0370370370370368,2.0370370370370368,0.8148148148148148,1.7239057239057238
#pauline,1.259259259259259,0.12378688849277077,3.703703703703703,0.6535947712418302,0.07843137254901947,0.41873638344226566,0.006971677559912833,1.259259259259259,0.05337690631808272
#stratonice,0.2222222222222222,1.222222222222222,0.6535947712418302,21.333333333333332,1.0,0.5555555555555556,0.5555555555555556,0.2222222222222222,0.2222222222222222
#felix,0.6666666666666666,0.7575757575757575,0.07843137254901968,1.0,12.0,6.666666666666668,0.26666666666666655,0.6666666666666666,0.6666666666666666
#albin,0.37037037037037035,2.0370370370370368,0.4187363834422659,0.5555555555555556,6.666666666666668,17.92592592592593,0.9259259259259258,0.37037037037037035,0.37037037037037035
#severe,0.37037037037037035,2.0370370370370368,0.006971677559912874,0.5555555555555556,0.26666666666666655,0.9259259259259258,17.92592592592593,7.170370370370373,0.37037037037037035
#fabian,0.14814814814814814,0.8148148148148148,1.2592592592592593,0.2222222222222222,0.6666666666666666,0.37037037037037035,7.170370370370373,23.148148148148152,0.14814814814814814
#cleon,0.14814814814814814,1.7239057239057238,0.0533769063180828,0.2222222222222222,0.6666666666666666,0.37037037037037035,0.37037037037037035,0.14814814814814814,23.148148148148152
Successions,#nearque,#polyeucte,#pauline,#stratonice,#felix,#albin,#severe,#fabian,#cleon
#nearque,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#polyeucte,0.3333333333333333,0.01282051282051282,0.38461538461538464,0.0,0.21794871794871795,0.0,0.0,0.0,0.05128205128205128
#pauline,0.009259259259259259,0.2962962962962963,0.018518518518518517,0.2222222222222222,0.3333333333333333,0.018518518518518517,0.10185185185185185,0.0,0.0
#stratonice,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#felix,0.0,0.175,0.5,0.0,0.0375,0.25,0.0375,0.0,0.0
#albin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#severe,0.0,0.03333333333333333,0.4,0.0,0.03333333333333333,0.0,0.0,0.5333333333333333,0.0
#fabian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#nearque,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
