VALEUR,#teucer,#dictime,#phares,#asterie,#merione,#le-heraut,#datame,#cydonien,#voix,#azemon
Fréquences (scènes),0.65,0.4,0.2,0.35,0.15,0.15,0.25,0.1,0.05,0.3
Fréquences(répliques),0.33143264433357095,0.1375623663578047,0.05060584461867427,0.1090520313613685,0.0541696364932288,0.023521026372059873,0.17248752672843906,0.03563791874554526,0.0014255167498218105,0.08410548823948681
Confrontation,0.2358490566037736,0.1320754716981132,0.11320754716981132,0.16037735849056603,0.0660377358490566,0.0660377358490566,0.07547169811320754,0.02830188679245283,0.018867924528301886,0.10377358490566038
Déviations,#teucer,#dictime,#phares,#asterie,#merione,#le-heraut,#datame,#cydonien,#voix,#azemon
#teucer,2.4499999999999984,0.12307692307692301,0.7538461538461537,0.04450549450549454,0.5653846153846154,0.5653846153846154,1.5576923076923077,1.3,0.65,0.20769230769230765
#dictime,0.12307692307692301,7.199999999999999,0.09999999999999995,0.22857142857142848,0.03333333333333332,0.03333333333333332,0.5,0.8000000000000002,0.4000000000000001,0.8166666666666665
#phares,0.7538461538461537,0.09999999999999995,12.800000000000002,1.828571428571429,0.2666666666666667,0.2666666666666667,1.0,0.4000000000000001,0.20000000000000004,0.03333333333333332
#asterie,0.04450549450549454,0.2285714285714287,1.828571428571428,8.450000000000005,0.002380952380952385,0.002380952380952385,0.03571428571428571,0.7000000000000001,0.35000000000000003,0.3857142857142856
#merione,0.5653846153846152,0.03333333333333339,0.2666666666666665,0.0023809523809523647,14.450000000000001,0.44999999999999996,0.75,0.30000000000000004,0.15000000000000002,0.011111111111111132
#le-heraut,0.5653846153846152,0.03333333333333339,0.2666666666666665,0.0023809523809523647,0.44999999999999996,14.450000000000001,0.75,0.30000000000000004,0.15000000000000002,0.011111111111111132
#datame,1.5576923076923077,0.5,1.0,0.03571428571428571,0.75,0.75,11.25,4.5,2.25,0.16666666666666666
#cydonien,1.3,0.8000000000000002,0.4000000000000001,0.7,0.3,0.3,4.5,16.2,8.1,0.6
#voix,0.65,0.4000000000000001,0.20000000000000004,0.35,0.15,0.15,2.25,8.1,18.049999999999997,0.3
#azemon,0.20769230769230784,0.816666666666667,0.03333333333333339,0.38571428571428606,0.011111111111111132,0.011111111111111132,0.16666666666666666,0.6000000000000001,0.30000000000000004,9.8
Successions,#teucer,#dictime,#phares,#asterie,#merione,#le-heraut,#datame,#cydonien,#voix,#azemon
#teucer,0.02531645569620253,0.24050632911392406,0.06329113924050633,0.21518987341772153,0.22784810126582278,0.0759493670886076,0.0,0.0,0.0,0.1518987341772152
#dictime,0.5151515151515151,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.3333333333333333,0.030303030303030304,0.0,0.030303030303030304
#phares,0.5,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.1
#asterie,0.4473684210526316,0.02631578947368421,0.10526315789473684,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.2631578947368421
#merione,0.8421052631578947,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
#le-heraut,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
#datame,0.058823529411764705,0.3235294117647059,0.0,0.2647058823529412,0.0,0.0,0.0,0.29411764705882354,0.058823529411764705,0.0
#cydonien,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.15384615384615385,0.0,0.0
#voix,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#azemon,0.5384615384615384,0.038461538461538464,0.0,0.23076923076923078,0.0,0.038461538461538464,0.11538461538461539,0.0,0.0,0.038461538461538464
