VALEUR,#barsine,#cephise,#seleucus,#policrate,#antiochus,#timante,#philipe,#stratonice,#zenone,#zabas
Fréquences (scènes),0.3448275862068966,0.10344827586206896,0.4482758620689655,0.10344827586206896,0.3448275862068966,0.1724137931034483,0.06896551724137931,0.41379310344827586,0.1724137931034483,0.10344827586206896
Fréquences(répliques),0.1925638179800222,0.023307436182019976,0.290788013318535,0.017203107658157604,0.21920088790233075,0.02386237513873474,0.017203107658157604,0.1792452830188679,0.029411764705882353,0.007214206437291898
Confrontation,0.13,0.03,0.18,0.04,0.16,0.08,0.05,0.19,0.08,0.06
Déviations,#barsine,#cephise,#seleucus,#policrate,#antiochus,#timante,#philipe,#stratonice,#zenone,#zabas
#barsine,12.44827586206896,3.7344827586206892,0.05968169761273218,1.0344827586206897,1.7382758620689658,1.7241379310344829,0.13965517241379305,1.1045977011494255,1.7241379310344829,0.0011494252873563264
#cephise,3.7344827586206892,23.310344827586206,1.3448275862068966,0.3103448275862069,1.0344827586206897,0.5172413793103449,0.20689655172413793,1.2413793103448276,0.5172413793103449,0.3103448275862069
#seleucus,0.05968169761273196,1.3448275862068966,8.827586206896553,2.037135278514589,0.05198938992042451,2.241379310344828,0.011936339522546415,0.3536693191865606,2.241379310344828,0.08841732979664015
#policrate,1.0344827586206897,0.3103448275862069,2.037135278514589,23.310344827586206,1.0344827586206897,0.5172413793103449,0.20689655172413793,0.046934865900383156,0.5172413793103449,0.3103448275862069
#antiochus,1.7382758620689658,1.0344827586206897,0.05198938992042433,1.0344827586206897,12.44827586206896,6.22413793103448,0.13965517241379305,0.3129310344827587,0.30413793103448283,0.0011494252873563264
#timante,1.7241379310344829,0.5172413793103449,2.2413793103448274,0.5172413793103449,6.22413793103448,19.862068965517242,0.3448275862068966,0.5522988505747127,0.02206896551724136,0.4505747126436781
#philipe,0.13965517241379305,0.20689655172413793,0.011936339522546415,0.20689655172413793,0.13965517241379305,0.3448275862068966,25.137931034482758,1.6609195402298855,0.3448275862068966,0.20689655172413793
#stratonice,1.1045977011494255,1.2413793103448276,0.3536693191865606,0.046934865900383156,0.3129310344827587,0.5522988505747127,1.6609195402298855,9.96551724137931,4.152298850574712,0.046934865900383156
#zenone,1.7241379310344829,0.5172413793103449,2.2413793103448274,0.5172413793103449,0.30413793103448283,0.02206896551724136,0.3448275862068966,4.152298850574712,19.862068965517242,0.4505747126436781
#zabas,0.0011494252873563264,0.3103448275862069,0.08841732979664015,0.3103448275862069,0.0011494252873563264,0.4505747126436781,0.20689655172413793,0.046934865900383156,0.4505747126436781,23.310344827586206
Successions,#barsine,#cephise,#seleucus,#policrate,#antiochus,#timante,#philipe,#stratonice,#zenone,#zabas
#barsine,0.0,0.22727272727272727,0.6363636363636364,0.0,0.022727272727272728,0.0,0.0,0.11363636363636363,0.0,0.0
#cephise,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#seleucus,0.33707865168539325,0.0,0.056179775280898875,0.056179775280898875,0.3146067415730337,0.0,0.02247191011235955,0.20224719101123595,0.0,0.011235955056179775
#policrate,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#antiochus,0.0,0.0,0.3670886075949367,0.0,0.0,0.25316455696202533,0.0,0.35443037974683544,0.012658227848101266,0.012658227848101266
#timante,0.045454545454545456,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.045454545454545456,0.0,0.0
#philipe,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.4,0.0,0.0
#stratonice,0.06666666666666667,0.0,0.21333333333333335,0.013333333333333334,0.37333333333333335,0.0,0.04,0.0,0.28,0.013333333333333334
#zenone,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.9090909090909091,0.0,0.0
#zabas,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
