VALEUR,#endymion,#polydamon,#parthenopee,#diane,#ismene,#i-nymphe,#ii-nymphe,#nymphe,#sthenobee,#i-homme,#ii-homme,#iii-homme,#diophanie,#hermodan,#esclave,#thymotee,#pyridor,#stenobee,#admon,#clindor,#alcyonnee,#felicie,#l-esclave,#troupe-de-peuple,#choeur-de-filles
Fréquences (scènes),0.6538461538461539,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
Fréquences(répliques),0.2722841225626741,0.012534818941504178,0.01532033426183844,0.052924791086350974,0.11142061281337047,0.003481894150417827,0.004178272980501393,0.052924791086350974,0.20682451253481896,0.004178272980501393,0.0020891364902506965,0.006963788300835654,0.00766016713091922,0.02158774373259053,0.04596100278551532,0.07520891364902507,0.002785515320334262,0.0006963788300835655,0.006267409470752089,0.025069637883008356,0.03969359331476323,0.00766016713091922,0.005571030640668524,0.011142061281337047,0.005571030640668524
Confrontation,0.12637362637362637,0.016483516483516484,0.01098901098901099,0.027472527472527472,0.04945054945054945,0.016483516483516484,0.016483516483516484,0.005494505494505495,0.1043956043956044,0.027472527472527472,0.027472527472527472,0.027472527472527472,0.027472527472527472,0.027472527472527472,0.054945054945054944,0.09340659340659341,0.04395604395604396,0.016483516483516484,0.054945054945054944,0.027472527472527472,0.06043956043956044,0.02197802197802198,0.038461538461538464,0.038461538461538464,0.038461538461538464
Déviations,#endymion,#polydamon,#parthenopee,#diane,#ismene,#i-nymphe,#ii-nymphe,#nymphe,#sthenobee,#i-homme,#ii-homme,#iii-homme,#diophanie,#hermodan,#esclave,#thymotee,#pyridor,#stenobee,#admon,#clindor,#alcyonnee,#felicie,#l-esclave,#troupe-de-peuple,#choeur-de-filles
#endymion,3.115384615384616,0.3665158371040724,0.1832579185520362,0.5497737556561084,0.05656108597285067,0.1832579185520362,0.1832579185520362,0.1832579185520362,0.9513574660633484,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,1.3076923076923077,1.3076923076923077,0.14479638009049775,1.3076923076923077,0.6538461538461539,0.4713423831070891,0.6538461538461539,0.9977375565610861,0.07239819004524888,0.1832579185520362,0.1832579185520362,0.1832579185520362
#polydamon,0.3665158371040724,22.153846153846157,11.076923076923078,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
#parthenopee,0.1832579185520362,11.076923076923078,24.038461538461537,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#diane,0.5497737556561084,0.23076923076923078,0.11538461538461539,20.346153846153843,0.46153846153846156,6.782051282051281,6.782051282051281,0.11538461538461539,0.9230769230769231,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.23076923076923078,0.11538461538461539,0.34615384615384615,0.11538461538461539,0.46153846153846156,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.11538461538461539
#ismene,0.05656108597285067,0.3076923076923077,0.15384615384615385,0.46153846153846156,18.615384615384613,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.04326923076923079,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.24038461538461534,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.24038461538461534,0.3076923076923077,4.653846153846153,4.653846153846153,4.653846153846153
#i-nymphe,0.1832579185520362,0.07692307692307693,0.038461538461538464,6.782051282051281,0.15384615384615385,24.038461538461537,24.038461538461537,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
