VALEUR,#arlequin,#colombine,#pierrot,#isabelle,#la-fille,#autre-fille,#une-des-filles,#filles,#l-hymen,#le-cabaretier,#la-coquette,#le-procureur,#le-jardinier,#la-jardiniere,#leandre
Fréquences (scènes),0.8181818181818182,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
Fréquences(répliques),0.5263157894736842,0.0,0.0,0.05789473684210526,0.002631578947368421,0.015789473684210527,0.0,0.0,0.10263157894736842,0.07105263157894737,0.12894736842105264,0.02631578947368421,0.010526315789473684,0.0,0.05789473684210526
Confrontation,0.22916666666666666,0.0625,0.052083333333333336,0.09375,0.052083333333333336,0.052083333333333336,0.03125,0.03125,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.07291666666666667,0.03125,0.041666666666666664
Déviations,#arlequin,#colombine,#pierrot,#isabelle,#la-fille,#autre-fille,#une-des-filles,#filles,#l-hymen,#le-cabaretier,#la-coquette,#le-procureur,#le-jardinier,#la-jardiniere,#leandre
#arlequin,0.36363636363636337,0.12121212121212141,0.8619528619528616,0.02272727272727276,0.24747474747474754,0.24747474747474754,0.04040404040404038,0.04040404040404038,0.16161616161616152,0.04040404040404038,0.04040404040404038,0.04040404040404038,0.08080808080808076,0.04040404040404038,0.04040404040404038
#colombine,0.12121212121212119,5.8181818181818175,0.040404040404040435,0.007575757575757562,0.5454545454545454,0.5454545454545454,0.2727272727272727,1.9393939393939397,1.0909090909090908,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.2727272727272727
#pierrot,0.8619528619528619,0.040404040404040435,5.8181818181818175,0.007575757575757562,0.3787878787878789,0.3787878787878789,0.2727272727272727,0.2727272727272727,1.0909090909090908,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.2727272727272727
#isabelle,0.02272727272727276,0.007575757575757562,0.007575757575757562,4.454545454545454,0.7272727272727273,0.7272727272727273,0.36363636363636365,1.1136363636363635,0.14204545454545456,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.10227272727272725,0.36363636363636365,1.1136363636363635
#la-fille,0.24747474747474754,0.5454545454545454,0.3787878787878789,0.7272727272727273,7.363636363636362,7.363636363636362,3.681818181818181,0.18181818181818182,0.7272727272727273,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.18181818181818182
#la-fille,0.24747474747474754,0.5454545454545454,0.3787878787878789,0.7272727272727273,7.363636363636362,7.363636363636362,3.681818181818181,0.18181818181818182,0.7272727272727273,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.18181818181818182
