VALEUR,#durand,#clermon,#marton,#philemon,#la-pierre,#florimon,#constance,#le-chevalier,#madame-florimon,#polidor,#constance #le-chevalier,#marton #clermon,#le-notaire
Fréquences (scènes),0.3333333333333333,0.2037037037037037,0.3148148148148148,0.3888888888888889,0.037037037037037035,0.1111111111111111,0.24074074074074073,0.24074074074074073,0.07407407407407407,0.3333333333333333,0.018518518518518517,0.018518518518518517,0.018518518518518517
Fréquences(répliques),0.11869918699186992,0.10298102981029811,0.07425474254742548,0.2682926829268293,0.018970189701897018,0.04552845528455285,0.05582655826558266,0.03848238482384824,0.036314363143631435,0.23468834688346885,0.0005420054200542005,0.0005420054200542005,0.004878048780487805
Confrontation,0.1016260162601626,0.08130081300813008,0.12195121951219512,0.12195121951219512,0.008130081300813009,0.044715447154471545,0.12601626016260162,0.13821138211382114,0.04878048780487805,0.15853658536585366,0.016260162601626018,0.02032520325203252,0.012195121951219513
Déviations,#durand,#clermon,#marton,#philemon,#la-pierre,#florimon,#constance,#le-chevalier,#madame-florimon,#polidor,#constance #le-chevalier,#marton #clermon,#le-notaire
#durand,24.0,1.4848484848484853,1.254901960784314,0.14285714285714285,0.6666666666666666,2.0,1.2564102564102562,1.2564102564102562,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
#clermon,1.4848484848484853,34.24074074074075,0.08328381857793613,0.3816738816738816,0.4074074074074074,1.222222222222222,1.0257705257705254,1.0257705257705254,0.8148148148148148,0.484848484848485,0.2037037037037037,0.2037037037037037,0.2037037037037037
#marton,1.2549019607843133,0.08328381857793628,25.35185185185185,1.9724556489262375,0.6296296296296295,0.41830065359477125,3.7306016423663486,3.7306016423663486,1.259259259259259,2.3725490196078423,1.4912854030501095,0.31481481481481477,0.31481481481481477
#philemon,0.14285714285714285,0.3816738816738816,1.9724556489262375,20.16666666666667,0.06349206349206356,2.333333333333333,1.8467643467643466,0.8357753357753356,0.1984126984126983,0.14285714285714285,0.9603174603174606,0.3888888888888888,0.3888888888888888
#la-pierre,0.6666666666666666,0.4074074074074074,0.6296296296296297,0.06349206349206349,50.07407407407408,2.7222222222222223,0.48148148148148145,0.48148148148148145,0.14814814814814814,0.6666666666666666,0.037037037037037035,0.037037037037037035,0.037037037037037035
#florimon,2.0,1.222222222222222,0.41830065359477125,2.3333333333333335,2.7222222222222223,42.666666666666664,0.13675213675213674,0.2136752136752137,5.444444444444445,0.5,0.1111111111111111,7.111111111111111,0.1111111111111111
#constance,1.2564102564102562,1.0257705257705254,3.7306016423663486,1.8467643467643466,0.48148148148148145,0.13675213675213674,31.12962962962963,4.786434363357442,0.0014245014245014287,0.6410256410256413,2.3945868945868947,2.3945868945868947,2.3945868945868947
#le-chevalier,1.2564102564102562,1.0257705257705254,3.7306016423663486,0.8357753357753356,0.48148148148148145,0.2136752136752137,4.786434363357442,31.12962962962963,4.30911680911681,0.10256410256410267,2.3945868945868947,2.3945868945868947,2.3945868945868947
#madame-florimon,1.3333333333333333,0.8148148148148148,1.2592592592592593,0.19841269841269843,0.14814814814814814,5.444444444444445,0.0014245014245014287,4.30911680911681,46.296296296296305,5.333333333333335,0.07407407407407407,11.574074074074076,0.07407407407407407
#polidor,0.6666666666666666,0.484848484848485,2.372549019607843,0.14285714285714285,0.6666666666666666,0.5,0.6410256410256413,0.10256410256410267,5.333333333333335,24.0,0.3333333333333333,1.3333333333333337,1.3333333333333337
#constance #le-chevalier,0.3333333333333333,0.2037037037037037,1.4912854030501086,0.9603174603174605,0.037037037037037035,0.1111111111111111,2.3945868945868947,2.3945868945868947,0.07407407407407407,0.3333333333333333,52.018518518518526,0.018518518518518517,0.018518518518518517
#marton #clermon,0.3333333333333333,0.2037037037037037,0.3148148148148148,0.3888888888888889,0.037037037037037035,7.111111111111111,2.3945868945868947,2.3945868945868947,11.574074074074076,1.3333333333333337,0.018518518518518517,52.018518518518526,0.018518518518518517
#le-notaire,0.3333333333333333,0.2037037037037037,0.3148148148148148,0.3888888888888889,0.037037037037037035,0.1111111111111111,2.3945868945868947,2.3945868945868947,0.07407407407407407,1.3333333333333337,0.018518518518518517,0.018518518518518517,52.018518518518526
Successions,#durand,#clermon,#marton,#philemon,#la-pierre,#florimon,#constance,#le-chevalier,#madame-florimon,#polidor,#constance #le-chevalier,#marton #clermon,#le-notaire
#durand,0.021505376344086023,0.3548387096774194,0.021505376344086023,0.5053763440860215,0.0,0.0,0.010752688172043012,0.043010752688172046,0.0,0.043010752688172046,0.0,0.0,0.0
#clermon,0.3548387096774194,0.010752688172043012,0.3548387096774194,0.043010752688172046,0.0,0.0,0.010752688172043012,0.0,0.0,0.22580645161290322,0.0,0.0,0.0
#marton,0.028169014084507043,0.4647887323943662,0.014084507042253521,0.056338028169014086,0.0,0.028169014084507043,0.30985915492957744,0.07042253521126761,0.0,0.028169014084507043,0.0,0.0,0.0
#philemon,0.31543624161073824,0.020134228187919462,0.020134228187919462,0.006711409395973154,0.10738255033557047,0.0,0.0,0.020134228187919462,0.006711409395973154,0.4966442953020134,0.006711409395973154,0.0,0.0
#la-pierre,0.0,0.0,0.0,0.6956521739130435,0.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#florimon,0.0,0.0,0.06896551724137931,0.034482758620689655,0.2413793103448276,0.034482758620689655,0.0,0.10344827586206896,0.10344827586206896,0.41379310344827586,0.0,0.0,0.0
#constance,0.02040816326530612,0.02040816326530612,0.42857142857142855,0.0,0.0,0.0,0.02040816326530612,0.14285714285714285,0.0,0.3673469387755102,0.0,0.0,0.0
#le-chevalier,0.09375,0.03125,0.1875,0.03125,0.0,0.15625,0.21875,0.0,0.0625,0.1875,0.0,0.0,0.03125
#madame-florimon,0.0,0.0,0.0,0.038461538461538464,0.0,0.11538461538461539,0.0,0.038461538461538464,0.0,0.7692307692307693,0.0,0.038461538461538464,0.0
#polidor,0.036585365853658534,0.12804878048780488,0.012195121951219513,0.45121951219512196,0.0,0.06707317073170732,0.10365853658536585,0.04878048780487805,0.12195121951219512,0.006097560975609756,0.0,0.0,0.024390243902439025
#constance #le-chevalier,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#marton #clermon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#le-notaire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0
