VALEUR,#monsieur-thomasseau,#thibaut,#clitandre,#mariane,#madame-dubuissson,#lorange,#vivien,#bastien,#madame-desmartins,#angelique,#premier-vendangeur,#le-choeur,#second-vendangeur
Fréquences (scènes),0.4,0.4,0.36,0.08,0.64,0.24,0.48,0.04,0.12,0.04,0.04,0.04,0.04
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.3088235294117647,0.11764705882352941,0.3382352941176471
Confrontation,0.12903225806451613,0.11290322580645161,0.10752688172043011,0.043010752688172046,0.1989247311827957,0.11290322580645161,0.16129032258064516,0.005376344086021506,0.06451612903225806,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516
Déviations,#monsieur-thomasseau,#thibaut,#clitandre,#mariane,#madame-dubuissson,#lorange,#vivien,#bastien,#madame-desmartins,#angelique,#premier-vendangeur,#le-choeur,#second-vendangeur
#monsieur-thomasseau,9.0,0.25,1.8777777777777773,0.049999999999999975,0.05624999999999993,0.06666666666666664,1.0083333333333335,0.4000000000000001,0.5333333333333334,0.8999999999999999,0.4000000000000001,0.4000000000000001,0.4000000000000001
#thibaut,0.25,9.0,0.5444444444444448,0.049999999999999975,0.30625000000000013,0.15000000000000005,0.13333333333333328,0.4000000000000001,1.2,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001
#clitandre,1.877777777777778,0.5444444444444444,10.24,2.2755555555555556,0.010000000000000018,0.32666666666666655,1.245925925925926,0.36,0.005925925925925936,0.36,0.36,0.36,0.36
#mariane,0.049999999999999975,0.049999999999999975,2.2755555555555556,21.16,0.061250000000000006,0.5633333333333335,0.0016666666666666698,0.08,2.4066666666666667,0.08,0.08,0.08,0.08
#madame-dubuissson,0.05624999999999993,0.30625000000000013,0.010000000000000018,0.061250000000000006,3.2399999999999998,1.215,0.2268750000000001,0.64,0.0033333333333333396,0.20249999999999999,0.64,0.64,0.64
#lorange,0.06666666666666678,0.1499999999999998,0.32666666666666655,0.5633333333333335,1.215,14.440000000000005,1.560555555555556,0.24,0.10888888888888891,0.24,0.24,0.24,0.24
#vivien,1.0083333333333326,0.13333333333333355,1.245925925925926,0.0016666666666666698,0.2268750000000001,1.560555555555556,6.760000000000001,0.5633333333333335,0.13444444444444442,0.48,0.48,0.48,0.48
#bastien,0.4000000000000001,0.4000000000000001,0.36,0.08,0.64,0.24,0.5633333333333335,23.04,0.12,0.04,0.04,0.04,0.04
#madame-desmartins,0.533333333333333,1.2000000000000002,0.005925925925925936,2.4066666666666667,0.0033333333333333396,0.10888888888888891,0.13444444444444442,0.12,19.360000000000003,6.453333333333333,6.453333333333333,6.453333333333333,6.453333333333333
#angelique,0.8999999999999999,0.4000000000000001,0.36,0.08,0.20249999999999999,0.24,0.48,0.04,6.453333333333333,23.04,0.04,0.04,0.04
#premier-vendangeur,0.4000000000000001,0.4000000000000001,0.36,0.08,0.64,0.24,0.48,0.04,6.453333333333333,0.04,23.04,23.04,23.04
#premier-vendangeur,0.4000000000000001,0.4000000000000001,0.36,0.08,0.64,0.24,0.48,0.04,6.453333333333333,0.04,23.04,23.04,23.04
#premier-vendangeur,0.4000000000000001,0.4000000000000001,0.36,0.08,0.64,0.24,0.48,0.04,6.453333333333333,0.04,23.04,23.04,23.04
Successions,#monsieur-thomasseau,#thibaut,#clitandre,#mariane,#madame-dubuissson,#lorange,#vivien,#bastien,#madame-desmartins,#angelique,#premier-vendangeur,#le-choeur,#second-vendangeur
#monsieur-thomasseau,0.0,0.38961038961038963,0.025974025974025976,0.025974025974025976,0.16883116883116883,0.09090909090909091,0.23376623376623376,0.0,0.03896103896103896,0.025974025974025976,0.0,0.0,0.0
#thibaut,0.3522727272727273,0.0,0.3409090909090909,0.125,0.11363636363636363,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
#clitandre,0.028985507246376812,0.4057971014492754,0.014492753623188406,0.15942028985507245,0.2318840579710145,0.08695652173913043,0.07246376811594203,0.0,0.0,0.0,0.0,0.0,0.0
#mariane,0.08,0.56,0.32,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-dubuissson,0.18292682926829268,0.0975609756097561,0.15853658536585366,0.0,0.012195121951219513,0.23170731707317074,0.2804878048780488,0.012195121951219513,0.024390243902439025,0.0,0.0,0.0,0.0
#lorange,0.045454545454545456,0.045454545454545456,0.20454545454545456,0.0,0.4090909090909091,0.0,0.29545454545454547,0.0,0.0,0.0,0.0,0.0,0.0
#vivien,0.3235294117647059,0.08823529411764706,0.08823529411764706,0.0,0.3088235294117647,0.1323529411764706,0.014705882352941176,0.04411764705882353,0.0,0.0,0.0,0.0,0.0
#bastien,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-desmartins,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111
#angelique,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#premier-vendangeur,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.4
#le-choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25
#second-vendangeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
