VALEUR,#berger,#choeur,#hylas,#sylvie,#lysis,#sylvie #lysis,#le-choeur,#timarette
Fréquences (scènes),0.08333333333333333,0.16666666666666666,0.5,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333
Fréquences(répliques),0.040214477211796246,0.04289544235924933,0.16353887399463807,0.21179624664879357,0.3485254691689008,0.024128686327077747,0.0160857908847185,0.15281501340482573
Confrontation,0.025,0.05,0.2,0.275,0.15,0.05,0.05,0.2
Déviations,#berger,#choeur,#hylas,#sylvie,#lysis,#sylvie #lysis,#le-choeur,#timarette
#berger,10.083333333333332,4.166666666666668,0.5,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333
#choeur,4.166666666666668,8.333333333333336,0.0,1.1666666666666667,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666
#hylas,0.5,0.0,3.0,0.07142857142857142,0.0,0.5,0.5,0.0
#sylvie,0.5833333333333333,1.1666666666666665,0.07142857142857142,2.083333333333332,0.04761904761904754,0.2976190476190477,0.2976190476190477,1.190476190476191
#lysis,0.3333333333333333,0.6666666666666666,0.0,0.04761904761904766,5.333333333333335,1.3333333333333337,0.3333333333333333,0.0833333333333333
#sylvie #lysis,0.08333333333333333,0.16666666666666666,0.5,0.29761904761904756,1.3333333333333337,10.083333333333332,0.08333333333333333,0.3333333333333333
#le-choeur,0.08333333333333333,0.16666666666666666,0.5,0.29761904761904756,0.3333333333333333,0.08333333333333333,10.083333333333332,1.3333333333333337
#timarette,0.3333333333333333,0.6666666666666666,0.0,1.1904761904761902,0.0833333333333333,0.3333333333333333,1.3333333333333337,5.333333333333335
Successions,#berger,#choeur,#hylas,#sylvie,#lysis,#sylvie #lysis,#le-choeur,#timarette
#berger,,,,,,,,
#choeur,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#hylas,0.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.35714285714285715,0.07142857142857142,0.0,0.07142857142857142
#sylvie,0.0,0.0,0.16,0.0,0.68,0.0,0.04,0.12
#lysis,0.0,0.0,0.32,0.6,0.0,0.0,0.0,0.08
#sylvie #lysis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#le-choeur,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
#timarette,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
