VALEUR,#le-tabellion,#lucas,#la-mere,#le-soldat,#le-musicien,#adrien,#un-parent,#autre-parent,#nanette,#le-comte,#la-comtesse,#dorante
Fréquences (scènes),0.08333333333333333,0.25,0.125,0.08333333333333333,0.08333333333333333,0.75,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.375,0.25,0.20833333333333334
Fréquences(répliques),0.0,0.0,0.0,0.0,0.07142857142857142,0.47619047619047616,0.0,0.0,0.0,0.15476190476190477,0.2976190476190476,0.0
Confrontation,0.0763888888888889,0.10416666666666667,0.09027777777777778,0.0763888888888889,0.0763888888888889,0.18055555555555555,0.04861111111111111,0.04861111111111111,0.041666666666666664,0.10416666666666667,0.08333333333333333,0.06944444444444445
Déviations,#le-tabellion,#lucas,#la-mere,#le-soldat,#le-musicien,#adrien,#un-parent,#autre-parent,#nanette,#le-comte,#la-comtesse,#dorante
#le-tabellion,20.166666666666664,4.5,12.25,20.166666666666664,20.166666666666664,0.16666666666666666,10.083333333333332,10.083333333333332,0.3333333333333333,0.75,0.5,0.4166666666666667
#lucas,4.5,13.5,6.75,4.5,4.5,1.3888888888888888,2.25,2.25,1.0,0.027777777777777776,1.5,1.25
#la-mere,12.25,6.75,18.375,12.25,12.25,0.6944444444444444,6.125,6.125,0.5,0.013888888888888888,0.75,0.625
#le-tabellion,20.166666666666664,4.5,12.25,20.166666666666664,20.166666666666664,0.16666666666666666,10.083333333333332,10.083333333333332,0.3333333333333333,0.75,0.5,0.4166666666666667
#le-tabellion,20.166666666666664,4.5,12.25,20.166666666666664,20.166666666666664,0.16666666666666666,10.083333333333332,10.083333333333332,0.3333333333333333,0.75,0.5,0.4166666666666667
#adrien,0.16666666666666666,1.3888888888888888,0.6944444444444444,0.16666666666666666,0.16666666666666666,1.5,0.08333333333333333,0.08333333333333333,0.0,0.4537037037037037,0.05555555555555555,0.4166666666666667
#un-parent,10.083333333333332,2.25,6.125,10.083333333333332,10.083333333333332,0.08333333333333333,22.04166666666667,22.04166666666667,0.16666666666666666,0.375,0.25,0.20833333333333334
#un-parent,10.083333333333332,2.25,6.125,10.083333333333332,10.083333333333332,0.08333333333333333,22.04166666666667,22.04166666666667,0.16666666666666666,0.375,0.25,0.20833333333333334
#nanette,0.3333333333333333,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,16.66666666666667,0.16666666666666666,0.0,0.03333333333333332
#le-comte,0.75,0.027777777777777776,0.013888888888888888,0.75,0.75,0.4537037037037037,0.375,0.375,0.16666666666666666,9.375,1.3611111111111112,0.008333333333333333
#la-comtesse,0.5,1.5,0.75,0.5,0.5,0.05555555555555555,0.25,0.25,0.0,1.3611111111111112,13.5,0.45
#dorante,0.41666666666666663,1.25,0.625,0.41666666666666663,0.41666666666666663,0.4166666666666667,0.20833333333333331,0.20833333333333331,0.03333333333333337,0.008333333333333333,0.45,15.041666666666663
Successions,#le-tabellion,#lucas,#la-mere,#le-soldat,#le-musicien,#adrien,#un-parent,#autre-parent,#nanette,#le-comte,#la-comtesse,#dorante
#le-tabellion,0.0,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
#lucas,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.0,0.42105263157894735,0.0,0.0,0.0,0.3157894736842105,0.05263157894736842,0.0
#la-mere,0.17647058823529413,0.11764705882352941,0.0,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0
#le-soldat,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-musicien,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#adrien,0.023809523809523808,0.09523809523809523,0.03571428571428571,0.0,0.0,0.05952380952380952,0.0,0.0,0.2261904761904762,0.27380952380952384,0.14285714285714285,0.14285714285714285
#un-parent,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#autre-parent,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#nanette,0.0,0.047619047619047616,0.0,0.0,0.0,0.8095238095238095,0.0,0.0,0.0,0.047619047619047616,0.0,0.09523809523809523
#le-comte,0.0,0.07575757575757576,0.015151515151515152,0.0,0.0,0.3939393939393939,0.0,0.0,0.015151515151515152,0.0,0.3181818181818182,0.18181818181818182
#la-comtesse,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,0.0,0.0,0.0,0.6486486486486487,0.0,0.05405405405405406
#dorante,0.0,0.0,0.0,0.0,0.0,0.4642857142857143,0.0,0.0,0.03571428571428571,0.42857142857142855,0.07142857142857142,0.0
