VALEUR,#ziani,#gradonigue,#montano,#laurence,#le-messager,#lucile,#orzano,#l-officier,#quirini,#le-vieillard,#le-commandant
Fréquences (scènes),0.18421052631578946,0.21052631578947367,0.18421052631578946,0.631578947368421,0.02631578947368421,0.13157894736842105,0.2894736842105263,0.02631578947368421,0.18421052631578946,0.02631578947368421,0.02631578947368421
Fréquences(répliques),0.09411085450346421,0.09353348729792148,0.07448036951501155,0.3002309468822171,0.0011547344110854503,0.036374133949191687,0.24249422632794457,0.008083140877598153,0.1379907621247113,0.008083140877598153,0.003464203233256351
Confrontation,0.08139534883720931,0.12790697674418605,0.11627906976744186,0.29069767441860467,0.023255813953488372,0.05813953488372093,0.13953488372093023,0.011627906976744186,0.10465116279069768,0.011627906976744186,0.03488372093023256
Déviations,#ziani,#gradonigue,#montano,#laurence,#le-messager,#lucile,#orzano,#l-officier,#quirini,#le-vieillard,#le-commandant
#ziani,25.289473684210524,0.1522556390977443,1.2894736842105263,2.647243107769423,0.18421052631578946,0.9210526315789473,1.9224196855775808,0.18421052631578946,0.06498388829215897,0.18421052631578946,0.18421052631578946
#gradonigue,0.1522556390977443,23.68421052631579,0.1522556390977443,0.17763157894736853,2.960526315789474,1.0526315789473684,0.04306220095693782,0.21052631578947367,1.4736842105263157,0.21052631578947367,0.21052631578947367
#montano,1.2894736842105263,0.1522556390977443,25.289473684210524,0.04010025062656633,0.18421052631578946,0.9210526315789473,2.026315789473684,3.6127819548872178,2.26906552094522,0.18421052631578946,3.6127819548872178
#laurence,2.647243107769423,0.17763157894736853,0.04010025062656633,5.157894736842107,0.21491228070175444,1.0745614035087718,1.2503987240829348,0.631578947368421,1.3258145363408516,0.21491228070175444,0.21491228070175444
#le-messager,0.18421052631578946,2.960526315789474,0.18421052631578946,0.21491228070175444,36.02631578947369,0.13157894736842105,0.2894736842105263,0.02631578947368421,0.18421052631578946,0.02631578947368421,0.02631578947368421
#lucile,0.9210526315789473,1.0526315789473684,0.9210526315789473,1.0745614035087718,0.13157894736842105,28.65789473684211,1.4473684210526316,0.13157894736842105,0.9210526315789473,0.13157894736842105,0.13157894736842105
#orzano,1.9224196855775808,0.04306220095693782,2.026315789473684,1.2503987240829342,0.2894736842105263,1.4473684210526316,19.18421052631579,0.2894736842105263,0.0003417634996582329,0.2894736842105263,0.2894736842105263
#l-officier,0.18421052631578946,0.21052631578947367,3.6127819548872178,0.631578947368421,0.02631578947368421,0.13157894736842105,0.2894736842105263,36.02631578947369,0.18421052631578946,0.02631578947368421,0.02631578947368421
#quirini,0.06498388829215897,1.4736842105263157,2.26906552094522,1.3258145363408516,0.18421052631578946,0.9210526315789473,0.0003417634996582329,0.18421052631578946,25.289473684210524,0.18421052631578946,3.6127819548872178
#le-vieillard,0.18421052631578946,0.21052631578947367,0.18421052631578946,0.21491228070175444,0.02631578947368421,0.13157894736842105,0.2894736842105263,0.02631578947368421,0.18421052631578946,36.02631578947369,0.02631578947368421
#le-commandant,0.18421052631578946,0.21052631578947367,3.6127819548872178,0.21491228070175444,0.02631578947368421,0.13157894736842105,0.2894736842105263,0.02631578947368421,3.6127819548872178,0.02631578947368421,36.02631578947369
Successions,#ziani,#gradonigue,#montano,#laurence,#le-messager,#lucile,#orzano,#l-officier,#quirini,#le-vieillard,#le-commandant
#ziani,0.04878048780487805,0.07317073170731707,0.0,0.14634146341463414,0.0,0.0,0.6829268292682927,0.0,0.04878048780487805,0.0,0.0
#gradonigue,0.10714285714285714,0.0,0.07142857142857142,0.7142857142857143,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
#montano,0.0,0.03508771929824561,0.0,0.38596491228070173,0.0,0.0,0.017543859649122806,0.08771929824561403,0.40350877192982454,0.0,0.07017543859649122
#laurence,0.03076923076923077,0.13846153846153847,0.16153846153846155,0.038461538461538464,0.0,0.17692307692307693,0.27692307692307694,0.0,0.13076923076923078,0.046153846153846156,0.0
#le-messager,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucile,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#orzano,0.3780487804878049,0.04878048780487805,0.0,0.4146341463414634,0.0,0.0,0.012195121951219513,0.0,0.14634146341463414,0.0,0.0
#l-officier,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#quirini,0.037037037037037035,0.0,0.46296296296296297,0.24074074074074073,0.0,0.0,0.24074074074074073,0.0,0.0,0.0,0.018518518518518517
#lucile,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-commandant,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
