VALEUR,#la-critique,#le-suivant-d-apollon,#belise,#l-arlequin-français,#l-arlequin-italien,#le-marquis,#filemon,#l-auteur
Fréquences (scènes),1.0,0.125,0.125,0.25,0.125,0.125,0.25,0.125
Fréquences(répliques),0.3206967213114754,0.031762295081967214,0.12295081967213115,0.14959016393442623,0.045081967213114756,0.13012295081967212,0.07889344262295082,0.12090163934426229
Confrontation,0.4090909090909091,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.09090909090909091
Déviations,#la-critique,#le-suivant-d-apollon,#belise,#l-arlequin-français,#l-arlequin-italien,#le-marquis,#filemon,#l-auteur
#la-critique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-suivant-d-apollon,0.0,6.125,0.125,0.25,0.125,0.125,0.25,0.125
#belise,0.0,0.125,6.125,0.25,0.125,0.125,0.25,0.125
#l-arlequin-français,0.0,0.25,0.25,4.5,2.25,0.25,0.5,0.25
#l-arlequin-italien,0.0,0.125,0.125,2.25,6.125,0.125,0.25,0.125
#le-marquis,0.0,0.125,0.125,0.25,0.125,6.125,0.25,0.125
#filemon,0.0,0.25,0.25,0.5,0.25,0.25,4.5,2.25
#l-auteur,0.0,0.125,0.125,0.25,0.125,0.125,2.25,6.125
Successions,#la-critique,#le-suivant-d-apollon,#belise,#l-arlequin-français,#l-arlequin-italien,#le-marquis,#filemon,#l-auteur
#la-critique,0.01282051282051282,0.08974358974358974,0.1794871794871795,0.3076923076923077,0.05128205128205128,0.23076923076923078,0.07692307692307693,0.05128205128205128
#le-suivant-d-apollon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#belise,0.9285714285714286,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
#l-arlequin-français,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
#l-arlequin-italien,0.2777777777777778,0.0,0.0,0.6111111111111112,0.1111111111111111,0.0,0.0,0.0
#le-marquis,0.9444444444444444,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
#filemon,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556
#l-auteur,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
