VALEUR,#poquelin,#la-couture,#drouillac,#moliere,#cresse,#bejart,#louis,#duparc,#madeleine,#genevieve,#madeleine #duparc,#louis #genevieve,#madeleine #genevieve,#tous,#l-echevin
Fréquences (scènes),0.3,0.6,0.1,0.8,0.6,0.3,0.3,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Fréquences(répliques),0.17362637362637362,0.23516483516483516,0.05714285714285714,0.34285714285714286,0.09010989010989011,0.013186813186813187,0.006593406593406593,0.006593406593406593,0.013186813186813187,0.015384615384615385,0.002197802197802198,0.002197802197802198,0.002197802197802198,0.002197802197802198,0.03736263736263736
Confrontation,0.03763440860215054,0.10752688172043011,0.010752688172043012,0.15053763440860216,0.0967741935483871,0.10215053763440861,0.10215053763440861,0.03225806451612903,0.08064516129032258,0.08064516129032258,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.005376344086021506
Déviations,#poquelin,#la-couture,#drouillac,#moliere,#cresse,#bejart,#louis,#duparc,#madeleine,#genevieve,#madeleine #duparc,#louis #genevieve,#madeleine #genevieve,#tous,#l-echevin
#poquelin,4.9,0.022222222222222265,1.6333333333333329,0.06666666666666678,0.022222222222222265,0.8999999999999999,0.8999999999999999,0.30000000000000004,0.6000000000000001,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
#la-couture,0.022222222222222265,1.6000000000000005,0.2666666666666665,0.13333333333333355,0.0999999999999999,0.022222222222222265,0.022222222222222265,0.6000000000000001,0.03333333333333339,0.03333333333333339,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.6000000000000001
#drouillac,1.633333333333333,0.2666666666666667,8.1,0.8000000000000002,0.6,0.3,0.3,0.10000000000000002,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#moliere,0.06666666666666664,0.13333333333333328,0.8000000000000002,0.3999999999999998,0.3000000000000001,0.15000000000000005,0.15000000000000005,0.049999999999999975,0.09999999999999995,0.09999999999999995,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975
#cresse,0.022222222222222265,0.0999999999999999,0.6000000000000001,0.2999999999999996,1.6000000000000005,0.022222222222222265,0.022222222222222265,0.2666666666666665,0.03333333333333339,0.03333333333333339,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001
#bejart,0.8999999999999999,0.022222222222222265,0.30000000000000004,0.1499999999999998,0.022222222222222265,4.9,4.9,1.6333333333333329,3.2666666666666657,3.2666666666666657,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,0.30000000000000004
#bejart,0.8999999999999999,0.022222222222222265,0.30000000000000004,0.1499999999999998,0.022222222222222265,4.9,4.9,1.6333333333333329,3.2666666666666657,3.2666666666666657,1.6333333333333329,1.6333333333333329,1.6333333333333329,1.6333333333333329,0.30000000000000004
#duparc,0.3,0.6,0.10000000000000002,0.049999999999999975,0.2666666666666667,1.633333333333333,1.633333333333333,8.1,3.2000000000000006,3.2000000000000006,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#madeleine,0.6,0.03333333333333332,0.20000000000000004,0.09999999999999995,0.03333333333333332,3.266666666666666,3.266666666666666,3.2000000000000006,6.400000000000001,6.400000000000001,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.20000000000000004
#madeleine,0.6,0.03333333333333332,0.20000000000000004,0.09999999999999995,0.03333333333333332,3.266666666666666,3.266666666666666,3.2000000000000006,6.400000000000001,6.400000000000001,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.20000000000000004
