VALEUR,#erato,#uranie,#thalie,#calliope,#clio,#melpomene,#momus,#apollon,#euphrosine,#mercure
Fréquences (scènes),0.25,0.25,0.25,0.375,0.375,0.125,0.25,0.25,0.125,0.125
Fréquences(répliques),0.15184381778741865,0.13665943600867678,0.08893709327548807,0.09544468546637744,0.10845986984815618,0.1301518438177874,0.1279826464208243,0.07592190889370933,0.04338394793926247,0.04121475054229935
Confrontation,0.1,0.1,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.06666666666666667,0.13333333333333333,0.1,0.06666666666666667,0.03333333333333333
Déviations,#erato,#uranie,#thalie,#calliope,#clio,#melpomene,#momus,#apollon,#euphrosine,#mercure
#erato,4.5,4.5,0.5,0.75,0.75,0.25,0.5,0.5,0.25,0.25
#erato,4.5,4.5,0.5,0.75,0.75,0.25,0.5,0.5,0.25,0.25
#thalie,0.5,0.5,4.5,0.75,0.75,0.25,0.5,0.5,0.25,0.25
#calliope,0.75,0.75,0.75,3.125,3.125,1.0416666666666667,0.08333333333333333,0.75,0.375,0.375
#calliope,0.75,0.75,0.75,3.125,3.125,1.0416666666666667,0.08333333333333333,0.75,0.375,0.375
#melpomene,0.25,0.25,0.25,1.0416666666666667,1.0416666666666667,6.125,0.25,0.25,0.125,0.125
#momus,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.25,4.5,0.5,2.25,0.25
#apollon,0.5,0.5,0.5,0.75,0.75,0.25,0.5,4.5,2.25,2.25
#euphrosine,0.25,0.25,0.25,0.375,0.375,0.125,2.25,2.25,6.125,0.125
#mercure,0.25,0.25,0.25,0.375,0.375,0.125,0.25,2.25,0.125,6.125
Successions,#erato,#uranie,#thalie,#calliope,#clio,#melpomene,#momus,#apollon,#euphrosine,#mercure
#erato,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#uranie,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thalie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#calliope,0.0,0.0,0.125,0.0,0.5,0.125,0.25,0.0,0.0,0.0
#clio,0.0,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0
#melpomene,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
#momus,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0
#apollon,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4
#euphrosine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#euphrosine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
