VALEUR,#la-reine,#la-princesse,#argire,#gelon,#sostrate,#milon,#phedre,#phenix
Fréquences (scènes),0.525,0.425,0.175,0.175,0.175,0.05,0.125,0.15
Fréquences(répliques),0.2980900409276944,0.22783083219645292,0.03615279672578445,0.12551159618008187,0.14120054570259208,0.018417462482946793,0.0470668485675307,0.10572987721691678
Confrontation,0.28125,0.21875,0.09375,0.109375,0.109375,0.03125,0.078125,0.078125
Déviations,#la-reine,#la-princesse,#argire,#gelon,#sostrate,#milon,#phedre,#phenix
#la-reine,9.025,2.7177170868347327,0.4777210884353743,0.12397959183673464,0.12397959183673464,1.05,1.005952380952381,0.4198412698412698
#la-princesse,2.7177170868347345,13.225000000000001,1.3111344537815122,0.31953781512605023,1.3111344537815122,0.8500000000000001,1.6544117647058822,0.1186274509803921
#argire,0.4777210884353739,1.3111344537815126,27.225000000000005,1.2249999999999999,1.2249999999999999,0.35000000000000003,0.875,1.05
#gelon,0.12397959183673478,0.31953781512605045,1.2249999999999999,27.225000000000005,0.04132653061224485,0.35000000000000003,0.875,0.002380952380952385
#sostrate,0.12397959183673478,1.3111344537815126,1.2249999999999999,0.04132653061224485,27.225000000000005,7.778571428571427,0.875,1.05
#milon,1.05,0.85,0.35,0.35,7.7785714285714285,36.099999999999994,0.25,0.3
#phedre,1.005952380952381,1.6544117647058822,0.875,0.875,0.875,0.25,30.625,0.75
#phenix,0.41984126984127007,0.1186274509803921,1.0499999999999998,0.0023809523809523647,1.0499999999999998,0.30000000000000004,0.75,28.900000000000002
Successions,#la-reine,#la-princesse,#argire,#gelon,#sostrate,#milon,#phedre,#phenix
#la-reine,0.08064516129032258,0.25806451612903225,0.12903225806451613,0.24193548387096775,0.1935483870967742,0.0,0.03225806451612903,0.06451612903225806
#la-princesse,0.26229508196721313,0.08196721311475409,0.03278688524590164,0.21311475409836064,0.14754098360655737,0.0,0.16393442622950818,0.09836065573770492
#argire,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
#gelon,0.4,0.37142857142857144,0.02857142857142857,0.0,0.11428571428571428,0.0,0.0,0.08571428571428572
#sostrate,0.3939393939393939,0.24242424242424243,0.0,0.12121212121212122,0.030303030303030304,0.21212121212121213,0.0,0.0
#milon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#phedre,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
#phenix,0.23076923076923078,0.5384615384615384,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
