VALEUR,#maclou,#petit-pierre,#tiennette,#margot,#tiennette #margot,#le-baron,#marcasse,#le-choeur-des-piqueurs,#le-choeur,#le-baron #marcasse #le-choeur,#tous,#ensemble
Fréquences (scènes),0.6,0.5333333333333333,0.6,0.6,0.26666666666666666,0.4,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667
Fréquences(répliques),0.11989795918367346,0.3494897959183674,0.12244897959183673,0.03826530612244898,0.04336734693877551,0.08928571428571429,0.15051020408163265,0.04336734693877551,0.03316326530612245,0.00510204081632653,0.00510204081632653,0.0
Confrontation,0.1276595744680851,0.11347517730496454,0.14184397163120568,0.14184397163120568,0.07446808510638298,0.10638297872340426,0.12056737588652482,0.031914893617021274,0.031914893617021274,0.031914893617021274,0.07092198581560284,0.0070921985815602835
Déviations,#maclou,#petit-pierre,#tiennette,#margot,#tiennette #margot,#le-baron,#marcasse,#le-choeur-des-piqueurs,#le-choeur,#le-baron #marcasse #le-choeur,#tous,#ensemble
#maclou,2.4000000000000012,0.3000000000000001,0.06666666666666679,0.06666666666666679,0.15000000000000005,0.04444444444444442,0.008333333333333349,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.7999999999999999,0.6
#petit-pierre,0.3000000000000001,3.266666666666667,0.3000000000000001,0.3000000000000001,0.35208333333333336,0.012500000000000022,0.37604166666666666,0.4083333333333334,0.4083333333333334,0.4083333333333334,0.09999999999999995,0.5333333333333333
#tiennette,0.06666666666666679,0.3000000000000001,2.4000000000000012,2.4000000000000012,1.0666666666666669,0.04444444444444442,0.008333333333333349,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.7999999999999999,0.6
#tiennette,0.06666666666666679,0.3000000000000001,2.4000000000000012,2.4000000000000012,1.0666666666666669,0.04444444444444442,0.008333333333333349,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.7999999999999999,0.6
#tiennette #margot,0.15000000000000005,0.35208333333333336,1.0666666666666669,1.0666666666666669,8.066666666666668,1.2249999999999999,0.35208333333333336,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.049999999999999975,0.26666666666666666
#le-baron,0.04444444444444453,0.012500000000000022,0.04444444444444453,0.04444444444444453,1.2249999999999999,5.399999999999998,2.4499999999999997,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.533333333333333,0.8999999999999999
