VALEUR,#neron,#sabine,#seneque,#rufus,#pison,#sevinus,#epicaris,#lucain,#procule,#milicus,#pauline,#le-centenier
Fréquences (scènes),0.5,0.4,0.15,0.25,0.2,0.4,0.3,0.3,0.1,0.1,0.05,0.1
Fréquences(répliques),0.18347193347193347,0.1346153846153846,0.16632016632016633,0.05145530145530146,0.07484407484407485,0.07588357588357589,0.12993762993762994,0.07380457380457381,0.04054054054054054,0.007796257796257797,0.018191268191268192,0.04313929313929314
Confrontation,0.17796610169491525,0.13559322033898305,0.0423728813559322,0.11016949152542373,0.07627118644067797,0.16101694915254236,0.1016949152542373,0.0847457627118644,0.025423728813559324,0.03389830508474576,0.01694915254237288,0.03389830508474576
Déviations,#neron,#sabine,#seneque,#rufus,#pison,#sevinus,#epicaris,#lucain,#procule,#milicus,#pauline,#le-centenier
#neron,5.0,2.25,0.16666666666666666,0.1,2.0,0.25,0.3333333333333333,3.0,0.0,1.0,0.5,0.0
#sabine,2.25,7.199999999999999,1.2,0.5,1.6000000000000003,1.0124999999999997,0.8166666666666665,2.4,0.8000000000000002,0.049999999999999975,0.4000000000000001,0.049999999999999975
#seneque,0.16666666666666666,1.2000000000000002,14.450000000000001,0.08333333333333333,0.6000000000000001,1.2000000000000002,0.8999999999999999,0.011111111111111132,0.30000000000000004,0.30000000000000004,4.8166666666666655,1.6333333333333329
#rufus,0.1,0.5,0.08333333333333333,11.25,4.0,0.5,0.16666666666666666,0.16666666666666666,0.5,0.5,0.25,0.5
#pison,2.0,1.6000000000000003,0.6,4.0,12.800000000000002,0.09999999999999995,0.03333333333333332,2.7,0.4000000000000001,0.4000000000000001,0.20000000000000004,0.4000000000000001
#sevinus,0.25,1.0124999999999997,1.2,0.5,0.09999999999999995,7.199999999999999,0.06666666666666664,0.8166666666666665,0.8000000000000002,0.049999999999999975,0.4000000000000001,0.8000000000000002
#epicaris,0.3333333333333333,0.816666666666667,0.8999999999999999,0.16666666666666666,0.03333333333333339,0.06666666666666678,9.8,0.8000000000000003,3.2666666666666657,0.6000000000000001,0.30000000000000004,0.6000000000000001
#lucain,3.0,2.4000000000000004,0.011111111111111132,0.16666666666666666,2.699999999999999,0.816666666666667,0.8000000000000003,9.8,0.6000000000000001,0.6000000000000001,0.30000000000000004,0.6000000000000001
#procule,0.0,0.8000000000000002,0.3,0.5,0.4000000000000001,0.8000000000000002,3.266666666666666,0.6,16.2,0.20000000000000004,0.10000000000000002,0.20000000000000004
#milicus,1.0,0.049999999999999975,0.3,0.5,0.4000000000000001,0.049999999999999975,0.6,0.6,0.20000000000000004,16.2,0.10000000000000002,0.20000000000000004
#pauline,0.5,0.4000000000000001,4.816666666666666,0.25,0.20000000000000004,0.4000000000000001,0.3,0.3,0.10000000000000002,0.10000000000000002,18.049999999999997,8.1
#le-centenier,0.0,0.049999999999999975,1.633333333333333,0.5,0.4000000000000001,0.8000000000000002,0.6,0.6,0.20000000000000004,0.20000000000000004,8.1,16.2
Successions,#neron,#sabine,#seneque,#rufus,#pison,#sevinus,#epicaris,#lucain,#procule,#milicus,#pauline,#le-centenier
#neron,0.02247191011235955,0.39325842696629215,0.02247191011235955,0.02247191011235955,0.0,0.21348314606741572,0.2247191011235955,0.0,0.033707865168539325,0.056179775280898875,0.0,0.011235955056179775
#sabine,0.66,0.0,0.0,0.0,0.0,0.16,0.08,0.0,0.0,0.0,0.0,0.1
#seneque,0.075,0.0,0.0,0.05,0.0,0.0,0.0,0.575,0.0,0.0,0.2,0.1
#rufus,0.22727272727272727,0.0,0.045454545454545456,0.0,0.6363636363636364,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.0
#pison,0.047619047619047616,0.0,0.047619047619047616,0.5238095238095238,0.0,0.047619047619047616,0.09523809523809523,0.23809523809523808,0.0,0.0,0.0,0.0
#sevinus,0.4090909090909091,0.18181818181818182,0.0,0.13636363636363635,0.045454545454545456,0.0,0.18181818181818182,0.0,0.0,0.045454545454545456,0.0,0.0
#epicaris,0.33962264150943394,0.05660377358490566,0.0,0.0,0.018867924528301886,0.18867924528301888,0.0,0.18867924528301888,0.20754716981132076,0.0,0.0,0.0
#lucain,0.0,0.0,0.5609756097560976,0.024390243902439025,0.0975609756097561,0.04878048780487805,0.21951219512195122,0.04878048780487805,0.0,0.0,0.0,0.0
#procule,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
#milicus,0.5714285714285714,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
#pauline,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-centenier,0.1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
