VALEUR,#l-empereur,#damis,#philinte,#anaxandre,#lysiman,#lycaste,#caliante,#ismin,#philene,#charixene,#sylvain,#premier-des-gardes,#second-des-gardes,#garde,#leon
Fréquences (scènes),0.26666666666666666,0.3333333333333333,0.4,0.26666666666666666,0.2,0.3333333333333333,0.06666666666666667,0.4666666666666667,0.06666666666666667,0.2,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667
Fréquences(répliques),0.17304823470909994,0.051218299353555444,0.10840377921432123,0.07260069617105917,0.043262058677274985,0.045251118846345105,0.003978120338140228,0.2839383391347588,0.022376926902038786,0.07757334659373447,0.039781203381402286,0.028841372451516658,0.011437095972153158,0.009945300845350571,0.02834410740924913
Confrontation,0.11363636363636363,0.11363636363636363,0.12878787878787878,0.06060606060606061,0.06060606060606061,0.10606060606060606,0.03787878787878788,0.11363636363636363,0.007575757575757576,0.06060606060606061,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.06060606060606061,0.022727272727272728
Déviations,#l-empereur,#damis,#philinte,#anaxandre,#lysiman,#lycaste,#caliante,#ismin,#philene,#charixene,#sylvain,#premier-des-gardes,#second-des-gardes,#garde,#leon
#l-empereur,8.066666666666668,2.083333333333334,1.2249999999999999,0.004166666666666665,0.049999999999999975,0.0833333333333333,2.016666666666667,0.4023809523809524,0.26666666666666666,0.049999999999999975,0.004166666666666665,0.26666666666666666,0.26666666666666666,4.033333333333334,0.26666666666666666
#damis,2.083333333333334,6.666666666666668,0.5,0.0833333333333333,0.0,0.26666666666666655,0.3333333333333333,0.761904761904762,0.3333333333333333,0.0,0.0833333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666674,1.3333333333333337
#philinte,1.2249999999999999,0.5,5.399999999999998,0.22500000000000006,0.03333333333333339,2.0,0.8999999999999999,0.22857142857142848,0.4000000000000001,1.2000000000000002,1.6000000000000003,0.4000000000000001,0.4000000000000001,0.049999999999999975,0.8999999999999999
#anaxandre,0.004166666666666665,0.0833333333333333,0.22500000000000006,8.066666666666668,6.050000000000001,0.0833333333333333,2.016666666666667,1.8666666666666667,0.26666666666666666,0.8000000000000002,1.0666666666666667,0.26666666666666666,0.26666666666666666,0.5333333333333333,0.26666666666666666
#lysiman,0.049999999999999975,0.0,0.03333333333333339,6.050000000000001,9.599999999999998,0.0,3.2000000000000006,1.4,0.20000000000000004,0.6000000000000001,0.8000000000000002,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004
#lycaste,0.0833333333333333,0.26666666666666655,2.0,0.0833333333333333,0.0,6.666666666666668,1.3333333333333337,0.04761904761904766,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333337,1.3333333333333337,0.6666666666666666,1.3333333333333337
#caliante,2.016666666666667,0.3333333333333333,0.8999999999999999,2.016666666666667,3.2000000000000006,1.3333333333333337,13.066666666666668,0.4666666666666667,0.06666666666666667,0.20000000000000004,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667
#ismin,0.4023809523809524,0.7619047619047616,0.2285714285714287,1.8666666666666667,1.4000000000000001,0.04761904761904754,0.4666666666666667,4.266666666666667,0.6095238095238095,0.257142857142857,0.688095238095238,0.6095238095238095,0.6095238095238095,0.00476190476190476,0.4666666666666667
#philene,0.26666666666666666,0.3333333333333333,0.4000000000000001,0.26666666666666666,0.20000000000000004,0.3333333333333333,0.06666666666666667,0.6095238095238095,13.066666666666668,0.20000000000000004,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667
#charixene,0.049999999999999975,0.0,1.2000000000000002,0.8000000000000002,0.6000000000000001,1.0,0.20000000000000004,0.25714285714285723,0.20000000000000004,9.599999999999998,6.050000000000001,0.20000000000000004,0.20000000000000004,0.8999999999999999,0.20000000000000004
#sylvain,0.004166666666666665,0.0833333333333333,1.6000000000000003,1.0666666666666667,0.8000000000000002,1.3333333333333333,0.26666666666666666,0.688095238095238,0.26666666666666666,6.050000000000001,8.066666666666668,0.26666666666666666,0.26666666666666666,0.4083333333333334,0.26666666666666666
#premier-des-gardes,0.26666666666666666,0.3333333333333333,0.4000000000000001,0.26666666666666666,0.20000000000000004,1.3333333333333337,0.06666666666666667,0.6095238095238095,0.06666666666666667,0.20000000000000004,0.26666666666666666,13.066666666666668,13.066666666666668,0.13333333333333333,0.06666666666666667
#premier-des-gardes,0.26666666666666666,0.3333333333333333,0.4000000000000001,0.26666666666666666,0.20000000000000004,1.3333333333333337,0.06666666666666667,0.6095238095238095,0.06666666666666667,0.20000000000000004,0.26666666666666666,13.066666666666668,13.066666666666668,0.13333333333333333,0.06666666666666667
#garde,4.033333333333334,2.6666666666666674,0.049999999999999975,0.5333333333333333,0.4000000000000001,0.6666666666666666,0.13333333333333333,0.00476190476190476,0.13333333333333333,0.8999999999999999,0.4083333333333334,0.13333333333333333,0.13333333333333333,11.266666666666667,0.13333333333333333
#leon,0.26666666666666666,1.3333333333333337,0.8999999999999999,0.26666666666666666,0.20000000000000004,1.3333333333333337,0.06666666666666667,0.4666666666666667,0.06666666666666667,0.20000000000000004,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,13.066666666666668
Successions,#l-empereur,#damis,#philinte,#anaxandre,#lysiman,#lycaste,#caliante,#ismin,#philene,#charixene,#sylvain,#premier-des-gardes,#second-des-gardes,#garde,#leon
#l-empereur,0.0,0.37777777777777777,0.2222222222222222,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.0,0.13333333333333333,0.0,0.06666666666666667,0.044444444444444446,0.0,0.0,0.044444444444444446,0.0
#damis,0.7692307692307693,0.0,0.07692307692307693,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464
#philinte,0.1864406779661017,0.03389830508474576,0.01694915254237288,0.1694915254237288,0.0,0.1864406779661017,0.01694915254237288,0.1694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.22033898305084745
#anaxandre,0.05405405405405406,0.08108108108108109,0.2702702702702703,0.0,0.5405405405405406,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lysiman,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lycaste,0.08,0.04,0.44,0.0,0.0,0.0,0.08,0.12,0.0,0.0,0.0,0.12,0.12,0.0,0.0
#caliante,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ismin,0.05434782608695652,0.010869565217391304,0.08695652173913043,0.0,0.0,0.06521739130434782,0.0,0.07608695652173914,0.18478260869565216,0.2391304347826087,0.11956521739130435,0.11956521739130435,0.021739130434782608,0.021739130434782608,0.0
