VALEUR,#proxene,#trasile,#dynamis,#poliante,#proclee,#euristene,#les-deputes,#arcas,#deputes
Fréquences (scènes),0.27586206896551724,0.4827586206896552,0.7241379310344828,0.2413793103448276,0.20689655172413793,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
Fréquences(répliques),0.11428571428571428,0.1893462469733656,0.40242130750605326,0.1907990314769976,0.043099273607748186,0.021307506053268765,0.022276029055690073,0.014527845036319613,0.001937046004842615
Confrontation,0.11702127659574468,0.19148936170212766,0.2765957446808511,0.14893617021276595,0.1276595744680851,0.02127659574468085,0.010638297872340425,0.05319148936170213,0.05319148936170213
Déviations,#proxene,#trasile,#dynamis,#poliante,#proclee,#euristene,#les-deputes,#arcas,#deputes
#proxene,15.20689655172414,0.1924261083743843,0.555008210180624,0.002463054187192112,0.07183908045977012,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.27586206896551724
#trasile,0.19242610837438412,7.758620689655173,0.45085620455078557,0.5629838142153414,0.277504105090312,0.5541871921182268,0.48275862068965514,0.5541871921182268,0.5541871921182268
#dynamis,0.555008210180624,0.4508562045507863,2.206896551724137,0.17100633356790967,0.02736726874657913,0.10509031198686371,0.10509031198686371,0.10509031198686371,0.10509031198686371
#poliante,0.0024630541871921282,0.5629838142153414,0.17100633356791003,16.68965517241379,0.21018062397372742,0.24137931034482757,0.24137931034482757,2.38423645320197,2.38423645320197
#proclee,0.07183908045977012,0.277504105090312,0.02736726874657913,0.21018062397372742,18.24137931034483,0.20689655172413793,0.20689655172413793,3.040229885057472,3.040229885057472
#euristene,0.27586206896551724,0.5541871921182264,0.10509031198686371,0.2413793103448276,0.20689655172413793,27.034482758620694,0.034482758620689655,0.034482758620689655,0.034482758620689655
#les-deputes,0.27586206896551724,0.4827586206896552,0.10509031198686371,0.2413793103448276,0.20689655172413793,0.034482758620689655,27.034482758620694,0.034482758620689655,0.034482758620689655
#arcas,0.27586206896551724,0.5541871921182264,0.10509031198686371,2.38423645320197,3.040229885057472,0.034482758620689655,0.034482758620689655,27.034482758620694,27.034482758620694
#arcas,0.27586206896551724,0.5541871921182264,0.10509031198686371,2.38423645320197,3.040229885057472,0.034482758620689655,0.034482758620689655,27.034482758620694,27.034482758620694
Successions,#proxene,#trasile,#dynamis,#poliante,#proclee,#euristene,#les-deputes,#arcas,#deputes
#proxene,0.03333333333333333,0.4666666666666667,0.16666666666666666,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0
#trasile,0.1891891891891892,0.013513513513513514,0.6351351351351351,0.013513513513513514,0.0945945945945946,0.02702702702702703,0.0,0.02702702702702703,0.0
#dynamis,0.0703125,0.359375,0.046875,0.3203125,0.15625,0.0078125,0.0078125,0.03125,0.0
#poliante,0.11320754716981132,0.03773584905660377,0.8113207547169812,0.0,0.0,0.0,0.0,0.018867924528301886,0.018867924528301886
#proclee,0.034482758620689655,0.2413793103448276,0.6896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0,0.0
#euristene,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#les-deputes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#arcas,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
#deputes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
