VALEUR,#urgande #alquif,#les-suivants-d-alquif #les-suivantes-d-urgande,#le-choeur,#urgande,#alquif,#urgande #le-choeur,#florestan,#amadis,#corisande,#corisande #florestan,#oriane,#une-suivante-d-oriane,#arcabonne,#arcalaüs,#arcabonne #arcalaüs,#deux-bergeres #un-berger #choeur,#choeur-des-captives-et-des-captifs,#choeur-des-geoliers,#l-ombre-d-ardan-canile,#florestan #corisande #le-choeur,#les-suivantes-d-urgande,#oriane #amadis,#corisande #le-choeur
Fréquences (scènes),0.04,0.04,0.16,0.12,0.04,0.04,0.16,0.32,0.24,0.08,0.2,0.04,0.28,0.24,0.12,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04
Fréquences(répliques),0.0372168284789644,0.003236245954692557,0.059870550161812294,0.07928802588996764,0.012944983818770227,0.012944983818770227,0.04854368932038835,0.10841423948220065,0.06310679611650485,0.021035598705501618,0.1650485436893204,0.009708737864077669,0.17313915857605178,0.10679611650485436,0.025889967637540454,0.011326860841423949,0.006472491909385114,0.003236245954692557,0.011326860841423949,0.0,0.009708737864077669,0.011326860841423949,0.019417475728155338
Confrontation,0.03787878787878788,0.03787878787878788,0.07575757575757576,0.06060606060606061,0.03787878787878788,0.03787878787878788,0.07575757575757576,0.10606060606060606,0.10606060606060606,0.05303030303030303,0.03787878787878788,0.007575757575757576,0.09090909090909091,0.06060606060606061,0.045454545454545456,0.015151515151515152,0.015151515151515152,0.007575757575757576,0.007575757575757576,0.03787878787878788,0.015151515151515152,0.015151515151515152,0.015151515151515152
Déviations,#urgande #alquif,#les-suivants-d-alquif #les-suivantes-d-urgande,#le-choeur,#urgande,#alquif,#urgande #le-choeur,#florestan,#amadis,#corisande,#corisande #florestan,#oriane,#une-suivante-d-oriane,#arcabonne,#arcalaüs,#arcabonne #arcalaüs,#deux-bergeres #un-berger #choeur,#choeur-des-captives-et-des-captifs,#choeur-des-geoliers,#l-ombre-d-ardan-canile,#florestan #corisande #le-choeur,#les-suivantes-d-urgande,#oriane #amadis,#corisande #le-choeur
#urgande #alquif,23.04,23.04,4.409999999999999,6.453333333333333,23.04,23.04,0.16,0.32,0.24,0.08,0.20000000000000004,0.04,0.28,0.24,0.12,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04
#urgande #alquif,23.04,23.04,4.409999999999999,6.453333333333333,23.04,23.04,0.16,0.32,0.24,0.08,0.20000000000000004,0.04,0.28,0.24,0.12,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04
#le-choeur,4.409999999999999,4.409999999999999,17.639999999999997,0.5633333333333335,4.409999999999999,4.409999999999999,0.64,0.061250000000000006,0.0016666666666666698,0.32,0.8000000000000002,4.409999999999999,1.12,0.96,0.48,4.409999999999999,0.32,0.16,0.16,0.16,0.16,0.16,4.409999999999999
#urgande,6.453333333333333,6.453333333333333,0.5633333333333335,19.360000000000003,6.453333333333333,6.453333333333333,0.48,0.0016666666666666698,0.72,0.24,0.6000000000000001,0.12,0.8400000000000001,0.72,1.1377777777777778,0.12,0.24,0.12,0.12,0.12,6.453333333333333,0.12,0.12
#urgande #alquif,23.04,23.04,4.409999999999999,6.453333333333333,23.04,23.04,0.16,0.32,0.24,0.08,0.20000000000000004,0.04,0.28,0.24,0.12,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04
#urgande #alquif,23.04,23.04,4.409999999999999,6.453333333333333,23.04,23.04,0.16,0.32,0.24,0.08,0.20000000000000004,0.04,0.28,0.24,0.12,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04
#florestan,0.16,0.16,0.64,0.48,0.16,0.16,17.639999999999997,0.40499999999999997,4.335,8.819999999999999,0.049999999999999975,0.16,0.01285714285714288,0.96,0.48,0.16,0.32,0.16,0.16,4.409999999999999,0.16,0.16,0.16
#amadis,0.32,0.32,0.061250000000000006,0.0016666666666666698,0.32,0.32,0.40499999999999997,11.559999999999997,0.6075,0.20249999999999999,0.22500000000000006,0.32,0.6864285714285716,0.44083333333333324,0.96,1.4449999999999996,0.64,0.32,0.32,1.4449999999999996,0.32,1.4449999999999996,0.32
#corisande,0.24,0.24,0.0016666666666666698,0.72,0.24,0.24,4.335,0.6075,14.440000000000005,4.8133333333333335,0.03333333333333339,0.24,0.27523809523809534,0.13444444444444442,0.72,0.24,0.48,0.24,0.24,2.4066666666666667,0.24,0.24,2.4066666666666667
#corisande #florestan,0.08,0.08,0.32,0.24,0.08,0.08,8.819999999999999,0.20249999999999999,4.8133333333333335,21.16,0.4000000000000001,0.08,0.34571428571428564,0.48,0.24,0.08,0.16,0.08,0.08,10.58,0.08,0.08,0.08
#oriane,0.20000000000000004,0.20000000000000004,0.8000000000000002,0.6,0.20000000000000004,0.20000000000000004,0.049999999999999975,0.22500000000000006,0.03333333333333332,0.4000000000000001,16.0,0.20000000000000004,1.4000000000000001,0.03333333333333332,0.6,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,3.2000000000000006,0.20000000000000004
#une-suivante-d-oriane,0.04,0.04,4.409999999999999,0.12,0.04,0.04,0.16,0.32,0.24,0.08,0.20000000000000004,23.04,0.28,0.24,0.12,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04
#arcabonne,0.28,0.28,1.12,0.8400000000000001,0.28,0.28,0.01285714285714288,0.6864285714285716,0.27523809523809534,0.34571428571428564,1.4000000000000004,0.28,12.959999999999992,1.0371428571428567,1.6019047619047617,0.28,0.34571428571428564,0.28,1.8514285714285712,1.8514285714285712,0.28,0.28,0.28
#arcalaüs,0.24,0.24,0.96,0.72,0.24,0.24,0.96,0.44083333333333324,0.13444444444444442,0.48,0.03333333333333339,0.24,1.0371428571428567,14.440000000000005,2.2755555555555556,0.24,0.48,0.24,0.24,0.24,0.24,0.24,0.24
#arcabonne #arcalaüs,0.12,0.12,0.48,1.1377777777777778,0.12,0.12,0.48,0.96,0.72,0.24,0.6000000000000001,0.12,1.6019047619047617,2.2755555555555556,19.360000000000003,0.12,0.24,0.12,0.12,0.12,6.453333333333333,0.12,0.12
#deux-bergeres #un-berger #choeur,0.04,0.04,4.409999999999999,0.12,0.04,0.04,0.16,1.4449999999999996,0.24,0.08,0.20000000000000004,0.04,0.28,0.24,0.12,23.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04
#choeur-des-captives-et-des-captifs,0.08,0.08,0.32,0.24,0.08,0.08,0.32,0.64,0.48,0.16,0.4000000000000001,0.08,0.34571428571428564,0.48,0.24,0.08,21.16,10.58,0.08,0.08,0.08,0.08,0.08
#choeur-des-geoliers,0.04,0.04,0.16,0.12,0.04,0.04,0.16,0.32,0.24,0.08,0.20000000000000004,0.04,0.28,0.24,0.12,0.04,10.58,23.04,0.04,0.04,0.04,0.04,0.04
#l-ombre-d-ardan-canile,0.04,0.04,0.16,0.12,0.04,0.04,0.16,0.32,0.24,0.08,0.20000000000000004,0.04,1.8514285714285712,0.24,0.12,0.04,0.08,0.04,23.04,0.04,0.04,0.04,0.04
#florestan #corisande #le-choeur,0.04,0.04,0.16,0.12,0.04,0.04,4.409999999999999,1.4449999999999996,2.4066666666666667,10.58,0.20000000000000004,0.04,1.8514285714285712,0.24,0.12,0.04,0.08,0.04,0.04,23.04,0.04,0.04,0.04
#les-suivantes-d-urgande,0.04,0.04,0.16,6.453333333333333,0.04,0.04,0.16,0.32,0.24,0.08,0.20000000000000004,0.04,0.28,0.24,6.453333333333333,0.04,0.08,0.04,0.04,0.04,23.04,0.04,0.04
#oriane #amadis,0.04,0.04,0.16,0.12,0.04,0.04,0.16,1.4449999999999996,0.24,0.08,3.2000000000000006,0.04,0.28,0.24,0.12,0.04,0.08,0.04,0.04,0.04,0.04,23.04,0.04
#corisande #le-choeur,0.04,0.04,4.409999999999999,0.12,0.04,0.04,0.16,0.32,2.4066666666666667,0.08,0.20000000000000004,0.04,0.28,0.24,0.12,0.04,0.08,0.04,0.04,0.04,0.04,0.04,23.04
Successions,#urgande #alquif,#les-suivants-d-alquif #les-suivantes-d-urgande,#le-choeur,#urgande,#alquif,#urgande #le-choeur,#florestan,#amadis,#corisande,#corisande #florestan,#oriane,#une-suivante-d-oriane,#arcabonne,#arcalaüs,#arcabonne #arcalaüs,#deux-bergeres #un-berger #choeur,#choeur-des-captives-et-des-captifs,#choeur-des-geoliers,#l-ombre-d-ardan-canile,#florestan #corisande #le-choeur,#les-suivantes-d-urgande,#oriane #amadis,#corisande #le-choeur
#urgande #alquif,0.0,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-suivants-d-alquif #les-suivantes-d-urgande,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0
#urgande,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
#alquif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#urgande #le-choeur,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#florestan,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.35714285714285715,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#amadis,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.23076923076923078,0.0,0.23076923076923078,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#corisande,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.35294117647058826,0.0,0.058823529411764705,0.17647058823529413,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941
#corisande #florestan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#oriane,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.0,0.0,0.0,0.05263157894736842,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0
#une-suivante-d-oriane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
