VALEUR,#euphemie,#damis,#trasimon,#un-laquais,#clitandre,#pasquin,#hortense,#nerine
Fréquences (scènes),0.047619047619047616,0.6190476190476191,0.19047619047619047,0.047619047619047616,0.38095238095238093,0.23809523809523808,0.42857142857142855,0.14285714285714285
Fréquences(répliques),0.10962566844919786,0.42245989304812837,0.06684491978609626,0.001336898395721925,0.12032085561497326,0.09893048128342247,0.17245989304812834,0.008021390374331552
Confrontation,0.016129032258064516,0.25806451612903225,0.12903225806451613,0.016129032258064516,0.16129032258064516,0.12903225806451613,0.20967741935483872,0.08064516129032258
Déviations,#euphemie,#damis,#trasimon,#un-laquais,#clitandre,#pasquin,#hortense,#nerine
#euphemie,19.047619047619047,0.23443223443223438,0.19047619047619047,0.047619047619047616,0.38095238095238093,0.23809523809523808,0.42857142857142855,0.14285714285714285
#damis,0.23443223443223438,3.047619047619048,0.11080586080586076,0.23443223443223438,0.1831501831501832,0.38754578754578733,0.05860805860805856,1.857142857142857
#trasimon,0.19047619047619047,0.11080586080586076,13.761904761904763,0.19047619047619047,0.14880952380952386,0.9523809523809523,0.04761904761904765,0.3214285714285715
#un-laquais,0.047619047619047616,0.23443223443223438,0.19047619047619047,19.047619047619047,0.38095238095238093,0.23809523809523808,0.42857142857142855,0.14285714285714285
#clitandre,0.38095238095238093,0.1831501831501832,0.14880952380952386,0.38095238095238093,8.04761904761905,0.6297619047619049,1.7202380952380951,1.1428571428571428
#pasquin,0.23809523809523808,0.38754578754578756,0.9523809523809523,0.23809523809523808,0.6297619047619049,12.19047619047619,0.009523809523809516,0.11428571428571437
#hortense,0.42857142857142855,0.05860805860805856,0.04761904761904765,0.42857142857142855,1.7202380952380951,0.009523809523809516,6.857142857142859,2.2857142857142865
#nerine,0.14285714285714285,1.8571428571428572,0.3214285714285715,0.14285714285714285,1.1428571428571428,0.11428571428571437,2.2857142857142865,15.428571428571432
Successions,#euphemie,#damis,#trasimon,#un-laquais,#clitandre,#pasquin,#hortense,#nerine
#euphemie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#damis,0.12359550561797752,0.02247191011235955,0.21348314606741572,0.011235955056179775,0.2696629213483146,0.056179775280898875,0.30337078651685395,0.0
#trasimon,0.0,0.8,0.0,0.0,0.08,0.04,0.08,0.0
#euphemie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#clitandre,0.0,0.46808510638297873,0.06382978723404255,0.0,0.02127659574468085,0.425531914893617,0.02127659574468085,0.0
#pasquin,0.0,0.2,0.0,0.0,0.5714285714285714,0.0,0.22857142857142856,0.0
#hortense,0.0,0.5909090909090909,0.06818181818181818,0.0,0.0,0.18181818181818182,0.045454545454545456,0.11363636363636363
#nerine,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0
