VALEUR,#l-ami,#l-auteur,#le-sot,#damis,#azor,#zaleg,#nadine,#zemire,#assan,#la-principale-habitante
Fréquences (scènes),0.14285714285714285,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.39285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.17857142857142858,0.0
Fréquences(répliques),0.047759433962264154,0.07252358490566038,0.028891509433962265,0.04834905660377359,0.14327830188679244,0.11261792452830188,0.1645047169811321,0.26002358490566035,0.11615566037735849,0.00589622641509434
Confrontation,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.17857142857142858,0.08928571428571429,0.17857142857142858,0.23214285714285715,0.03571428571428571,0.0
Déviations,#l-ami,#l-auteur,#le-sot,#damis,#azor,#zaleg,#nadine,#zemire,#assan,#la-principale-habitante
#l-ami,20.571428571428577,20.571428571428577,5.142857142857144,5.142857142857144,1.5714285714285714,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.7142857142857143,0.0
#l-ami,20.571428571428577,20.571428571428577,5.142857142857144,5.142857142857144,1.5714285714285714,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.7142857142857143,0.0
#le-sot,5.142857142857144,5.142857142857144,26.03571428571429,0.03571428571428571,0.39285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.17857142857142858,0.0
#damis,5.142857142857144,5.142857142857144,0.03571428571428571,26.03571428571429,0.39285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.17857142857142858,0.0
#azor,1.5714285714285714,1.5714285714285714,0.39285714285714285,0.39285714285714285,10.321428571428573,0.11688311688311691,0.006493506493506488,0.0173160173160173,1.9642857142857144,0.0
#zaleg,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.11688311688311691,20.571428571428577,0.642857142857143,0.29761904761904756,0.7142857142857143,0.0
#nadine,1.1428571428571428,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.006493506493506488,0.642857142857143,14.285714285714286,0.7202380952380955,1.4285714285714286,0.0
#zemire,1.7142857142857142,1.7142857142857142,0.42857142857142855,0.42857142857142855,0.0173160173160173,0.29761904761904756,0.7202380952380955,9.142857142857146,0.009523809523809516,0.0
#assan,0.7142857142857142,0.7142857142857142,0.17857142857142855,0.17857142857142855,1.9642857142857142,0.7142857142857142,1.4285714285714284,0.009523809523809516,18.89285714285714,0.0
#la-principale-habitante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#l-ami,#l-auteur,#le-sot,#damis,#azor,#zaleg,#nadine,#zemire,#assan,#la-principale-habitante
#l-ami,0.01818181818181818,0.4,0.3090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
#l-auteur,0.5238095238095238,0.0,0.16666666666666666,0.30952380952380953,0.0,0.0,0.0,0.0,0.0,0.0
#le-sot,0.7083333333333334,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#damis,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#azor,0.0,0.009523809523809525,0.0,0.0,0.009523809523809525,0.2857142857142857,0.17142857142857143,0.5047619047619047,0.01904761904761905,0.0
#zaleg,0.0,0.0,0.0,0.0,0.7560975609756098,0.0,0.21951219512195122,0.024390243902439025,0.0,0.0
#nadine,0.0,0.0,0.0,0.0,0.21153846153846154,0.08653846153846154,0.019230769230769232,0.6826923076923077,0.0,0.0
#zemire,0.0,0.0,0.0,0.0,0.28901734104046245,0.0,0.4277456647398844,0.005780346820809248,0.27167630057803466,0.005780346820809248
#assan,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.94,0.02,0.0
#la-principale-habitante,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
