VALEUR,#clitie,#damis,#le-comte,#amarante,#petit-jean,#oriane,#dorante,#la-ramee,#lisidor
Fréquences (scènes),0.5555555555555556,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.11871508379888268,0.16899441340782123,0.22206703910614525,0.14385474860335196,0.015363128491620111,0.07402234636871509,0.16759776536312848,0.004189944134078212,0.08519553072625698
Confrontation,0.1388888888888889,0.16666666666666666,0.1597222222222222,0.1736111111111111,0.05555555555555555,0.11805555555555555,0.10416666666666667,0.041666666666666664,0.041666666666666664
Déviations,#clitie,#damis,#le-comte,#amarante,#petit-jean,#oriane,#dorante,#la-ramee,#lisidor
#clitie,1.7777777777777781,0.0031746031746031776,0.13333333333333347,0.0031746031746031776,0.26666666666666655,1.0666666666666669,0.06666666666666674,0.3555555555555555,0.3555555555555555
#damis,0.0031746031746031516,0.4444444444444443,0.0238095238095239,0.03628117913832203,0.04761904761904754,0.1904761904761907,0.1904761904761907,0.06349206349206356,0.06349206349206356
#le-comte,0.13333333333333328,0.023809523809523767,1.0,0.023809523809523767,0.5,0.5,0.5,0.1666666666666667,0.1666666666666667
#amarante,0.0031746031746031516,0.03628117913832203,0.0238095238095239,0.4444444444444443,0.1904761904761907,0.1904761904761907,0.1904761904761907,0.06349206349206356,0.06349206349206356
#petit-jean,0.2666666666666667,0.04761904761904766,0.5,0.19047619047619038,4.0,0.0,1.0,0.3333333333333333,0.3333333333333333
#oriane,1.0666666666666667,0.19047619047619038,0.5,0.19047619047619038,0.0,4.0,1.0,1.3333333333333337,1.3333333333333337
#dorante,0.06666666666666664,0.19047619047619038,0.5,0.19047619047619038,1.0,1.0,4.0,1.3333333333333337,1.3333333333333337
#la-ramee,0.3555555555555555,0.06349206349206349,0.1666666666666667,0.06349206349206349,0.3333333333333333,1.3333333333333337,1.3333333333333337,7.111111111111111,0.1111111111111111
#lisidor,0.3555555555555555,0.06349206349206349,0.1666666666666667,0.06349206349206349,0.3333333333333333,1.3333333333333337,1.3333333333333337,0.1111111111111111,7.111111111111111
Successions,#clitie,#damis,#le-comte,#amarante,#petit-jean,#oriane,#dorante,#la-ramee,#lisidor
#clitie,0.0,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.0,0.47619047619047616,0.047619047619047616,0.0,0.0
#damis,0.11940298507462686,0.0,0.4925373134328358,0.029850746268656716,0.0,0.05970149253731343,0.26865671641791045,0.0,0.029850746268656716
#le-comte,0.05333333333333334,0.5066666666666667,0.0,0.13333333333333333,0.0,0.05333333333333334,0.2,0.04,0.013333333333333334
#amarante,0.05357142857142857,0.125,0.26785714285714285,0.0,0.125,0.14285714285714285,0.2857142857142857,0.0,0.0
#petit-jean,0.0,0.125,0.0,0.625,0.0,0.25,0.0,0.0,0.0
#oriane,0.18181818181818182,0.030303030303030304,0.21212121212121213,0.2727272727272727,0.030303030303030304,0.0,0.15151515151515152,0.0,0.12121212121212122
#dorante,0.01694915254237288,0.2711864406779661,0.1016949152542373,0.4067796610169492,0.0,0.06779661016949153,0.01694915254237288,0.0,0.11864406779661017
#la-ramee,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#lisidor,0.0,0.0,0.5,0.21428571428571427,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0
