VALEUR,#thalie,#melpomene,#moliere,#monsieur-baptiste,#monsieur-misogramme,#monsieur-claque,#le-vaudeville,#la-muse-du-drame,#apollon
Fréquences (scènes),0.25,0.16666666666666666,1.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333
Fréquences(répliques),0.12414383561643835,0.07534246575342465,0.3073630136986301,0.09246575342465753,0.15753424657534246,0.1113013698630137,0.039383561643835614,0.05565068493150685,0.036815068493150686
Confrontation,0.140625,0.125,0.234375,0.015625,0.109375,0.015625,0.140625,0.125,0.09375
Déviations,#thalie,#melpomene,#moliere,#monsieur-baptiste,#monsieur-misogramme,#monsieur-claque,#le-vaudeville,#la-muse-du-drame,#apollon
#thalie,6.75,4.5,0.0,0.25,0.5,0.25,0.08333333333333333,0.5,2.25
#melpomene,4.5,8.333333333333336,0.0,0.16666666666666666,1.3333333333333337,0.16666666666666666,0.5,1.3333333333333337,4.166666666666668
#moliere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-baptiste,0.25,0.16666666666666666,0.0,10.083333333333332,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333
#monsieur-misogramme,0.5,1.3333333333333337,0.0,0.16666666666666666,8.333333333333336,0.16666666666666666,0.5,1.3333333333333337,4.166666666666668
#monsieur-claque,0.25,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,10.083333333333332,0.25,0.16666666666666666,0.08333333333333333
#le-vaudeville,0.08333333333333333,0.5,0.0,0.25,0.5,0.25,6.75,4.5,2.25
#la-muse-du-drame,0.5,1.3333333333333337,0.0,0.16666666666666666,1.3333333333333337,0.16666666666666666,4.5,8.333333333333336,4.166666666666668
#apollon,2.25,4.166666666666668,0.0,0.08333333333333333,4.166666666666668,0.08333333333333333,2.25,4.166666666666668,10.083333333333332
Successions,#thalie,#melpomene,#moliere,#monsieur-baptiste,#monsieur-misogramme,#monsieur-claque,#le-vaudeville,#la-muse-du-drame,#apollon
#thalie,0.0,0.2727272727272727,0.6363636363636364,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456
#melpomene,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#moliere,0.16129032258064516,0.043010752688172046,0.021505376344086023,0.23655913978494625,0.12903225806451613,0.20430107526881722,0.053763440860215055,0.13978494623655913,0.010752688172043012
#monsieur-baptiste,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-misogramme,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
#monsieur-baptiste,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-baptiste,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-muse-du-drame,0.07142857142857142,0.0,0.8571428571428571,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
#apollon,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
