VALEUR,#l-intendant,#le-courrier,#babet,#madame-aubonne,#tous-ensemble,#guillot,#le-marquis,#la-comtesse,#charlot,#domestiques,#julie,#le-peuple,#le-roi
Fréquences (scènes),0.5,0.05,0.45,0.65,0.05,0.3,0.3,0.35,0.25,0.05,0.6,0.05,0.05
Fréquences(répliques),0.14185110663983905,0.014084507042253521,0.08249496981891348,0.1579476861167002,0.001006036217303823,0.07243460764587525,0.08148893360160966,0.14788732394366197,0.09356136820925554,0.001006036217303823,0.19114688128772636,0.001006036217303823,0.014084507042253521
Confrontation,0.14655172413793102,0.017241379310344827,0.13793103448275862,0.1724137931034483,0.017241379310344827,0.10344827586206896,0.08620689655172414,0.08189655172413793,0.05172413793103448,0.03017241379310345,0.13793103448275862,0.01293103448275862,0.004310344827586207
Déviations,#l-intendant,#le-courrier,#babet,#madame-aubonne,#tous-ensemble,#guillot,#le-marquis,#la-comtesse,#charlot,#domestiques,#julie,#le-peuple,#le-roi
#l-intendant,5.0,0.5,1.3888888888888888,0.038461538461538464,0.5,1.3333333333333333,0.0,0.07142857142857142,0.9,0.5,0.16666666666666666,0.5,0.5
#le-courrier,0.5,18.049999999999997,0.6722222222222223,0.18846153846153843,18.049999999999997,0.3,0.3,0.35,0.25,0.05000000000000001,0.6,0.05000000000000001,0.05000000000000001
#babet,1.3888888888888888,0.6722222222222223,6.050000000000001,0.22606837606837582,0.6722222222222223,4.033333333333335,0.18148148148148135,1.4674603174603174,0.6944444444444444,0.6722222222222223,0.029629629629629554,0.45,0.45
#madame-aubonne,0.038461538461538464,0.18846153846153843,0.22606837606837582,2.4499999999999984,0.18846153846153843,0.3102564102564103,0.002564102564102569,0.5280219780219779,0.019230769230769232,0.18846153846153843,0.18461538461538468,0.65,0.65
#le-courrier,0.5,18.049999999999997,0.6722222222222223,0.18846153846153843,18.049999999999997,0.3,0.3,0.35,0.25,0.05000000000000001,0.6,0.05000000000000001,0.05000000000000001
#guillot,1.3333333333333333,0.30000000000000004,4.033333333333332,0.31025641025641004,0.30000000000000004,9.8,0.022222222222222265,0.5761904761904759,0.16666666666666666,1.6333333333333329,0.0999999999999999,0.30000000000000004,0.30000000000000004
#le-marquis,0.0,0.30000000000000004,0.18148148148148158,0.002564102564102546,0.30000000000000004,0.022222222222222265,9.8,1.7190476190476198,0.16666666666666666,1.6333333333333329,0.7111111111111108,0.30000000000000004,0.30000000000000004
#la-comtesse,0.07142857142857142,0.35000000000000003,1.4674603174603174,0.5280219780219779,0.35000000000000003,0.5761904761904763,1.719047619047619,8.450000000000005,0.32142857142857145,1.2071428571428566,0.3428571428571429,1.2071428571428566,1.2071428571428566
#charlot,0.9,0.25,0.6944444444444444,0.019230769230769232,0.25,0.16666666666666666,0.16666666666666666,0.32142857142857145,11.25,0.25,0.0,0.25,0.25
#domestiques,0.5,0.05000000000000001,0.6722222222222223,0.18846153846153843,0.05000000000000001,1.633333333333333,1.633333333333333,1.2071428571428573,0.25,18.049999999999997,0.2666666666666667,0.05000000000000001,0.05000000000000001
#julie,0.16666666666666666,0.6000000000000001,0.02962962962962968,0.1846153846153844,0.6000000000000001,0.0999999999999999,0.7111111111111108,0.3428571428571425,0.0,0.2666666666666665,3.200000000000001,0.2666666666666665,0.6000000000000001
#le-peuple,0.5,0.05000000000000001,0.45,0.65,0.05000000000000001,0.3,0.3,1.2071428571428573,0.25,0.05000000000000001,0.2666666666666667,18.049999999999997,0.05000000000000001
#le-roi,0.5,0.05000000000000001,0.45,0.65,0.05000000000000001,0.3,0.3,1.2071428571428573,0.25,0.05000000000000001,0.6,0.05000000000000001,18.049999999999997
Successions,#l-intendant,#le-courrier,#babet,#madame-aubonne,#tous-ensemble,#guillot,#le-marquis,#la-comtesse,#charlot,#domestiques,#julie,#le-peuple,#le-roi
#l-intendant,0.0,0.1875,0.125,0.20833333333333334,0.020833333333333332,0.125,0.0625,0.0625,0.0625,0.0,0.14583333333333334,0.0,0.0
#le-courrier,0.8461538461538461,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#babet,0.17647058823529413,0.058823529411764705,0.0,0.14705882352941177,0.0,0.38235294117647056,0.058823529411764705,0.0,0.029411764705882353,0.0,0.14705882352941177,0.0,0.0
#madame-aubonne,0.1076923076923077,0.03076923076923077,0.15384615384615385,0.0,0.0,0.09230769230769231,0.06153846153846154,0.13846153846153847,0.06153846153846154,0.0,0.3384615384615385,0.015384615384615385,0.0
