VALEUR,#lisette,#celiante,#la-comtesse,#le-marquis,#le-baron,#champagne,#lucile,#monsieur-de-forlis,#le-laquais
Fréquences (scènes),0.22448979591836735,0.1836734693877551,0.22448979591836735,0.40816326530612246,0.5510204081632653,0.02040816326530612,0.2653061224489796,0.2653061224489796,0.02040816326530612
Fréquences(répliques),0.08341013824884792,0.05023041474654378,0.11797235023041475,0.20460829493087557,0.31290322580645163,0.010138248847926268,0.06682027649769585,0.15299539170506912,0.0009216589861751152
Confrontation,0.1111111111111111,0.06172839506172839,0.12345679012345678,0.19753086419753085,0.22839506172839505,0.006172839506172839,0.13580246913580246,0.12962962962962962,0.006172839506172839
Déviations,#lisette,#celiante,#la-comtesse,#le-marquis,#le-baron,#champagne,#lucile,#monsieur-de-forlis,#le-laquais
#lisette,29.469387755102044,0.4749536178107604,0.08922246584584241,0.05343228200371068,1.5460729746444029,0.22448979591836732,0.40088482945625775,0.2889967175681463,0.22448979591836732
#celiante,0.4749536178107609,32.6530612244898,0.4749536178107609,1.9456916099773243,3.1608297640043665,0.18367346938775508,2.3877551020408165,0.0629687772544916,0.18367346938775508
#la-comtesse,0.08922246584584241,0.4749536178107604,29.469387755102044,0.05797773654916499,0.18580361437504275,0.22448979591836732,0.2889967175681463,0.0022834308548594063,0.22448979591836732
#le-marquis,0.0534322820037105,1.9456916099773243,0.0579777365491652,17.163265306122447,0.09448223733938,0.8581632653061225,0.5407378335949761,0.32150706436420745,0.4081632653061224
#le-baron,1.5460729746444029,3.1608297640043665,0.18580361437504275,0.09448223733938,9.877551020408173,0.5510204081632651,0.09773824059538364,0.47095761381475704,0.36583522297808047
#champagne,0.22448979591836732,0.18367346938775508,0.22448979591836732,0.8581632653061225,0.5510204081632651,47.020408163265316,0.26530612244897955,0.26530612244897955,0.020408163265306117
#lucile,0.4008848294562581,2.3877551020408165,0.2889967175681461,0.5407378335949766,0.09773824059538364,0.26530612244897955,26.44897959183673,1.7389204202391015,0.26530612244897955
#monsieur-de-forlis,0.2889967175681461,0.0629687772544916,0.0022834308548594314,0.32150706436420706,0.47095761381475704,0.26530612244897955,1.7389204202391015,26.44897959183673,0.26530612244897955
#le-laquais,0.22448979591836732,0.18367346938775508,0.22448979591836732,0.4081632653061224,0.36583522297808047,0.020408163265306117,0.26530612244897955,0.26530612244897955,47.020408163265316
Successions,#lisette,#celiante,#la-comtesse,#le-marquis,#le-baron,#champagne,#lucile,#monsieur-de-forlis,#le-laquais
#lisette,0.0,0.4772727272727273,0.045454545454545456,0.09090909090909091,0.20454545454545456,0.0,0.13636363636363635,0.045454545454545456,0.0
#celiante,0.43137254901960786,0.0,0.21568627450980393,0.0,0.19607843137254902,0.0,0.0196078431372549,0.13725490196078433,0.0
#la-comtesse,0.0425531914893617,0.11702127659574468,0.0425531914893617,0.1276595744680851,0.40425531914893614,0.0,0.0425531914893617,0.22340425531914893,0.0
#le-marquis,0.013605442176870748,0.006802721088435374,0.10204081632653061,0.013605442176870748,0.5986394557823129,0.06802721088435375,0.1564625850340136,0.04081632653061224,0.0
#le-baron,0.0326530612244898,0.04897959183673469,0.1469387755102041,0.3551020408163265,0.0163265306122449,0.0,0.1836734693877551,0.21224489795918366,0.004081632653061225
#champagne,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#lucile,0.08860759493670886,0.012658227848101266,0.05063291139240506,0.35443037974683544,0.46835443037974683,0.0,0.0,0.02531645569620253,0.0
#monsieur-de-forlis,0.021739130434782608,0.05434782608695652,0.22826086956521738,0.043478260869565216,0.6304347826086957,0.0,0.0,0.021739130434782608,0.0
#le-laquais,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
