VALEUR,#iarbe,#madherbal,#didon,#elise,#barce,#enee,#achate,#zama
Fréquences (scènes),0.2,0.32,0.64,0.28,0.16,0.32,0.16,0.04
Fréquences(répliques),0.15,0.16602564102564102,0.3423076923076923,0.041025641025641026,0.016025641025641024,0.2141025641025641,0.06666666666666667,0.0038461538461538464
Confrontation,0.07352941176470588,0.17647058823529413,0.29411764705882354,0.16176470588235295,0.10294117647058823,0.11764705882352941,0.058823529411764705,0.014705882352941176
Déviations,#iarbe,#madherbal,#didon,#elise,#barce,#enee,#achate,#zama
#iarbe,16.0,0.09999999999999995,0.4500000000000001,1.4000000000000001,0.8000000000000002,1.6000000000000003,0.8000000000000002,3.2000000000000006
#madherbal,0.09999999999999995,11.559999999999997,0.24500000000000002,0.2578571428571427,0.061250000000000006,0.950625,0.061250000000000006,0.32
#didon,0.4500000000000001,0.24500000000000002,3.2399999999999998,0.5157142857142853,0.8099999999999999,0.24500000000000002,2.56,0.64
#elise,1.4000000000000004,0.2578571428571427,0.5157142857142853,12.959999999999992,0.6914285714285713,2.24,1.12,0.28
#barce,0.8000000000000002,0.061250000000000006,0.8099999999999999,0.6914285714285713,17.639999999999997,1.28,0.64,0.16
#enee,1.6000000000000003,0.950625,0.24500000000000002,2.24,1.28,11.559999999999997,2.31125,0.32
#achate,0.8000000000000002,0.061250000000000006,2.56,1.12,0.64,2.31125,17.639999999999997,0.16
#zama,3.2000000000000006,0.32,0.64,0.28,0.16,0.32,0.16,23.04
Successions,#iarbe,#madherbal,#didon,#elise,#barce,#enee,#achate,#zama
#iarbe,0.05555555555555555,0.3888888888888889,0.4444444444444444,0.0,0.0,0.0,0.0,0.1111111111111111
#madherbal,0.36363636363636365,0.045454545454545456,0.3181818181818182,0.0,0.045454545454545456,0.0,0.22727272727272727,0.0
#didon,0.14285714285714285,0.10714285714285714,0.07142857142857142,0.19642857142857142,0.08928571428571429,0.39285714285714285,0.0,0.0
#elise,0.0,0.15384615384615385,0.8461538461538461,0.0,0.0,0.0,0.0,0.0
#barce,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
#enee,0.0,0.058823529411764705,0.6176470588235294,0.0,0.0,0.029411764705882353,0.29411764705882354,0.0
#achate,0.0,0.26666666666666666,0.0,0.0,0.0,0.7333333333333333,0.0,0.0
#zama,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
