VALEUR,#acteur-du-prologue,#loys,#richard,#le-tresorier,#marie,#le-protonotaire,#boniface,#constante,#sulpice,#thomas
Fréquences (scènes),0.045454545454545456,0.2727272727272727,0.45454545454545453,0.22727272727272727,0.3181818181818182,0.13636363636363635,0.22727272727272727,0.22727272727272727,0.18181818181818182,0.045454545454545456
Fréquences(répliques),0.05188067444876784,0.13229571984435798,0.2697795071335927,0.08300907911802853,0.125810635538262,0.08041504539559015,0.12127107652399481,0.0933852140077821,0.033073929961089495,0.009079118028534372
Confrontation,0.0,0.13513513513513514,0.21621621621621623,0.14864864864864866,0.05405405405405406,0.05405405405405406,0.0945945945945946,0.10810810810810811,0.13513513513513514,0.05405405405405406
Déviations,#acteur-du-prologue,#loys,#richard,#le-tresorier,#marie,#le-protonotaire,#boniface,#constante,#sulpice,#thomas
#acteur-du-prologue,20.045454545454547,0.2727272727272727,0.45454545454545453,0.22727272727272727,0.3181818181818182,0.13636363636363635,0.22727272727272727,0.22727272727272727,0.18181818181818182,0.045454545454545456
#loys,0.2727272727272727,11.636363636363635,1.8939393939393945,0.2969696969696971,1.9090909090909092,0.8181818181818181,1.3636363636363635,1.3636363636363635,0.7575757575757578,1.9393939393939397
#richard,0.4545454545454546,1.8939393939393945,6.545454545454547,0.2327272727272729,0.43896103896103883,1.3636363636363635,0.7127272727272725,0.03272727272727267,0.018181818181818146,0.6545454545454544
#le-tresorier,0.2272727272727273,0.2969696969696971,0.2327272727272729,13.136363636363638,1.590909090909091,0.6818181818181818,1.1363636363636362,0.016363636363636334,10.509090909090908,2.627272727272727
#marie,0.3181818181818182,1.909090909090909,0.43896103896103883,1.590909090909091,10.22727272727273,0.9545454545454545,0.21948051948051941,0.21948051948051941,1.2727272727272727,0.3181818181818182
#le-protonotaire,0.13636363636363635,0.8181818181818181,1.3636363636363635,0.6818181818181818,0.9545454545454546,16.40909090909091,7.881818181818184,0.14848484848484855,0.5454545454545454,0.13636363636363635
#boniface,0.2272727272727273,1.3636363636363635,0.7127272727272725,1.1363636363636362,0.21948051948051941,7.881818181818184,13.136363636363638,0.6563636363636366,0.9090909090909092,0.2272727272727273
#constante,0.2272727272727273,1.3636363636363635,0.03272727272727267,0.016363636363636334,0.21948051948051941,0.14848484848484855,0.6563636363636366,13.136363636363638,0.009090909090909073,0.2272727272727273
#sulpice,0.18181818181818182,0.7575757575757578,0.018181818181818195,10.509090909090908,1.2727272727272727,0.5454545454545454,0.9090909090909091,0.009090909090909097,14.727272727272725,3.681818181818181
#thomas,0.045454545454545456,1.9393939393939397,0.6545454545454544,2.627272727272727,0.3181818181818182,0.13636363636363635,0.22727272727272727,0.22727272727272727,3.681818181818181,20.045454545454547
Successions,#acteur-du-prologue,#loys,#richard,#le-tresorier,#marie,#le-protonotaire,#boniface,#constante,#sulpice,#thomas
#acteur-du-prologue,,,,,,,,,,
#loys,0.023255813953488372,0.0,0.7674418604651163,0.0,0.023255813953488372,0.0,0.0,0.0,0.09302325581395349,0.09302325581395349
#richard,0.0,0.42696629213483145,0.0,0.21348314606741572,0.20224719101123595,0.0,0.033707865168539325,0.0898876404494382,0.033707865168539325,0.0
#le-tresorier,0.0,0.09090909090909091,0.5454545454545454,0.0,0.0,0.0,0.0,0.06060606060606061,0.2727272727272727,0.030303030303030304
#marie,0.0,0.0,0.7,0.0,0.0,0.03333333333333333,0.16666666666666666,0.1,0.0,0.0
#le-protonotaire,0.0,0.0,0.0,0.0,0.03125,0.0,0.75,0.21875,0.0,0.0
#boniface,0.0,0.02,0.02,0.0,0.12,0.5,0.0,0.34,0.0,0.0
#constante,0.0,0.0,0.23684210526315788,0.05263157894736842,0.07894736842105263,0.15789473684210525,0.4473684210526316,0.0,0.02631578947368421,0.0
#sulpice,0.0,0.0,0.23529411764705882,0.5882352941176471,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705
#thomas,0.0,0.16666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
