VALEUR,#gleboff,#foedor,#boris,#orloff,#alexis,#lefort,#menzikoff,#pierre,#catherine,#hermann
Fréquences (scènes),0.4146341463414634,0.12195121951219512,0.1951219512195122,0.12195121951219512,0.36585365853658536,0.17073170731707318,0.14634146341463414,0.43902439024390244,0.14634146341463414,0.04878048780487805
Fréquences(répliques),0.1830028328611898,0.0084985835694051,0.04815864022662889,0.04702549575070822,0.16147308781869688,0.08951841359773371,0.08951841359773371,0.2929178470254957,0.07252124645892351,0.0073654390934844195
Confrontation,0.14788732394366197,0.06338028169014084,0.1267605633802817,0.07746478873239436,0.176056338028169,0.08450704225352113,0.06338028169014084,0.1619718309859155,0.07042253521126761,0.028169014084507043
Déviations,#gleboff,#foedor,#boris,#orloff,#alexis,#lefort,#menzikoff,#pierre,#catherine,#hermann
#gleboff,14.048780487804878,1.7908177905308464,0.14060258249641308,1.7908177905308464,0.007747489239598292,2.9024390243902443,0.8897656623625061,5.5974015622509175,0.8897656623625061,0.8292682926829269
#foedor,1.7908177905308464,31.60975609756098,0.0006097560975609767,0.24975609756097564,0.7492682926829272,0.853658536585366,0.7317073170731707,2.1951219512195124,0.7317073170731707,0.24390243902439024
#boris,0.14060258249641328,0.0006097560975609767,26.5609756097561,4.2006097560975615,0.39349593495934965,0.09799651567944256,1.170731707317073,0.07469512195121951,0.02489837398373982,0.9527439024390244
#orloff,1.7908177905308464,0.24975609756097564,4.2006097560975615,31.60975609756098,0.7492682926829272,0.853658536585366,0.7317073170731707,2.1951219512195124,0.7317073170731707,0.24390243902439024
#alexis,0.007747489239598231,0.7492682926829272,0.39349593495934965,0.7492682926829272,16.48780487804878,0.951451800232288,0.017344173441734372,1.014995483288166,0.6506775067750675,0.09837398373983741
#lefort,2.9024390243902443,0.853658536585366,0.09799651567944268,0.853658536585366,0.951451800232288,28.195121951219505,3.8101045296167246,1.2080913666279511,0.9291521486643437,0.3414634146341464
#menzikoff,0.8897656623625061,0.7317073170731707,1.1707317073170733,0.7317073170731707,0.017344173441734445,3.8101045296167246,29.878048780487813,0.050813008130081265,0.8780487804878048,0.29268292682926833
#pierre,5.597401562250917,2.1951219512195124,0.07469512195121951,2.1951219512195124,1.014995483288166,1.2080913666279518,0.050813008130081404,12.902439024390244,2.124887082204156,1.4336043360433608
#catherine,0.8897656623625061,0.7317073170731707,0.024898373983739876,0.7317073170731707,0.650677506775068,0.9291521486643437,0.8780487804878048,2.1248870822041552,29.878048780487813,0.29268292682926833
#hermann,0.8292682926829268,0.24390243902439024,0.9527439024390244,0.24390243902439024,0.09837398373983741,0.34146341463414637,0.2926829268292683,1.4336043360433608,0.2926829268292683,37.09756097560975
Successions,#gleboff,#foedor,#boris,#orloff,#alexis,#lefort,#menzikoff,#pierre,#catherine,#hermann
#gleboff,0.125,0.125,0.075,0.175,0.325,0.0,0.025,0.05,0.1,0.0
#foedor,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
#boris,0.16666666666666666,0.0,0.0,0.1111111111111111,0.3888888888888889,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111
#orloff,0.4666666666666667,0.0,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#alexis,0.2,0.03636363636363636,0.10909090909090909,0.10909090909090909,0.03636363636363636,0.09090909090909091,0.12727272727272726,0.2727272727272727,0.0,0.01818181818181818
#lefort,0.047619047619047616,0.0,0.0,0.0,0.19047619047619047,0.0,0.2857142857142857,0.3333333333333333,0.14285714285714285,0.0
#menzikoff,0.10526315789473684,0.0,0.0,0.0,0.3157894736842105,0.3157894736842105,0.0,0.2631578947368421,0.0,0.0
#pierre,0.038461538461538464,0.0,0.07692307692307693,0.0,0.3269230769230769,0.15384615384615385,0.09615384615384616,0.07692307692307693,0.21153846153846154,0.019230769230769232
#catherine,0.21052631578947367,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.6842105263157895,0.0,0.0
#hermann,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0
