VALEUR,#thalie,#le-genie,#la-nymphe,#le-berger,#nymphe #berger,#le-marquis,#la-montagne,#virgine,#olimpe,#melisse,#la-comtesse,#l-amour,#la-jeunesse,#le-chevalier,#comus,#vertumne,#pomone,#pomone #vertumne,#la-bohemienne,#petit-bohemien,#petite-bohemienne,#le-vicomte,#cascaret,#le-comedien,#alcidon,#aminte,#alcidon #aminte,#un-maure,#un-maure #femme-maure,#la-femme-maure,#zephire,#aglaure,#cephise
Fréquences (scènes),0.025,0.025,0.025,0.025,0.025,0.575,0.05,0.25,0.55,0.05,0.65,0.075,0.025,0.35,0.075,0.025,0.025,0.025,0.025,0.025,0.025,0.175,0.025,0.075,0.025,0.025,0.025,0.025,0.025,0.025,0.05,0.05,0.05
Fréquences(répliques),0.016897746967071057,0.01776429809358752,0.004332755632582322,0.0025996533795493936,0.0034662045060658577,0.13301559792027728,0.026429809358752165,0.04592720970537262,0.15554592720970536,0.0034662045060658577,0.2205372616984402,0.016464471403812825,0.0255632582322357,0.059358752166377815,0.02079722703639515,0.008232235701906412,0.012131715771230503,0.0008665511265164644,0.029462738301559793,0.006065857885615251,0.0017331022530329288,0.07972270363951472,0.0008665511265164644,0.016897746967071057,0.007365684575389948,0.005632582322357019,0.0017331022530329288,0.004332755632582322,0.0017331022530329288,0.0012998266897746968,0.02296360485268631,0.01733102253032929,0.029462738301559793
Confrontation,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.10961538461538461,0.013461538461538462,0.06538461538461539,0.14038461538461539,0.0038461538461538464,0.1596153846153846,0.026923076923076925,0.007692307692307693,0.09807692307692308,0.025,0.013461538461538462,0.013461538461538462,0.013461538461538462,0.013461538461538462,0.013461538461538462,0.013461538461538462,0.06538461538461539,0.011538461538461539,0.038461538461538464,0.011538461538461539,0.011538461538461539,0.011538461538461539,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0038461538461538464,0.015384615384615385
Déviations,#thalie,#le-genie,#la-nymphe,#le-berger,#nymphe #berger,#le-marquis,#la-montagne,#virgine,#olimpe,#melisse,#la-comtesse,#l-amour,#la-jeunesse,#le-chevalier,#comus,#vertumne,#pomone,#pomone #vertumne,#la-bohemienne,#petit-bohemien,#petite-bohemienne,#le-vicomte,#cascaret,#le-comedien,#alcidon,#aminte,#alcidon #aminte,#un-maure,#un-maure #femme-maure,#la-femme-maure,#zephire,#aglaure,#cephise
#thalie,38.025,38.025,38.025,38.025,38.025,0.575,0.05000000000000001,0.25,0.55,0.05000000000000001,0.65,0.075,0.025000000000000005,0.35,0.075,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.175,0.025000000000000005,0.075,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.05000000000000001,0.05000000000000001,0.05000000000000001
#thalie,38.025,38.025,38.025,38.025,38.025,0.575,0.05000000000000001,0.25,0.55,0.05000000000000001,0.65,0.075,0.025000000000000005,0.35,0.075,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.175,0.025000000000000005,0.075,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.05000000000000001,0.05000000000000001,0.05000000000000001
#thalie,38.025,38.025,38.025,38.025,38.025,0.575,0.05000000000000001,0.25,0.55,0.05000000000000001,0.65,0.075,0.025000000000000005,0.35,0.075,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.175,0.025000000000000005,0.075,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.05000000000000001,0.05000000000000001,0.05000000000000001
#thalie,38.025,38.025,38.025,38.025,38.025,0.575,0.05000000000000001,0.25,0.55,0.05000000000000001,0.65,0.075,0.025000000000000005,0.35,0.075,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.175,0.025000000000000005,0.075,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.05000000000000001,0.05000000000000001,0.05000000000000001
#thalie,38.025,38.025,38.025,38.025,38.025,0.575,0.05000000000000001,0.25,0.55,0.05000000000000001,0.65,0.075,0.025000000000000005,0.35,0.075,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.175,0.025000000000000005,0.075,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.05000000000000001,0.05000000000000001,0.05000000000000001
#le-marquis,0.5750000000000001,0.5750000000000001,0.5750000000000001,0.5750000000000001,0.5750000000000001,7.225000000000001,0.01956521739130438,0.09782608695652174,0.5551383399209487,1.1500000000000001,0.0001672240802675514,0.3047101449275361,0.5750000000000001,1.081055900621119,0.3047101449275361,0.5750000000000001,0.5750000000000001,0.5750000000000001,0.3141304347826086,0.3141304347826086,0.3141304347826086,0.00015527950310558345,0.5750000000000001,0.3047101449275361,0.5750000000000001,0.5750000000000001,0.5750000000000001,0.3141304347826086,0.3141304347826086,0.3141304347826086,0.01956521739130438,1.1500000000000001,0.01956521739130438
