VALEUR,#mademoiselle-raimond,#l-acteur,#le-procureur,#le-gascon,#monsieur-clamart,#mademoiselle-raimond #l-acteur,#la-critique,#une-actrice,#marthon,#l-antiquite,#la-nouveaute,#chanteur
Fréquences (scènes),0.7142857142857143,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
Fréquences(répliques),0.1994535519125683,0.28688524590163933,0.03825136612021858,0.040983606557377046,0.03551912568306011,0.00546448087431694,0.09562841530054644,0.1448087431693989,0.00819672131147541,0.10655737704918032,0.03825136612021858,0.0
Confrontation,0.20967741935483872,0.1935483870967742,0.04838709677419355,0.12903225806451613,0.04838709677419355,0.03225806451612903,0.11290322580645161,0.08064516129032258,0.08064516129032258,0.03225806451612903,0.03225806451612903,0.0
Déviations,#mademoiselle-raimond,#l-acteur,#le-procureur,#le-gascon,#monsieur-clamart,#mademoiselle-raimond #l-acteur,#la-critique,#une-actrice,#marthon,#l-antiquite,#la-nouveaute,#chanteur
#mademoiselle-raimond,0.5714285714285713,0.05142857142857138,0.11428571428571437,0.22857142857142873,0.11428571428571437,0.11428571428571437,0.22857142857142873,0.11428571428571437,0.11428571428571437,0.7142857142857142,0.7142857142857142,0.7142857142857142
#l-acteur,0.05142857142857138,0.5714285714285713,0.7142857142857142,0.12857142857142848,0.7142857142857142,0.11428571428571437,0.22857142857142873,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.7142857142857142
#le-procureur,0.11428571428571427,0.7142857142857143,5.142857142857144,1.7857142857142858,5.142857142857144,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#le-gascon,0.22857142857142854,0.1285714285714286,1.7857142857142858,3.5714285714285716,1.7857142857142858,0.2857142857142857,0.3214285714285715,1.7857142857142858,1.7857142857142858,0.2857142857142857,0.2857142857142857,0.2857142857142857
#le-procureur,0.11428571428571427,0.7142857142857143,5.142857142857144,1.7857142857142858,5.142857142857144,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#mademoiselle-raimond #l-acteur,0.11428571428571427,0.11428571428571427,0.14285714285714285,0.2857142857142857,0.14285714285714285,5.142857142857144,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
