VALEUR,#sifroy,#golo,#rodolphe,#clotilde,#gertrude,#genevieve,#benoni,#la-vierge,#l-ambassadeur,#henry,#othon,#germaine
Fréquences (scènes),0.4230769230769231,0.15384615384615385,0.2692307692307692,0.38461538461538464,0.4230769230769231,0.34615384615384615,0.15384615384615385,0.038461538461538464,0.2692307692307692,0.23076923076923078,0.2692307692307692,0.19230769230769232
Fréquences(répliques),0.1696362286562732,0.03192279138827023,0.08648849294729027,0.11210096510764662,0.08982925018559762,0.15553080920564216,0.01893095768374165,0.036005939123979216,0.08166295471417966,0.09094283593170008,0.06347438752783964,0.06347438752783964
Confrontation,0.12698412698412698,0.023809523809523808,0.0873015873015873,0.09523809523809523,0.14285714285714285,0.09126984126984126,0.06349206349206349,0.003968253968253968,0.10714285714285714,0.07539682539682539,0.09523809523809523,0.0873015873015873
Déviations,#sifroy,#golo,#rodolphe,#clotilde,#gertrude,#genevieve,#benoni,#la-vierge,#l-ambassadeur,#henry,#othon,#germaine
#sifroy,8.653846153846152,1.01048951048951,1.4030969030969036,0.012587412587412593,0.025746980292434784,0.17132867132867127,0.05594405594405586,0.42307692307692313,1.4030969030969036,0.9324009324009327,0.31218781218781205,0.006293706293706297
#golo,1.0104895104895106,18.615384615384613,1.0769230769230769,0.1884615384615385,0.05594405594405595,1.3846153846153846,0.6153846153846154,0.15384615384615385,1.0769230769230769,0.9230769230769231,1.0769230769230769,0.7692307692307693
#rodolphe,1.403096903096903,1.076923076923077,13.884615384615383,0.1780219780219781,0.0004995004995004959,0.8357753357753356,0.0054945054945055175,0.2692307692307693,5.149921507064364,0.09157509157509156,0.4152276295133438,0.31758241758241745
#clotilde,0.012587412587412593,0.1884615384615385,0.17802197802197792,9.846153846153845,0.7398601398601398,1.7504273504273506,1.5384615384615385,0.38461538461538464,1.0637362637362635,1.2410256410256404,0.6351648351648355,0.44307692307692315
#gertrude,0.025746980292434784,0.05594405594405586,0.0004995004995005075,0.7398601398601398,8.653846153846152,0.009712509712509733,0.05594405594405586,0.42307692307692313,0.3641358641358644,0.0839160839160838,0.0004995004995005075,1.679020979020979
#genevieve,0.17132867132867127,1.3846153846153846,0.8357753357753356,1.7504273504273506,0.009712509712509733,11.115384615384617,4.94017094017094,1.235042735042735,0.13736263736263746,0.5584045584045585,0.07387057387057382,0.9307692307692307
#benoni,0.05594405594405595,0.6153846153846154,0.005494505494505487,1.5384615384615385,0.05594405594405595,4.94017094017094,18.615384615384613,0.15384615384615385,0.7912087912087914,0.006410256410256401,0.7912087912087914,1.9692307692307693
#la-vierge,0.4230769230769231,0.15384615384615385,0.2692307692307692,0.38461538461538464,0.4230769230769231,1.235042735042735,0.15384615384615385,24.038461538461537,0.2692307692307692,0.23076923076923078,0.2692307692307692,0.19230769230769232
#l-ambassadeur,1.403096903096903,1.076923076923077,5.149921507064364,1.063736263736264,0.3641358641358641,0.13736263736263746,0.7912087912087908,0.2692307692307693,13.884615384615383,0.23443223443223446,0.007064364207221354,5.231868131868131
