VALEUR,#belus,#madate,#mermecide,#semiramis,#tenesis,#agenor,#mirame,#ninias,#phenice
Fréquences (scènes),0.375,0.0625,0.15625,0.34375,0.21875,0.40625,0.0625,0.125,0.0625
Fréquences(répliques),0.2571428571428571,0.036151603498542274,0.051895043731778424,0.22448979591836735,0.16268221574344024,0.21982507288629738,0.012244897959183673,0.0239067055393586,0.011661807580174927
Confrontation,0.16129032258064516,0.03225806451612903,0.11290322580645161,0.20967741935483872,0.0967741935483871,0.1935483870967742,0.03225806451612903,0.12903225806451613,0.03225806451612903
Déviations,#belus,#madate,#mermecide,#semiramis,#tenesis,#agenor,#mirame,#ninias,#phenice
#belus,12.5,2.0833333333333335,0.008333333333333333,1.0946969696969697,1.005952380952381,1.6955128205128205,0.75,0.16666666666666666,0.75
#madate,2.0833333333333335,28.125,0.3125,0.6875,0.4375,0.8125,0.125,0.25,0.125
#mermecide,0.008333333333333333,0.3125,22.78125,0.30056818181818185,1.09375,0.4620192307692308,0.3125,0.225,0.3125
#semiramis,1.0946969696969697,0.6875,0.30056818181818185,13.78125,0.06858766233766234,1.3638548951048952,0.6875,5.011363636363637,2.5056818181818183
#tenesis,1.005952380952381,0.4375,1.09375,0.06858766233766234,19.53125,0.2503434065934066,0.4375,0.017857142857142856,0.4375
#agenor,1.6955128205128205,0.8125,0.4620192307692308,1.3638548951048952,0.2503434065934066,11.28125,1.7355769230769231,0.2403846153846154,0.8125
#mirame,0.75,0.125,0.3125,0.6875,0.4375,1.7355769230769231,28.125,0.25,0.125
#ninias,0.16666666666666666,0.25,0.225,5.011363636363637,0.017857142857142856,0.2403846153846154,0.25,24.5,0.25
#phenice,0.75,0.125,0.3125,2.5056818181818183,0.4375,0.8125,0.125,0.25,28.125
Successions,#belus,#madate,#mermecide,#semiramis,#tenesis,#agenor,#mirame,#ninias,#phenice
#belus,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.11428571428571428,0.08571428571428572,0.34285714285714286,0.0,0.02857142857142857,0.0
#madate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mermecide,0.38461538461538464,0.0,0.0,0.07692307692307693,0.0,0.5384615384615384,0.0,0.0,0.0
#semiramis,0.13513513513513514,0.0,0.0,0.16216216216216217,0.16216216216216217,0.32432432432432434,0.0,0.16216216216216217,0.05405405405405406
#tenesis,0.14285714285714285,0.0,0.0,0.21428571428571427,0.07142857142857142,0.5357142857142857,0.0,0.03571428571428571,0.0
#agenor,0.22641509433962265,0.0,0.1320754716981132,0.18867924528301888,0.32075471698113206,0.07547169811320754,0.05660377358490566,0.0,0.0
#mirame,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#ninias,0.0,0.0,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.1111111111111111,0.0
#phenice,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
