VALEUR,#ulysse,#arlangin,#panarete,#floridan,#pallas,#telemaque,#eumee,#philete,#penelope,#laerte,#le-messager,#telegon
Fréquences (scènes),0.6363636363636364,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182
Fréquences(répliques),0.29012875536480687,0.013733905579399141,0.013733905579399141,0.013733905579399141,0.054935622317596564,0.1167381974248927,0.07811158798283262,0.054935622317596564,0.16051502145922747,0.07553648068669527,0.03347639484978541,0.0944206008583691
Confrontation,0.23809523809523808,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.023809523809523808,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.07142857142857142,0.023809523809523808,0.023809523809523808,0.07142857142857142
Déviations,#ulysse,#arlangin,#panarete,#floridan,#pallas,#telemaque,#eumee,#philete,#penelope,#laerte,#le-messager,#telegon
#ulysse,1.4545454545454553,0.2077922077922078,0.2077922077922078,0.2077922077922078,0.2077922077922078,0.11688311688311687,0.05844155844155843,0.05844155844155843,0.4329004329004328,0.6363636363636364,0.6363636363636364,0.05844155844155843
#arlangin,0.2077922077922078,9.09090909090909,9.09090909090909,9.09090909090909,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182
#arlangin,0.2077922077922078,9.09090909090909,9.09090909090909,9.09090909090909,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182
#arlangin,0.2077922077922078,9.09090909090909,9.09090909090909,9.09090909090909,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182
#pallas,0.2077922077922078,0.09090909090909091,0.09090909090909091,0.09090909090909091,9.09090909090909,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182
#telemaque,0.11688311688311687,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,4.454545454545454,0.10227272727272725,0.10227272727272725,1.0909090909090908,0.36363636363636365,0.36363636363636365,2.227272727272727
#eumee,0.05844155844155843,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.10227272727272725,7.363636363636362,7.363636363636362,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.36363636363636365
#eumee,0.05844155844155843,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.10227272727272725,7.363636363636362,7.363636363636362,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.36363636363636365
#penelope,0.43290043290043295,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,1.0909090909090908,0.5454545454545454,0.5454545454545454,5.8181818181818175,1.9393939393939397,1.9393939393939397,0.5454545454545454
#laerte,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.18181818181818182,1.9393939393939397,9.09090909090909,0.09090909090909091,0.18181818181818182
#le-messager,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.18181818181818182,1.9393939393939397,0.09090909090909091,9.09090909090909,0.18181818181818182
#telegon,0.05844155844155843,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,2.227272727272727,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.18181818181818182,0.18181818181818182,7.363636363636362
Successions,#ulysse,#arlangin,#panarete,#floridan,#pallas,#telemaque,#eumee,#philete,#penelope,#laerte,#le-messager,#telegon
#ulysse,0.0625,0.0625,0.0,0.0,0.25,0.25,0.125,0.0,0.125,0.0625,0.0625,0.0
#arlangin,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#panarete,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#floridan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pallas,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#telemaque,0.42857142857142855,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857
#eumee,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0
#philete,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
#penelope,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.5,0.2777777777777778,0.0
#laerte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#laerte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#telegon,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
