VALEUR,#louise,#stefanie,#olivares,#don-sanche,#merlin,#lisette,#blanche,#don-cosme,#don-blaize,#ordugno
Fréquences (scènes),0.25,0.4166666666666667,0.25,0.625,0.2916666666666667,0.4583333333333333,0.5,0.2916666666666667,0.375,0.3333333333333333
Fréquences(répliques),0.05097214923804519,0.1303205465055176,0.015239096163951655,0.13662637940094588,0.061481870730425645,0.10509721492380451,0.08670520231213873,0.08092485549132948,0.31213872832369943,0.020493956910141883
Confrontation,0.0701219512195122,0.11585365853658537,0.07317073170731707,0.14939024390243902,0.08536585365853659,0.07621951219512195,0.125,0.08536585365853659,0.11585365853658537,0.10365853658536585
Déviations,#louise,#stefanie,#olivares,#don-sanche,#merlin,#lisette,#blanche,#don-cosme,#don-blaize,#ordugno
#louise,13.5,4.9,8.166666666666666,0.15,0.03571428571428571,1.1136363636363635,0.3333333333333333,0.03571428571428571,0.6944444444444444,0.5
#stefanie,4.9,8.166666666666664,4.9,0.01,0.002380952380952364,1.4560606060606058,0.2,0.4023809523809521,0.016666666666666666,0.03333333333333328
#olivares,8.166666666666666,4.9,13.5,0.15,0.03571428571428571,0.20454545454545456,0.3333333333333333,0.03571428571428571,0.6944444444444444,0.5
#don-sanche,0.15,0.01,0.15,3.375,0.6035714285714285,0.11136363636363636,0.03333333333333333,0.43214285714285716,1.0027777777777778,0.8
#merlin,0.03571428571428571,0.002380952380952364,0.03571428571428571,0.6035714285714285,12.041666666666664,0.45508658008657993,0.07142857142857142,0.0008503401360544337,0.7202380952380952,1.190476190476191
#lisette,1.1136363636363635,1.4560606060606065,0.20454545454545456,0.11136363636363636,0.4550865800865802,7.04166666666667,0.045454545454545456,0.4550865800865802,1.0946969696969697,0.7575757575757575
#blanche,0.3333333333333333,0.2,0.3333333333333333,0.03333333333333333,0.07142857142857142,0.045454545454545456,6.0,1.7857142857142858,0.5,0.25
#don-cosme,0.03571428571428571,0.4023809523809521,0.03571428571428571,0.43214285714285716,0.0008503401360544337,0.45508658008657993,1.7857142857142858,12.041666666666664,0.7202380952380952,0.1904761904761907
#don-blaize,0.6944444444444444,0.016666666666666666,0.6944444444444444,1.0027777777777778,0.7202380952380952,1.0946969696969697,0.5,0.7202380952380952,9.375,8.333333333333334
#ordugno,0.5,0.03333333333333336,0.5,0.8,1.1904761904761902,0.7575757575757575,0.25,0.19047619047619038,8.333333333333334,10.66666666666667
Successions,#louise,#stefanie,#olivares,#don-sanche,#merlin,#lisette,#blanche,#don-cosme,#don-blaize,#ordugno
#louise,0.0,0.825,0.05,0.025,0.075,0.0,0.0,0.025,0.0,0.0
#stefanie,0.33695652173913043,0.0,0.17391304347826086,0.0,0.07608695652173914,0.043478260869565216,0.18478260869565216,0.13043478260869565,0.05434782608695652,0.0
#olivares,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-sanche,0.0,0.023529411764705882,0.0,0.0,0.2235294117647059,0.18823529411764706,0.08235294117647059,0.0,0.47058823529411764,0.011764705882352941
#merlin,0.10526315789473684,0.13157894736842105,0.0,0.5,0.0,0.0,0.02631578947368421,0.15789473684210525,0.07894736842105263,0.0
#lisette,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.2982456140350877,0.017543859649122806,0.017543859649122806,0.45614035087719296,0.017543859649122806,0.10526315789473684,0.017543859649122806
#blanche,0.016129032258064516,0.27419354838709675,0.0,0.12903225806451613,0.0,0.3709677419354839,0.0,0.06451612903225806,0.12903225806451613,0.016129032258064516
#don-cosme,0.0,0.15151515151515152,0.015151515151515152,0.015151515151515152,0.09090909090909091,0.045454545454545456,0.10606060606060606,0.0,0.5757575757575758,0.0
#don-blaize,0.0,0.050724637681159424,0.0,0.2826086956521739,0.007246376811594203,0.07246376811594203,0.028985507246376812,0.30434782608695654,0.0,0.2536231884057971
#ordugno,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.9736842105263158,0.0
