VALEUR,#artaban,#abradate,#talestris,#barsine,#tiridate,#arsace,#timagene,#mitrane,#erinice,#orasie
Fréquences (scènes),0.3333333333333333,0.19444444444444445,0.2222222222222222,0.027777777777777776,0.5,0.25,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.027777777777777776
Fréquences(répliques),0.07340116279069768,0.11119186046511628,0.11991279069767442,0.006540697674418605,0.34375,0.16061046511627908,0.005813953488372093,0.08212209302325581,0.09447674418604651,0.002180232558139535
Confrontation,0.18,0.1,0.14,0.01,0.19,0.16,0.02,0.12,0.07,0.01
Déviations,#artaban,#abradate,#talestris,#barsine,#tiridate,#arsace,#timagene,#mitrane,#erinice,#orasie
#artaban,16.0,0.19047619047619038,0.1666666666666666,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,0.1666666666666666,0.3333333333333333
#abradate,0.1904761904761907,23.361111111111114,0.12698412698412712,0.1944444444444444,0.6428571428571429,0.32142857142857145,0.3888888888888888,0.02380952380952377,0.1984126984126983,0.1944444444444444
#talestris,0.1666666666666666,0.12698412698412698,21.77777777777778,2.7222222222222223,0.25,0.5,0.4444444444444444,2.083333333333334,1.7777777777777777,0.2222222222222222
#barsine,0.3333333333333333,0.19444444444444445,2.7222222222222223,34.02777777777778,0.5,0.25,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.027777777777777776
#tiridate,0.6666666666666666,0.6428571428571429,0.25,0.5,9.0,0.5,0.0,0.3333333333333333,1.0,0.5
#arsace,1.3333333333333333,0.32142857142857145,0.5,0.25,0.5,20.25,0.5,0.16666666666666666,0.5,0.25
#timagene,0.6666666666666666,0.3888888888888889,0.4444444444444444,0.05555555555555555,0.0,0.5,32.111111111111114,0.3333333333333333,0.4444444444444444,0.05555555555555555
#mitrane,0.0,0.02380952380952383,2.083333333333334,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,25.0,1.3333333333333333,0.16666666666666666
#erinice,0.1666666666666666,0.19841269841269843,1.7777777777777777,0.2222222222222222,1.0,0.5,0.4444444444444444,1.3333333333333333,21.77777777777778,2.7222222222222223
#orasie,0.3333333333333333,0.19444444444444445,0.2222222222222222,0.027777777777777776,0.5,0.25,0.05555555555555555,0.16666666666666666,2.7222222222222223,34.02777777777778
Successions,#artaban,#abradate,#talestris,#barsine,#tiridate,#arsace,#timagene,#mitrane,#erinice,#orasie
#artaban,0.0,0.3181818181818182,0.045454545454545456,0.0,0.22727272727272727,0.22727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.0
#abradate,0.375,0.0,0.08333333333333333,0.0,0.4583333333333333,0.0,0.0,0.0,0.08333333333333333,0.0
#talestris,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.4230769230769231,0.038461538461538464,0.0,0.19230769230769232,0.038461538461538464,0.0
#barsine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tiridate,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.05333333333333334,0.16,0.04,0.2,0.21333333333333335,0.0
#arsace,0.16666666666666666,0.0,0.08333333333333333,0.0,0.4583333333333333,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.0
#timagene,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0
#mitrane,0.0,0.0,0.2916666666666667,0.0,0.625,0.08333333333333333,0.0,0.0,0.0,0.0
#erinice,0.12,0.16,0.0,0.0,0.6,0.04,0.0,0.0,0.04,0.04
#orasie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
