VALEUR,#carlos,#clarine,#fabrice,#climene,#le-duc,#jacinte,#valere,#isabelle,#alphonse,#licaste,#celin
Fréquences (scènes),0.38095238095238093,0.11904761904761904,0.5,0.30952380952380953,0.3333333333333333,0.21428571428571427,0.09523809523809523,0.3333333333333333,0.30952380952380953,0.023809523809523808,0.023809523809523808
Fréquences(répliques),0.14377682403433475,0.04130901287553648,0.1958154506437768,0.15718884120171675,0.15611587982832617,0.0638412017167382,0.012339055793991416,0.10944206008583691,0.11105150214592274,0.008047210300429184,0.001072961373390558
Confrontation,0.14285714285714285,0.03125,0.16964285714285715,0.12946428571428573,0.13392857142857142,0.07142857142857142,0.049107142857142856,0.11160714285714286,0.13392857142857142,0.008928571428571428,0.017857142857142856
Déviations,#carlos,#clarine,#fabrice,#climene,#le-duc,#jacinte,#valere,#isabelle,#alphonse,#licaste,#celin
#carlos,16.0952380952381,0.004761904761904773,0.5,0.0004578754578754546,0.020833333333333297,3.4285714285714284,0.14880952380952386,0.020833333333333297,0.22161172161172152,0.38095238095238093,1.0059523809523812
#clarine,0.004761904761904773,32.5952380952381,0.9,1.5476190476190477,1.6666666666666665,1.0714285714285714,0.47619047619047616,1.0666666666666669,0.19377289377289378,0.11904761904761904,0.11904761904761904
#fabrice,0.5,0.9,10.5,0.34615384615384615,0.14285714285714285,0.05555555555555555,0.5,1.2857142857142858,0.038461538461538464,0.5,0.5
#climene,0.0004578754578754546,1.5476190476190474,0.34615384615384615,20.023809523809522,0.6410256410256413,0.0164835164835165,0.46886446886446875,2.564102564102564,0.2604959143420682,0.30952380952380953,1.5402930402930404
#le-duc,0.020833333333333297,1.6666666666666665,0.14285714285714285,0.6410256410256405,18.66666666666667,1.3333333333333333,5.333333333333335,2.88095238095238,0.4102564102564106,0.3333333333333333,0.3333333333333333
#jacinte,3.4285714285714284,1.0714285714285714,0.05555555555555555,0.0164835164835165,1.3333333333333333,25.92857142857143,0.023809523809523826,0.3333333333333333,2.7857142857142856,0.21428571428571427,0.21428571428571427
#valere,0.14880952380952386,0.47619047619047616,0.5,0.46886446886446875,5.333333333333335,0.023809523809523826,34.38095238095239,1.3333333333333333,0.0457875457875458,0.09523809523809523,0.09523809523809523
#isabelle,0.020833333333333297,1.0666666666666669,1.2857142857142858,2.5641025641025643,2.88095238095238,0.3333333333333333,1.3333333333333333,18.66666666666667,3.102564102564101,1.3333333333333337,0.3333333333333333
#alphonse,0.22161172161172152,0.19377289377289367,0.038461538461538464,0.2604959143420682,0.41025641025641013,2.7857142857142856,0.0457875457875458,3.102564102564103,20.023809523809522,1.5402930402930404,1.5402930402930404
#licaste,0.38095238095238093,0.11904761904761904,0.5,0.30952380952380953,0.3333333333333333,0.21428571428571427,0.09523809523809523,1.3333333333333337,1.5402930402930404,40.023809523809526,0.023809523809523808
#celin,1.0059523809523812,0.11904761904761904,0.5,1.5402930402930404,0.3333333333333333,0.21428571428571427,0.09523809523809523,0.3333333333333333,1.5402930402930404,0.023809523809523808,40.023809523809526
Successions,#carlos,#clarine,#fabrice,#climene,#le-duc,#jacinte,#valere,#isabelle,#alphonse,#licaste,#celin
#carlos,0.011627906976744186,0.08139534883720931,0.22093023255813954,0.05813953488372093,0.13953488372093023,0.0,0.0,0.3488372093023256,0.12790697674418605,0.0,0.011627906976744186
#clarine,0.30434782608695654,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.34782608695652173,0.21739130434782608,0.0,0.0
#fabrice,0.17117117117117117,0.02702702702702703,0.009009009009009009,0.2882882882882883,0.18018018018018017,0.08108108108108109,0.0,0.07207207207207207,0.17117117117117117,0.0,0.0
#climene,0.07352941176470588,0.0,0.45588235294117646,0.029411764705882353,0.2647058823529412,0.10294117647058823,0.04411764705882353,0.0,0.029411764705882353,0.0,0.0
#le-duc,0.136986301369863,0.0,0.2876712328767123,0.2876712328767123,0.0,0.0958904109589041,0.0958904109589041,0.0136986301369863,0.0821917808219178,0.0,0.0
#jacinte,0.0,0.0,0.2857142857142857,0.08571428571428572,0.2571428571428571,0.02857142857142857,0.02857142857142857,0.3142857142857143,0.0,0.0,0.0
#valere,0.18181818181818182,0.0,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.425,0.1,0.075,0.0,0.0125,0.1375,0.0,0.0,0.25,0.0,0.0
#alphonse,0.12121212121212122,0.07575757575757576,0.2727272727272727,0.015151515151515152,0.13636363636363635,0.0,0.0,0.3333333333333333,0.015151515151515152,0.030303030303030304,0.0
#licaste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#celin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
