VALEUR,#lisette,#frontin,#la-baronne,#le-laquais,#la-comtesse,#le-chevalier,#l-actrice,#l-abbe,#le-conseiller,#le-financier,#tous-les-hommes
Fréquences (scènes),0.75,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333
Fréquences(répliques),0.2823741007194245,0.17266187050359713,0.18525179856115107,0.00539568345323741,0.07553956834532374,0.08273381294964029,0.07194244604316546,0.06115107913669065,0.007194244604316547,0.0539568345323741,0.0017985611510791368
Confrontation,0.12931034482758622,0.017241379310344827,0.11206896551724138,0.034482758620689655,0.08620689655172414,0.1206896551724138,0.10344827586206896,0.1206896551724138,0.10344827586206896,0.10344827586206896,0.06896551724137931
Déviations,#lisette,#frontin,#la-baronne,#le-laquais,#la-comtesse,#le-chevalier,#l-actrice,#l-abbe,#le-conseiller,#le-financier,#tous-les-hommes
#lisette,0.75,0.16666666666666666,0.0,0.16666666666666666,0.027777777777777776,0.3333333333333333,0.16666666666666666,0.6944444444444444,0.16666666666666666,0.16666666666666666,0.08333333333333333
#frontin,0.16666666666666666,8.333333333333336,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666
#la-baronne,0.0,0.6666666666666666,5.333333333333335,2.6666666666666674,0.0,0.0833333333333333,0.1666666666666667,1.0,0.1666666666666667,0.1666666666666667,1.3333333333333337
#le-laquais,0.16666666666666666,0.3333333333333333,2.6666666666666674,8.333333333333336,0.5,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666
#la-comtesse,0.027777777777777776,0.5,0.0,0.5,6.75,1.0,0.5,0.08333333333333333,0.5,0.5,2.25
#le-chevalier,0.3333333333333333,0.6666666666666666,0.0833333333333333,0.6666666666666666,1.0,5.333333333333335,2.6666666666666674,1.0,2.6666666666666674,2.6666666666666674,1.3333333333333337
#l-actrice,0.16666666666666666,0.3333333333333333,0.1666666666666667,0.3333333333333333,0.5,2.6666666666666674,8.333333333333336,4.5,8.333333333333336,8.333333333333336,4.166666666666668
#l-abbe,0.6944444444444444,0.5,1.0,0.5,0.08333333333333333,1.0,4.5,6.75,4.5,4.5,2.25
#l-actrice,0.16666666666666666,0.3333333333333333,0.1666666666666667,0.3333333333333333,0.5,2.6666666666666674,8.333333333333336,4.5,8.333333333333336,8.333333333333336,4.166666666666668
#l-actrice,0.16666666666666666,0.3333333333333333,0.1666666666666667,0.3333333333333333,0.5,2.6666666666666674,8.333333333333336,4.5,8.333333333333336,8.333333333333336,4.166666666666668
#tous-les-hommes,0.08333333333333333,0.16666666666666666,1.3333333333333337,0.16666666666666666,2.25,1.3333333333333337,4.166666666666668,2.25,4.166666666666668,4.166666666666668,10.083333333333332
Successions,#lisette,#frontin,#la-baronne,#le-laquais,#la-comtesse,#le-chevalier,#l-actrice,#l-abbe,#le-conseiller,#le-financier,#tous-les-hommes
#lisette,0.0425531914893617,0.3404255319148936,0.3829787234042553,0.0,0.0425531914893617,0.1702127659574468,0.02127659574468085,0.0,0.0,0.0,0.0
#frontin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-baronne,0.4722222222222222,0.027777777777777776,0.0,0.05555555555555555,0.05555555555555555,0.0,0.1111111111111111,0.08333333333333333,0.027777777777777776,0.16666666666666666,0.0
#le-laquais,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#la-comtesse,0.125,0.0,0.3125,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.34782608695652173,0.0,0.043478260869565216,0.0,0.4782608695652174,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.0
#l-actrice,0.05555555555555555,0.0,0.16666666666666666,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.1111111111111111,0.2777777777777778,0.0
#l-abbe,0.0,0.0,0.2,0.0,0.0,0.13333333333333333,0.3333333333333333,0.0,0.0,0.26666666666666666,0.06666666666666667
#le-conseiller,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
#le-financier,0.0,0.0,0.23529411764705882,0.0,0.058823529411764705,0.11764705882352941,0.29411764705882354,0.29411764705882354,0.0,0.0,0.0
#tous-les-hommes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
