VALEUR,#argire,#celiante,#placide,#policandre,#celanire,#belise,#birene,#cleomedon,#oronte,#timante,#creon,#clorimante
Fréquences (scènes),0.13043478260869565,0.21739130434782608,0.08695652173913043,0.34782608695652173,0.5652173913043478,0.30434782608695654,0.2608695652173913,0.30434782608695654,0.21739130434782608,0.21739130434782608,0.08695652173913043,0.17391304347826086
Fréquences(répliques),0.12511627906976744,0.09581395348837209,0.03906976744186046,0.09767441860465116,0.1655813953488372,0.08976744186046512,0.02930232558139535,0.21348837209302327,0.06325581395348837,0.04837209302325581,0.0037209302325581397,0.02883720930232558
Confrontation,0.07386363636363637,0.09090909090909091,0.028409090909090908,0.14772727272727273,0.16477272727272727,0.09659090909090909,0.06818181818181818,0.09659090909090909,0.05113636363636364,0.056818181818181816,0.03409090909090909,0.09090909090909091
Déviations,#argire,#celiante,#placide,#policandre,#celanire,#belise,#birene,#cleomedon,#oronte,#timante,#creon,#clorimante
#argire,17.39130434782609,8.452173913043477,2.094202898550724,0.8768115942028987,0.05462653288740246,1.2939958592132503,0.7826086956521738,0.008281573498964792,0.6521739130434783,0.6521739130434783,0.2608695652173913,4.188405797101448
#celiante,8.452173913043477,14.08695652173913,0.7347826086956523,0.03913043478260871,0.010702341137123789,1.4360248447204964,1.3043478260869565,0.17888198757763982,0.0069565217391304255,1.0869565217391304,0.43478260869565216,1.4695652173913045
#placide,2.094202898550724,0.7347826086956523,19.17391304347826,0.1331521739130435,0.01505016722408025,0.6086956521739131,0.43840579710144933,0.6086956521739131,0.43478260869565216,0.43478260869565216,0.17391304347826086,0.34782608695652173
#policandre,0.8768115942028987,0.03913043478260871,0.1331521739130435,9.782608695652174,0.05058528428093653,0.13121118012422353,0.0036231884057970967,0.13121118012422353,0.31413043478260866,0.9141304347826088,0.1331521739130435,1.8600543478260871
#celanire,0.054626532887402546,0.010702341137123789,0.01505016722408025,0.05058528428093653,4.347826086956526,1.055422838031534,0.5707915273132661,0.2752030578117536,2.826086956521739,0.24147157190635432,0.01505016722408025,0.0301003344481605
#belise,1.2939958592132506,1.4360248447204973,0.6086956521739131,0.13121118012422353,1.055422838031534,11.130434782608695,1.826086956521739,0.5998225377107366,1.5217391304347825,1.5217391304347825,0.6086956521739131,0.5031055900621116
#birene,0.7826086956521738,1.3043478260869565,0.43840579710144933,0.0036231884057970967,0.5707915273132664,1.8260869565217392,12.56521739130435,0.016563146997929584,2.2043478260869565,1.3043478260869565,0.5217391304347826,0.8768115942028987
#cleomedon,0.008281573498964814,0.17888198757763968,0.6086956521739131,0.13121118012422353,0.2752030578117536,0.5998225377107366,0.01656314699792963,11.130434782608695,1.5217391304347825,0.1503105590062113,0.2515527950310558,0.03881987577639754
#oronte,0.6521739130434783,0.0069565217391304255,0.43478260869565216,0.31413043478260866,2.826086956521739,1.5217391304347827,2.2043478260869565,1.5217391304347827,14.08695652173913,0.0069565217391304255,0.7347826086956523,1.4695652173913045
#timante,0.6521739130434783,1.0869565217391304,0.43478260869565216,0.9141304347826088,0.24147157190635432,1.5217391304347827,1.3043478260869565,0.1503105590062111,0.0069565217391304255,14.08695652173913,5.634782608695653,0.8695652173913043
#creon,0.2608695652173913,0.43478260869565216,0.17391304347826086,0.1331521739130435,0.01505016722408025,0.6086956521739131,0.5217391304347826,0.2515527950310558,0.7347826086956523,5.634782608695653,19.17391304347826,0.34782608695652173
#clorimante,4.188405797101448,1.4695652173913045,0.34782608695652173,1.8600543478260871,0.0301003344481605,0.5031055900621116,0.8768115942028987,0.03881987577639754,1.4695652173913045,0.8695652173913043,0.34782608695652173,15.695652173913043
Successions,#argire,#celiante,#placide,#policandre,#celanire,#belise,#birene,#cleomedon,#oronte,#timante,#creon,#clorimante
#argire,0.0,0.08823529411764706,0.38235294117647056,0.23529411764705882,0.029411764705882353,0.029411764705882353,0.0,0.058823529411764705,0.0,0.0,0.0,0.17647058823529413
#celiante,0.1111111111111111,0.0,0.0,0.1111111111111111,0.25,0.1111111111111111,0.0,0.027777777777777776,0.3888888888888889,0.0,0.0,0.0
#placide,0.8666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#policandre,0.19148936170212766,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.06382978723404255,0.0425531914893617,0.1276595744680851,0.2127659574468085,0.0425531914893617,0.0425531914893617,0.0,0.14893617021276595
#celanire,0.013888888888888888,0.1527777777777778,0.0,0.08333333333333333,0.027777777777777776,0.3194444444444444,0.041666666666666664,0.2777777777777778,0.0,0.06944444444444445,0.0,0.013888888888888888
#belise,0.03125,0.15625,0.0,0.03125,0.71875,0.03125,0.0,0.0,0.0,0.03125,0.0,0.0
#birene,0.0,0.0,0.0,0.20833333333333334,0.25,0.0,0.0,0.375,0.125,0.0,0.0,0.041666666666666664
#cleomedon,0.044444444444444446,0.0,0.0,0.17777777777777778,0.5111111111111111,0.022222222222222223,0.2222222222222222,0.0,0.0,0.022222222222222223,0.0,0.0
#oronte,0.0,0.3684210526315789,0.0,0.05263157894736842,0.0,0.0,0.07894736842105263,0.02631578947368421,0.0,0.2894736842105263,0.05263157894736842,0.13157894736842105
#timante,0.0,0.0,0.0,0.14285714285714285,0.23809523809523808,0.0,0.0,0.047619047619047616,0.47619047619047616,0.0,0.09523809523809523,0.0
#creon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
#clorimante,0.25,0.0,0.0,0.3,0.0,0.0,0.1,0.05,0.3,0.0,0.0,0.0
