VALEUR,#apollon,#les-muses,#la-gloire,#l-amour,#le-choeur,#doris,#egle,#hesiode,#un-songe,#euterpe,#ovide,#erithie,#homme,#chef-des-sarmates,#ovide #erithie,#anacreon,#polycrate,#troupe-de-sammiennes,#themire,#themire #anacreon
Fréquences (scènes),0.0,0.0,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.09523809523809523
Fréquences(répliques),0.0429553264604811,0.013745704467353952,0.03608247422680412,0.048109965635738834,0.10996563573883161,0.044673539518900345,0.04639175257731959,0.07560137457044673,0.020618556701030927,0.024054982817869417,0.10481099656357389,0.05154639175257732,0.018900343642611683,0.001718213058419244,0.01718213058419244,0.1323024054982818,0.10996563573883161,0.01718213058419244,0.06701030927835051,0.01718213058419244
Confrontation,0.0,0.0,0.030303030303030304,0.030303030303030304,0.16666666666666666,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.10606060606060606,0.06060606060606061,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.030303030303030304,0.07575757575757576,0.06060606060606061
Déviations,#apollon,#les-muses,#la-gloire,#l-amour,#le-choeur,#doris,#egle,#hesiode,#un-songe,#euterpe,#ovide,#erithie,#homme,#chef-des-sarmates,#ovide #erithie,#anacreon,#polycrate,#troupe-de-sammiennes,#themire,#themire #anacreon
#apollon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#apollon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-gloire,0.0,0.0,19.047619047619047,19.047619047619047,1.7857142857142858,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.09523809523809523
#la-gloire,0.0,0.0,19.047619047619047,19.047619047619047,1.7857142857142858,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.09523809523809523
#le-choeur,0.0,0.0,1.7857142857142858,1.7857142857142858,10.714285714285714,0.3214285714285715,0.5714285714285714,0.017857142857142842,0.2857142857142857,0.2857142857142857,0.642857142857143,0.023809523809523826,1.7857142857142858,1.7857142857142858,1.7857142857142858,0.017857142857142842,1.4285714285714284,0.2857142857142857,1.1428571428571428,0.5714285714285714
#doris,0.0,0.0,0.09523809523809523,0.09523809523809523,0.3214285714285715,17.190476190476193,3.4404761904761907,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.38095238095238093,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.38095238095238093,0.47619047619047616,0.09523809523809523,0.38095238095238093,0.19047619047619047
