VALEUR,#robert,#finette,#sainville,#sainville-fils,#agathine,#dormel,#agathine #sainville-fils #finette,#jacques,#choeur,#les-fiances,#le-notaire,#sainville-fils #agathine
Fréquences (scènes),0.4166666666666667,0.5833333333333334,0.75,0.5,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Fréquences(répliques),0.12874251497005987,0.1317365269461078,0.25149700598802394,0.0688622754491018,0.08682634730538923,0.2215568862275449,0.005988023952095809,0.0748502994011976,0.020958083832335328,0.008982035928143712,0.0,0.0
Confrontation,0.08947368421052632,0.14210526315789473,0.1368421052631579,0.1368421052631579,0.12631578947368421,0.08421052631578947,0.021052631578947368,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
Déviations,#robert,#finette,#sainville,#sainville-fils,#agathine,#dormel,#agathine #sainville-fils #finette,#jacques,#choeur,#les-fiances,#le-notaire,#sainville-fils #agathine
#robert,4.083333333333332,0.002380952380952364,0.016666666666666666,0.1,0.003333333333333345,0.5633333333333335,0.41666666666666663,0.8166666666666669,0.8166666666666669,0.8166666666666669,0.8166666666666669,0.8166666666666669
#finette,0.002380952380952364,2.083333333333332,0.011904761904761904,1.7857142857142858,1.4880952380952377,0.28809523809523824,0.2976190476190477,0.2976190476190477,0.2976190476190477,0.2976190476190477,0.2976190476190477,0.2976190476190477
#sainville,0.016666666666666666,0.011904761904761904,0.75,0.05555555555555555,0.016666666666666666,0.15,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#sainville-fils,0.1,1.7857142857142858,0.05555555555555555,3.0,2.5,0.1,0.5,0.5,0.5,0.5,0.5,0.5
#agathine,0.003333333333333345,1.4880952380952377,0.016666666666666666,2.5,4.083333333333332,0.003333333333333345,0.8166666666666669,0.8166666666666669,0.8166666666666669,0.8166666666666669,0.8166666666666669,0.8166666666666669
#dormel,0.5633333333333335,0.28809523809523824,0.15,0.1,0.003333333333333345,4.083333333333332,0.8166666666666669,0.8166666666666669,0.8166666666666669,0.8166666666666669,0.8166666666666669,0.8166666666666669
#agathine #sainville-fils #finette,0.4166666666666667,0.29761904761904756,0.75,0.5,0.8166666666666664,0.8166666666666664,10.083333333333332,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#jacques,0.8166666666666664,0.29761904761904756,0.08333333333333333,0.5,0.8166666666666664,0.8166666666666664,0.08333333333333333,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332
#jacques,0.8166666666666664,0.29761904761904756,0.08333333333333333,0.5,0.8166666666666664,0.8166666666666664,0.08333333333333333,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332
#jacques,0.8166666666666664,0.29761904761904756,0.08333333333333333,0.5,0.8166666666666664,0.8166666666666664,0.08333333333333333,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332
#jacques,0.8166666666666664,0.29761904761904756,0.08333333333333333,0.5,0.8166666666666664,0.8166666666666664,0.08333333333333333,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332
#jacques,0.8166666666666664,0.29761904761904756,0.08333333333333333,0.5,0.8166666666666664,0.8166666666666664,0.08333333333333333,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332
Successions,#robert,#finette,#sainville,#sainville-fils,#agathine,#dormel,#agathine #sainville-fils #finette,#jacques,#choeur,#les-fiances,#le-notaire,#sainville-fils #agathine
#robert,0.0,0.35185185185185186,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0
#finette,0.46153846153846156,0.0,0.10256410256410256,0.1282051282051282,0.20512820512820512,0.07692307692307693,0.0,0.02564102564102564,0.0,0.0,0.0,0.0
#sainville,0.28125,0.0390625,0.015625,0.0390625,0.0390625,0.546875,0.0,0.015625,0.0078125,0.0,0.0078125,0.0078125
#sainville-fils,0.0,0.30434782608695654,0.17391304347826086,0.0,0.17391304347826086,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0
#agathine,0.0,0.22727272727272727,0.22727272727272727,0.2727272727272727,0.0,0.22727272727272727,0.0,0.045454545454545456,0.0,0.0,0.0,0.0
#dormel,0.0,0.031578947368421054,0.7578947368421053,0.07368421052631578,0.042105263157894736,0.021052631578947368,0.021052631578947368,0.042105263157894736,0.0,0.0,0.0,0.010526315789473684
#agathine #sainville-fils #finette,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#jacques,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
#choeur,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
#les-fiances,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agathine #sainville-fils #finette,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#sainville-fils #agathine,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
