VALEUR,#dufour,#manette,#duval-fils,#lestanville,#moderantin,#duval-pere,#julie,#le-premier-commissaire,#le-second-commissaire,#fablenville,#le-juge,#le-juge-de-paix
Fréquences (scènes),0.6111111111111112,0.2777777777777778,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.05555555555555555
Fréquences(répliques),0.23183925811437403,0.09119010819165378,0.07882534775888717,0.04173106646058733,0.30602782071097373,0.14837712519319937,0.02936630602782071,0.023183925811437404,0.0061823802163833074,0.03554868624420402,0.0061823802163833074,0.0015455950540958269
Confrontation,0.14705882352941177,0.1,0.10588235294117647,0.03529411764705882,0.16470588235294117,0.07058823529411765,0.07058823529411765,0.1,0.01764705882352941,0.08235294117647059,0.052941176470588235,0.052941176470588235
Déviations,#dufour,#manette,#duval-fils,#lestanville,#moderantin,#duval-pere,#julie,#le-premier-commissaire,#le-second-commissaire,#fablenville,#le-juge,#le-juge-de-paix
#dufour,2.722222222222221,0.29191919191919175,1.4848484848484853,0.015151515151515166,0.7424242424242422,0.37878787878787873,0.37878787878787873,0.08080808080808072,0.2474747474747476,0.37878787878787873,0.2474747474747476,0.2474747474747476
#manette,0.29191919191919175,9.38888888888889,0.06666666666666674,0.8333333333333333,0.03333333333333328,0.03333333333333337,0.03333333333333337,0.711111111111111,0.2777777777777778,1.6333333333333337,1.8777777777777775,1.8777777777777775
#duval-fils,1.4848484848484842,0.06666666666666664,8.0,1.0,1.0,0.0,0.0,0.0833333333333333,0.3333333333333333,0.0,1.3333333333333337,1.3333333333333337
#lestanville,0.015151515151515122,0.8333333333333334,1.0,12.5,0.0,0.5,0.5,0.6666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666
#moderantin,0.7424242424242428,0.03333333333333336,1.0,0.0,2.0,0.5,0.5,0.6666666666666669,0.1666666666666667,0.5,0.1666666666666667,0.1666666666666667
#duval-pere,0.37878787878787884,0.03333333333333332,0.0,0.5,0.5,12.5,4.5,0.1666666666666667,0.16666666666666666,0.5,4.166666666666668,4.166666666666668
#julie,0.37878787878787884,0.03333333333333332,0.0,0.5,0.5,4.5,12.5,0.1666666666666667,0.16666666666666666,0.5,4.166666666666668,4.166666666666668
#le-premier-commissaire,0.08080808080808087,0.711111111111111,0.0833333333333333,0.6666666666666666,0.6666666666666669,0.1666666666666667,0.1666666666666667,10.88888888888889,2.7222222222222223,8.16666666666667,2.7222222222222223,2.7222222222222223
#le-second-commissaire,0.24747474747474738,0.2777777777777778,0.3333333333333333,0.16666666666666666,0.1666666666666667,0.16666666666666666,0.16666666666666666,2.7222222222222223,16.055555555555557,0.16666666666666666,0.05555555555555555,0.05555555555555555
#fablenville,0.37878787878787884,1.6333333333333329,0.0,0.5,0.5,0.5,0.5,8.16666666666667,0.16666666666666666,12.5,4.166666666666668,4.166666666666668
#le-juge,0.24747474747474738,1.8777777777777775,1.3333333333333337,0.16666666666666666,0.1666666666666667,4.166666666666668,4.166666666666668,2.7222222222222223,0.05555555555555555,4.166666666666668,16.055555555555557,16.055555555555557
#le-juge,0.24747474747474738,1.8777777777777775,1.3333333333333337,0.16666666666666666,0.1666666666666667,4.166666666666668,4.166666666666668,2.7222222222222223,0.05555555555555555,4.166666666666668,16.055555555555557,16.055555555555557
Successions,#dufour,#manette,#duval-fils,#lestanville,#moderantin,#duval-pere,#julie,#le-premier-commissaire,#le-second-commissaire,#fablenville,#le-juge,#le-juge-de-paix
#dufour,0.0,0.4166666666666667,0.25,0.08333333333333333,0.22916666666666666,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0
#manette,0.68,0.0,0.08,0.0,0.16,0.0,0.0,0.04,0.0,0.04,0.0,0.0
#duval-fils,0.7,0.05,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lestanville,0.25,0.0,0.16666666666666666,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#moderantin,0.18840579710144928,0.0,0.043478260869565216,0.08695652173913043,0.028985507246376812,0.37681159420289856,0.057971014492753624,0.08695652173913043,0.028985507246376812,0.10144927536231885,0.0,0.0
#duval-pere,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0
#julie,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-premier-commissaire,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
#le-second-commissaire,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
#fablenville,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.1,0.0
#le-juge,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-juge-de-paix,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
