VALEUR,#pan,#bacchus,#melpomene,#apollon,#hebe,#venus,#mars,#pluton,#diane,#endymion,#le-choeur,#choeur-des-dieux,#le-choeur-des-dieux
Fréquences (scènes),0.08333333333333333,0.75,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
Fréquences(répliques),0.046153846153846156,0.2846153846153846,0.020512820512820513,0.01282051282051282,0.04358974358974359,0.05384615384615385,0.017948717948717947,0.10256410256410256,0.24615384615384617,0.14615384615384616,0.020512820512820513,0.002564102564102564,0.002564102564102564
Confrontation,0.00909090909090909,0.14545454545454545,0.00909090909090909,0.1,0.1,0.09090909090909091,0.00909090909090909,0.1,0.1,0.09090909090909091,0.08181818181818182,0.08181818181818182,0.08181818181818182
Déviations,#pan,#bacchus,#melpomene,#apollon,#hebe,#venus,#mars,#pluton,#diane,#endymion,#le-choeur,#choeur-des-dieux,#le-choeur-des-dieux
#pan,10.083333333333332,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
#bacchus,0.08333333333333333,0.75,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.6944444444444444,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
#melpomene,0.08333333333333333,0.08333333333333333,10.083333333333332,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
#apollon,0.16666666666666666,0.16666666666666666,0.16666666666666666,8.333333333333336,8.333333333333336,1.3333333333333337,0.16666666666666666,0.1666666666666667,0.5,1.3333333333333337,4.166666666666668,4.166666666666668,4.166666666666668
#apollon,0.16666666666666666,0.16666666666666666,0.16666666666666666,8.333333333333336,8.333333333333336,1.3333333333333337,0.16666666666666666,0.1666666666666667,0.5,1.3333333333333337,4.166666666666668,4.166666666666668,4.166666666666668
#venus,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.3333333333333337,1.3333333333333337,8.333333333333336,0.16666666666666666,0.1666666666666667,0.5,1.3333333333333337,4.166666666666668,4.166666666666668,4.166666666666668
#mars,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,10.083333333333332,0.3333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
#pluton,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.3333333333333333,5.333333333333335,1.0,0.1666666666666667,1.3333333333333337,1.3333333333333337,1.3333333333333337
#diane,0.25,0.6944444444444444,0.25,0.5,0.5,0.5,0.25,1.0,6.75,4.5,2.25,2.25,2.25
#endymion,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.3333333333333337,1.3333333333333337,1.3333333333333337,0.16666666666666666,0.1666666666666667,4.5,8.333333333333336,4.166666666666668,4.166666666666668,4.166666666666668
#le-choeur,0.08333333333333333,0.08333333333333333,0.08333333333333333,4.166666666666668,4.166666666666668,4.166666666666668,0.08333333333333333,1.3333333333333337,2.25,4.166666666666668,10.083333333333332,10.083333333333332,10.083333333333332
