VALEUR,#roxelane,#rustan,#soliman,#celonide,#asterie,#zatime,#le-capigi,#ibrahim,#achomat,#zaïde
Fréquences (scènes),0.20689655172413793,0.13793103448275862,0.5517241379310345,0.3448275862068966,0.3448275862068966,0.034482758620689655,0.034482758620689655,0.1724137931034483,0.27586206896551724,0.034482758620689655
Fréquences(répliques),0.1861092380310182,0.053270397842211735,0.26365475387727577,0.14430209035738367,0.08766014834794336,0.0013486176668914363,0.0020229265003371545,0.1335131490222522,0.12542144302090358,0.0026972353337828725
Confrontation,0.07608695652173914,0.06521739130434782,0.2391304347826087,0.16304347826086957,0.17391304347826086,0.010869565217391304,0.03260869565217391,0.09782608695652174,0.13043478260869565,0.010869565217391304
Déviations,#roxelane,#rustan,#soliman,#celonide,#asterie,#zatime,#le-capigi,#ibrahim,#achomat,#zaïde
#roxelane,18.24137931034483,0.03591954022988506,0.5186781609195402,2.0689655172413794,0.0022988505747126528,3.040229885057472,0.20689655172413793,1.0344827586206897,0.2593390804597701,0.20689655172413793
#rustan,0.03591954022988506,21.551724137931032,0.28502155172413796,0.10431034482758625,1.3793103448275863,0.13793103448275862,5.387931034482758,0.6896551724137931,1.103448275862069,0.13793103448275862
#soliman,0.5186781609195402,0.28502155172413796,5.8275862068965525,0.417241379310345,0.04849137931034489,0.5517241379310345,0.36422413793103453,0.02112068965517238,0.03879310344827585,0.5517241379310345
#celonide,2.0689655172413794,0.10431034482758625,0.417241379310345,12.44827586206896,0.058275862068965574,0.3448275862068966,1.2448275862068965,0.9441379310344825,0.2086206896551725,1.2448275862068965
#asterie,0.0022988505747126528,1.3793103448275863,0.04849137931034489,0.058275862068965574,12.44827586206896,0.3448275862068966,0.3448275862068966,0.04413793103448272,0.5586206896551722,0.3448275862068966
#zatime,3.040229885057472,0.13793103448275862,0.5517241379310345,0.3448275862068966,0.3448275862068966,27.034482758620694,0.034482758620689655,0.1724137931034483,0.27586206896551724,0.034482758620689655
#le-capigi,0.20689655172413793,5.387931034482758,0.36422413793103453,1.2448275862068965,0.3448275862068966,0.034482758620689655,27.034482758620694,0.1724137931034483,0.27586206896551724,0.034482758620689655
#ibrahim,1.0344827586206897,0.6896551724137931,0.02112068965517238,0.9441379310344825,0.04413793103448272,0.1724137931034483,0.1724137931034483,19.862068965517242,0.10431034482758625,0.1724137931034483
#achomat,0.2593390804597701,1.103448275862069,0.03879310344827585,0.2086206896551725,0.5586206896551722,0.27586206896551724,0.27586206896551724,0.10431034482758625,15.20689655172414,0.27586206896551724
#zaïde,0.20689655172413793,0.13793103448275862,0.5517241379310345,1.2448275862068965,0.3448275862068966,0.034482758620689655,0.034482758620689655,0.1724137931034483,0.27586206896551724,27.034482758620694
Successions,#roxelane,#rustan,#soliman,#celonide,#asterie,#zatime,#le-capigi,#ibrahim,#achomat,#zaïde
#roxelane,0.05714285714285714,0.2571428571428571,0.17142857142857143,0.0,0.2,0.02857142857142857,0.0,0.0,0.2857142857142857,0.0
#rustan,0.6428571428571429,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#soliman,0.11290322580645161,0.08064516129032258,0.04838709677419355,0.24193548387096775,0.0967741935483871,0.0,0.03225806451612903,0.20967741935483872,0.1774193548387097,0.0
#celonide,0.0,0.0,0.41025641025641024,0.0,0.20512820512820512,0.0,0.0,0.20512820512820512,0.15384615384615385,0.02564102564102564
#asterie,0.2,0.0,0.23333333333333334,0.3333333333333333,0.03333333333333333,0.0,0.0,0.1,0.1,0.0
#zatime,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-capigi,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#ibrahim,0.0,0.0,0.5,0.25,0.20833333333333334,0.0,0.0,0.0,0.0,0.041666666666666664
#achomat,0.36666666666666664,0.0,0.36666666666666664,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,0.0
#zaïde,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
