VALEUR,#alonse,#enrique,#blanche,#jacinte,#don-lope,#don-sanche,#cassandre,#flore,#don-alvar,#don-ramire,#brave-1er,#brave-2eme,#brave-3eme,#don-louis
Fréquences (scènes),0.10810810810810811,0.05405405405405406,0.21621621621621623,0.35135135135135137,0.5405405405405406,0.21621621621621623,0.35135135135135137,0.10810810810810811,0.40540540540540543,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703
Fréquences(répliques),0.06768660176170607,0.027816411682892908,0.02086230876216968,0.16504404265183126,0.2573018080667594,0.09921186833565136,0.13166434863235976,0.00927213722763097,0.1998145572554474,0.01576263328697265,0.0004636068613815484,0.0009272137227630969,0.0009272137227630969,0.003245248029670839
Confrontation,0.024390243902439025,0.024390243902439025,0.07926829268292683,0.13414634146341464,0.1951219512195122,0.07926829268292683,0.1402439024390244,0.04878048780487805,0.18902439024390244,0.006097560975609756,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.006097560975609756
Déviations,#alonse,#enrique,#blanche,#jacinte,#don-lope,#don-sanche,#cassandre,#flore,#don-alvar,#don-ramire,#brave-1er,#brave-2eme,#brave-3eme,#don-louis
#alonse,29.43243243243243,2.8412162162162162,0.02111486486486485,1.4054054054054055,0.6246621621621622,0.02111486486486485,1.4054054054054055,0.43243243243243246,1.6216216216216217,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.10810810810810811
#enrique,2.8412162162162162,33.108108108108105,0.43243243243243246,0.7027027027027027,1.0810810810810811,0.43243243243243246,0.12577962577962573,2.8412162162162162,0.044144144144144117,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406
#blanche,0.02111486486486485,0.43243243243243246,22.72972972972973,0.5031185031185029,0.024324324324324357,0.30785472972972977,2.810810810810811,0.8648648648648649,0.01824324324324327,0.21621621621621623,0.21621621621621623,0.21621621621621623,0.21621621621621623,0.21621621621621623
#jacinte,1.4054054054054055,0.7027027027027027,0.5031185031185029,15.567567567567563,0.5847193347193348,0.012733887733887712,0.4492243723012954,0.11694386694386699,0.9779625779625779,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137
#don-lope,0.6246621621621622,1.0810810810810811,0.024324324324324357,0.5847193347193348,7.810810810810811,1.2493243243243244,0.15010395010395014,2.1621621621621623,0.4414414414414411,0.5405405405405406,0.39054054054054044,0.39054054054054044,0.39054054054054044,0.39054054054054044
#don-sanche,0.02111486486486485,0.43243243243243246,0.30785472972972977,0.012733887733887712,1.2493243243243244,22.72972972972973,1.1665800415800416,0.8648648648648649,0.17657657657657647,2.8412162162162162,0.21621621621621623,0.21621621621621623,0.21621621621621623,0.21621621621621623
