VALEUR,#beronte,#le-balafre,#le-borgne,#le-bras-de-fer,#ragonde,#lucidor,#clorise,#florinde,#olympe,#tersandre
Fréquences (scènes),0.3870967741935484,0.16129032258064516,0.1935483870967742,0.1935483870967742,0.5161290322580645,0.22580645161290322,0.12903225806451613,0.22580645161290322,0.16129032258064516,0.3225806451612903
Fréquences(répliques),0.2704367301231803,0.03807390817469205,0.03471444568868981,0.052071668533034715,0.17469204927211646,0.0940649496080627,0.036394176931690926,0.08846584546472565,0.06159014557670773,0.14949608062709965
Confrontation,0.1506849315068493,0.08904109589041095,0.0958904109589041,0.0958904109589041,0.1780821917808219,0.10273972602739725,0.0547945205479452,0.0821917808219178,0.0684931506849315,0.0821917808219178
Déviations,#beronte,#le-balafre,#le-borgne,#le-bras-de-fer,#ragonde,#lucidor,#clorise,#florinde,#olympe,#tersandre
#beronte,11.645161290322584,0.5854838709677418,0.1975806451612905,0.1975806451612905,0.23000672043010745,0.18586789554531483,1.5483870967741935,2.7096774193548385,0.4521505376344086,0.32930107526881713
#le-balafre,0.5854838709677418,21.806451612903224,16.801075268817204,16.801075268817204,2.5806451612903225,1.129032258064516,0.6451612903225806,1.129032258064516,0.8064516129032258,1.6129032258064515
#le-borgne,0.1975806451612905,16.801075268817204,20.16129032258065,20.16129032258065,3.096774193548387,1.3548387096774193,0.7741935483870968,1.3548387096774193,0.967741935483871,1.935483870967742
#le-borgne,0.1975806451612905,16.801075268817204,20.16129032258065,20.16129032258065,3.096774193548387,1.3548387096774193,0.7741935483870968,1.3548387096774193,0.967741935483871,1.935483870967742
#ragonde,0.23000672043010745,2.5806451612903225,3.096774193548387,3.096774193548387,7.258064516129033,0.5325460829493088,0.4238911290322581,0.5325460829493088,2.268145161290323,0.905040322580645
#lucidor,0.18586789554531483,1.129032258064516,1.3548387096774193,1.3548387096774193,0.5325460829493088,18.580645161290327,1.3317972350230414,0.1112574061882818,0.6718894009216592,0.029493087557603638
#clorise,1.5483870967741935,0.6451612903225806,0.7741935483870968,0.7741935483870968,0.4238911290322581,1.3317972350230414,23.516129032258064,1.3317972350230414,0.6451612903225806,0.06532258064516128
#florinde,2.7096774193548385,1.129032258064516,1.3548387096774193,1.3548387096774193,0.5325460829493088,0.1112574061882818,1.3317972350230414,18.580645161290327,0.6718894009216592,0.7009216589861749
#olympe,0.4521505376344086,0.8064516129032258,0.967741935483871,0.967741935483871,2.268145161290323,0.6718894009216592,0.6451612903225806,0.6718894009216592,21.806451612903224,1.6129032258064515
#tersandre,0.32930107526881713,1.6129032258064515,1.935483870967742,1.935483870967742,0.905040322580645,0.029493087557603638,0.06532258064516128,0.7009216589861749,1.6129032258064515,14.225806451612906
Successions,#beronte,#le-balafre,#le-borgne,#le-bras-de-fer,#ragonde,#lucidor,#clorise,#florinde,#olympe,#tersandre
#beronte,0.010416666666666666,0.125,0.041666666666666664,0.08333333333333333,0.14583333333333334,0.03125,0.0,0.010416666666666666,0.09375,0.4583333333333333
#le-balafre,0.5714285714285714,0.0,0.14285714285714285,0.19047619047619047,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616
#le-borgne,0.20833333333333334,0.25,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
#le-bras-de-fer,0.23076923076923078,0.11538461538461539,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ragonde,0.1566265060240964,0.0,0.0,0.012048192771084338,0.0,0.21686746987951808,0.012048192771084338,0.1927710843373494,0.2289156626506024,0.18072289156626506
#lucidor,0.07462686567164178,0.0,0.0,0.0,0.2835820895522388,0.0,0.08955223880597014,0.1791044776119403,0.029850746268656716,0.34328358208955223
#clorise,0.0,0.0,0.0,0.0,0.058823529411764705,0.35294117647058826,0.0,0.23529411764705882,0.0,0.35294117647058826
#florinde,0.0,0.0,0.0,0.0,0.28888888888888886,0.3333333333333333,0.08888888888888889,0.0,0.1111111111111111,0.17777777777777778
#olympe,0.2777777777777778,0.0,0.0,0.0,0.5277777777777778,0.05555555555555555,0.0,0.1388888888888889,0.0,0.0
#tersandre,0.44554455445544555,0.0,0.0,0.0,0.15841584158415842,0.22772277227722773,0.0594059405940594,0.06930693069306931,0.0,0.039603960396039604
