VALEUR,#egine,#laodice,#annibal,#prusias,#amilcar,#flavius,#flaminius,#hieron
Fréquences (scènes),0.058823529411764705,0.3235294117647059,0.4117647058823529,0.35294117647058826,0.029411764705882353,0.029411764705882353,0.5,0.058823529411764705
Fréquences(répliques),0.007352941176470588,0.20098039215686275,0.30637254901960786,0.12745098039215685,0.012867647058823529,0.010416666666666666,0.3161764705882353,0.01838235294117647
Confrontation,0.03225806451612903,0.1774193548387097,0.25806451612903225,0.24193548387096775,0.016129032258064516,0.016129032258064516,0.22580645161290322,0.03225806451612903
Déviations,#egine,#laodice,#annibal,#prusias,#amilcar,#flavius,#flaminius,#hieron
#egine,30.11764705882353,2.828877005347594,0.8235294117647058,0.7058823529411765,0.058823529411764705,0.058823529411764705,1.0,0.11764705882352941
#laodice,2.828877005347594,15.558823529411764,0.0618792971734148,2.1399286987522284,0.3235294117647059,0.3235294117647059,0.4090909090909091,0.6470588235294118
#annibal,0.8235294117647058,0.0618792971734148,11.764705882352938,0.8578431372549017,0.8403361344537816,0.4117647058823529,1.2857142857142858,0.8235294117647058
#prusias,0.7058823529411764,2.1399286987522284,0.8578431372549017,14.235294117647058,0.3529411764705882,0.3529411764705882,0.16666666666666666,2.3725490196078436
#amilcar,0.058823529411764705,0.3235294117647059,0.8403361344537816,0.35294117647058826,32.029411764705884,0.029411764705882353,0.5,0.058823529411764705
#flavius,0.058823529411764705,0.3235294117647059,0.4117647058823529,0.35294117647058826,0.029411764705882353,32.029411764705884,0.5,0.058823529411764705
#flaminius,1.0,0.4090909090909091,1.2857142857142858,0.16666666666666666,0.5,0.5,8.5,1.0
#hieron,0.11764705882352941,0.6470588235294118,0.8235294117647058,2.3725490196078427,0.058823529411764705,0.058823529411764705,1.0,30.11764705882353
Successions,#egine,#laodice,#annibal,#prusias,#amilcar,#flavius,#flaminius,#hieron
#egine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#laodice,0.11428571428571428,0.02857142857142857,0.37142857142857144,0.02857142857142857,0.0,0.0,0.45714285714285713,0.0
#annibal,0.02631578947368421,0.23684210526315788,0.02631578947368421,0.3684210526315789,0.05263157894736842,0.0,0.2894736842105263,0.0
#prusias,0.0,0.030303030303030304,0.2727272727272727,0.0,0.0,0.0,0.5151515151515151,0.18181818181818182
#amilcar,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
#flavius,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0
#flaminius,0.019230769230769232,0.36538461538461536,0.25,0.21153846153846154,0.0,0.07692307692307693,0.07692307692307693,0.0
#hieron,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
