VALEUR,#caïphe,#pilate,#madeleine,#jesus,#un-docteur,#le-bourgeois,#un-pretre,#zeline,#un-autre-docteur,#un-negociant,#un-bourgeois,#la-femme,#le-disciple,#pierre,#un-disciple,#judas,#le-docteur,#le-peuple,#le-pretre,#un-membre-de-la-suite-de-caïphe,#l-un-d-eux
Fréquences (scènes),0.17543859649122806,0.21052631578947367,0.19298245614035087,0.2982456140350877,0.08771929824561403,0.017543859649122806,0.10526315789473684,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.07017543859649122,0.017543859649122806,0.03508771929824561,0.12280701754385964,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.017543859649122806
Fréquences(répliques),0.10376044568245125,0.27298050139275765,0.12395543175487465,0.2116991643454039,0.028551532033426183,0.004178272980501393,0.057103064066852366,0.006963788300835654,0.00766016713091922,0.022284122562674095,0.05153203342618384,0.001392757660167131,0.004178272980501393,0.04874651810584958,0.018105849582172703,0.00766016713091922,0.003481894150417827,0.003481894150417827,0.008356545961002786,0.005571030640668524,0.008356545961002786
Confrontation,0.10465116279069768,0.1511627906976744,0.05813953488372093,0.20930232558139536,0.08139534883720931,0.011627906976744186,0.046511627906976744,0.011627906976744186,0.023255813953488372,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.023255813953488372,0.09302325581395349,0.023255813953488372,0.03488372093023256,0.023255813953488372,0.05813953488372093,0.0,0.011627906976744186,0.0
Déviations,#caïphe,#pilate,#madeleine,#jesus,#un-docteur,#le-bourgeois,#un-pretre,#zeline,#un-autre-docteur,#un-negociant,#un-bourgeois,#la-femme,#le-disciple,#pierre,#un-disciple,#judas,#le-docteur,#le-peuple,#le-pretre,#un-membre-de-la-suite-de-caïphe,#l-un-d-eux
#caïphe,38.75438596491228,0.38026315789473697,1.9298245614035086,0.32363261093911244,0.8771929824561403,0.17543859649122806,0.8526315789473685,0.17543859649122806,0.17543859649122806,0.5263157894736842,0.7017543859649122,0.17543859649122806,0.3508771929824561,1.2280701754385963,0.5263157894736842,0.3508771929824561,0.17543859649122806,1.2008771929824562,0.17543859649122806,3.875438596491229,0.17543859649122806
#pilate,0.38026315789473697,35.526315789473685,0.7476076555023925,1.8583591331269345,0.0026315789473684154,0.21052631578947367,1.263157894736842,0.21052631578947367,2.960526315789474,0.21491228070175444,0.8421052631578947,0.21052631578947367,0.42105263157894735,0.1522556390977443,0.21491228070175444,0.7960526315789475,0.21052631578947367,5.921052631578948,0.21052631578947367,0.21052631578947367,0.21052631578947367
#madeleine,1.9298245614035086,0.7476076555023925,37.12280701754386,0.4999530912843606,0.9649122807017543,0.19298245614035087,1.1578947368421053,3.3748006379585336,0.19298245614035087,0.5789473684210527,0.7719298245614035,0.19298245614035087,0.38596491228070173,0.09113693324219639,0.5789473684210527,0.38596491228070173,0.19298245614035087,0.38596491228070173,0.19298245614035087,0.19298245614035087,0.19298245614035087
#jesus,0.32363261093911244,1.8583591331269345,0.4999530912843606,28.070175438596504,0.1735810113519092,1.6511867905056758,1.789473684210526,0.2982456140350877,0.2982456140350877,0.894736842105263,0.031217750257997917,1.6511867905056758,0.2729618163054696,1.751584844464102,0.894736842105263,0.2729618163054696,1.6511867905056758,0.2729618163054696,0.2982456140350877,0.2982456140350877,0.2982456140350877
#un-docteur,0.8771929824561403,0.0026315789473684154,0.9649122807017543,0.1735810113519092,47.438596491228076,0.08771929824561403,4.1263157894736855,0.08771929824561403,9.487719298245613,0.2631578947368421,0.3508771929824561,0.08771929824561403,0.17543859649122806,0.6140350877192982,0.2631578947368421,0.17543859649122806,9.487719298245613,0.17543859649122806,0.08771929824561403,0.08771929824561403,0.08771929824561403
#le-bourgeois,0.17543859649122806,0.21052631578947367,0.19298245614035087,1.6511867905056758,0.08771929824561403,55.017543859649116,0.10526315789473684,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.07017543859649122,0.017543859649122806,0.03508771929824561,0.12280701754385964,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.017543859649122806
#un-pretre,0.8526315789473685,1.263157894736842,1.1578947368421053,1.789473684210526,4.1263157894736855,0.10526315789473684,45.63157894736842,0.10526315789473684,0.10526315789473684,0.3157894736842105,0.42105263157894735,0.10526315789473684,0.21052631578947367,0.7368421052631579,0.3157894736842105,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.10526315789473684
