VALEUR,#le-marquis,#lepine,#dainval,#julie,#marton,#le-baron,#blaise,#la-baronne,#le-baron #la-baronne,#le-baron #la-baronne #blaise
Fréquences (scènes),0.5789473684210527,0.15789473684210525,0.47368421052631576,0.3684210526315789,0.2631578947368421,0.42105263157894735,0.3684210526315789,0.3684210526315789,0.05263157894736842,0.05263157894736842
Fréquences(répliques),0.37101063829787234,0.011968085106382979,0.11303191489361702,0.09308510638297872,0.05452127659574468,0.1675531914893617,0.07712765957446809,0.10372340425531915,0.006648936170212766,0.0013297872340425532
Confrontation,0.15625,0.0375,0.11875,0.1125,0.0875,0.1625,0.14375,0.13125,0.01875,0.03125
Déviations,#le-marquis,#lepine,#dainval,#julie,#marton,#le-baron,#blaise,#la-baronne,#le-baron #la-baronne,#le-baron #la-baronne #blaise
#le-marquis,3.368421052631579,0.91866028708134,0.008506113769271646,1.0396445659603553,0.003827751196172273,0.08612440191387565,0.0006835269993164658,0.27341079972658905,0.5789473684210527,0.30622009569377984
#lepine,0.9186602870813396,13.473684210526315,0.2358674463937622,1.1052631578947367,0.7894736842105263,0.05482456140350875,1.1052631578947367,1.1052631578947367,0.15789473684210525,0.15789473684210525
#dainval,0.008506113769271717,0.2358674463937622,5.263157894736844,0.14118629908103608,0.790643274853801,0.16447368421052624,0.5221386800334167,0.5221386800334167,0.47368421052631576,0.47368421052631576
#julie,1.0396445659603553,1.1052631578947367,0.14118629908103608,7.57894736842105,0.013533834586466174,0.0009398496240601563,0.06874328678839955,0.06874328678839955,1.0827067669172932,0.3684210526315789
#marton,0.0038277511961722402,0.7894736842105263,0.790643274853801,0.013533834586466174,10.31578947368421,0.005263157894736831,2.5278195488721806,0.38496240601503756,0.2631578947368421,2.0631578947368427
#le-baron,0.08612440191387565,0.05482456140350875,0.16447368421052624,0.0009398496240601563,0.005263157894736831,6.36842105263158,1.4295112781954888,3.1616541353383463,0.7960526315789475,0.7960526315789475
#blaise,0.0006835269993164658,1.1052631578947367,0.5221386800334167,0.06874328678839955,2.5278195488721806,1.4295112781954888,7.57894736842105,0.7830290010741139,0.3684210526315789,1.0827067669172932
#la-baronne,0.27341079972658905,1.1052631578947367,0.5221386800334167,0.06874328678839955,0.38496240601503756,3.1616541353383463,0.7830290010741139,7.57894736842105,1.0827067669172932,1.0827067669172932
#le-baron #la-baronne,0.5789473684210527,0.15789473684210525,0.47368421052631576,1.0827067669172932,0.2631578947368421,0.7960526315789475,0.3684210526315789,1.0827067669172932,17.05263157894737,0.05263157894736842
#le-baron #la-baronne #blaise,0.30622009569377984,0.15789473684210525,0.47368421052631576,0.3684210526315789,2.0631578947368427,0.7960526315789475,1.0827067669172932,1.0827067669172932,0.05263157894736842,17.05263157894737
Successions,#le-marquis,#lepine,#dainval,#julie,#marton,#le-baron,#blaise,#la-baronne,#le-baron #la-baronne,#le-baron #la-baronne #blaise
#le-marquis,0.014084507042253521,0.07042253521126761,0.36619718309859156,0.07042253521126761,0.08450704225352113,0.19718309859154928,0.07042253521126761,0.11267605633802817,0.0,0.014084507042253521
#lepine,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#dainval,0.6666666666666666,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.23076923076923078,0.0,0.0,0.0,0.0
#julie,0.29411764705882354,0.0,0.11764705882352941,0.0,0.35294117647058826,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0
#marton,0.3333333333333333,0.0,0.06666666666666667,0.4,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
#le-baron,0.35294117647058826,0.058823529411764705,0.11764705882352941,0.0196078431372549,0.0196078431372549,0.0,0.11764705882352941,0.29411764705882354,0.0196078431372549,0.0
#blaise,0.125,0.0,0.0,0.125,0.0625,0.5,0.0,0.1875,0.0,0.0
#la-baronne,0.25806451612903225,0.0,0.0967741935483871,0.0,0.0,0.5483870967741935,0.06451612903225806,0.03225806451612903,0.0,0.0
#le-baron #la-baronne,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
#le-baron #la-baronne #blaise,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
