VALEUR,#philotas,#sitalce,#alexandre,#ephestion,#le-capitaine,#ophis,#zonime,#sysigambis,#statira,#le-soldat,#nicandre,#zaminte
Fréquences (scènes),0.1951219512195122,0.24390243902439024,0.4146341463414634,0.17073170731707318,0.0975609756097561,0.34146341463414637,0.0975609756097561,0.2682926829268293,0.21951219512195122,0.024390243902439025,0.04878048780487805,0.04878048780487805
Fréquences(répliques),0.09935205183585313,0.1771058315334773,0.2634989200863931,0.08207343412526998,0.01511879049676026,0.15910727141828654,0.017998560115190784,0.12311015118790497,0.033837293016558675,0.008639308855291577,0.013678905687544997,0.0064794816414686825
Confrontation,0.08870967741935484,0.06451612903225806,0.13709677419354838,0.07258064516129033,0.04032258064516129,0.1774193548387097,0.06451612903225806,0.13709677419354838,0.1532258064516129,0.024193548387096774,0.024193548387096774,0.016129032258064516
Déviations,#philotas,#sitalce,#alexandre,#ephestion,#le-capitaine,#ophis,#zonime,#sysigambis,#statira,#le-soldat,#nicandre,#zaminte
#philotas,26.5609756097561,0.5637195121951221,1.6185437589670013,0.29442508710801385,0.7804878048780488,1.0977787456445993,0.7804878048780488,0.0099778270509978,0.32554200542005424,3.320121951219513,0.3902439024390244,0.3902439024390244
#sitalce,0.5637195121951221,23.4390243902439,1.1110473457675756,1.707317073170732,0.975609756097561,0.5860627177700352,0.975609756097561,1.0556541019955656,2.1951219512195124,0.24390243902439024,0.4878048780487805,0.4878048780487805
#alexandre,1.6185437589670015,1.1110473457675756,14.048780487804878,0.4150440664070503,1.0850071736011475,1.3552982168477152,1.6585365853658538,0.5342376418416593,3.731707317073171,0.41463414634146345,0.03515064562410327,0.8292682926829269
#ephestion,0.2944250871080136,1.707317073170732,0.4150440664070503,28.195121951219505,0.6829268292682928,0.8086112493778003,0.6829268292682928,0.4105163129553376,0.18737901664730947,0.1707317073170732,0.3414634146341464,0.3414634146341464
#le-capitaine,0.7804878048780488,0.975609756097561,1.085007173601148,0.6829268292682927,33.390243902439025,0.09799651567944256,0.3902439024390244,1.0731707317073171,0.016937669376693765,0.0975609756097561,0.1951219512195122,0.1951219512195122
#ophis,1.0977787456446,0.5860627177700352,1.3552982168477152,0.8086112493778003,0.09799651567944268,17.780487804878042,5.080139372822297,0.8210326259106752,2.7874564459930298,0.3414634146341464,2.5400696864111487,0.6829268292682928
#zonime,0.7804878048780488,0.975609756097561,1.6585365853658536,0.6829268292682927,0.3902439024390244,5.080139372822298,33.390243902439025,0.0049889135254989,5.128048780487805,0.0975609756097561,0.1951219512195122,0.1951219512195122
#sysigambis,0.0099778270509978,1.0556541019955652,0.5342376418416588,0.4105163129553374,1.0731707317073171,0.8210326259106748,0.0049889135254989,21.951219512195124,2.768169499876817,1.9955654101995564,0.5365853658536586,0.4002217294900221
#statira,0.32554200542005424,2.1951219512195124,3.73170731707317,0.18737901664730935,0.016937669376693765,2.7874564459930316,5.128048780487805,2.768169499876816,24.975609756097562,2.7750677506775068,0.43902439024390244,0.7168021680216804
#le-soldat,3.320121951219513,0.24390243902439024,0.4146341463414634,0.17073170731707318,0.0975609756097561,0.34146341463414637,0.0975609756097561,1.9955654101995564,2.7750677506775068,39.02439024390243,0.04878048780487805,0.04878048780487805
#nicandre,0.3902439024390244,0.4878048780487805,0.03515064562410332,0.34146341463414637,0.1951219512195122,2.540069686411149,0.1951219512195122,0.5365853658536586,0.43902439024390244,0.04878048780487805,37.09756097560975,0.0975609756097561
#zaminte,0.3902439024390244,0.4878048780487805,0.8292682926829268,0.34146341463414637,0.1951219512195122,0.6829268292682927,0.1951219512195122,0.4002217294900221,0.7168021680216804,0.04878048780487805,0.0975609756097561,37.09756097560975
Successions,#philotas,#sitalce,#alexandre,#ephestion,#le-capitaine,#ophis,#zonime,#sysigambis,#statira,#le-soldat,#nicandre,#zaminte
#philotas,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0
#sitalce,0.4117647058823529,0.0,0.17647058823529413,0.0,0.0,0.29411764705882354,0.0,0.11764705882352941,0.0,0.0,0.0,0.0
#alexandre,0.02040816326530612,0.10204081632653061,0.08163265306122448,0.14285714285714285,0.10204081632653061,0.3469387755102041,0.0,0.20408163265306123,0.0,0.0,0.0,0.0
#ephestion,0.26666666666666666,0.0,0.4,0.0,0.0,0.13333333333333333,0.0,0.2,0.0,0.0,0.0,0.0
#le-capitaine,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
#ophis,0.018518518518518517,0.18518518518518517,0.25925925925925924,0.018518518518518517,0.018518518518518517,0.0,0.07407407407407407,0.16666666666666666,0.16666666666666666,0.0,0.07407407407407407,0.018518518518518517
#zonime,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
#sysigambis,0.05405405405405406,0.16216216216216217,0.24324324324324326,0.05405405405405406,0.0,0.24324324324324326,0.0,0.02702702702702703,0.21621621621621623,0.0,0.0,0.0
#statira,0.0,0.0,0.0,0.10526315789473684,0.0,0.3684210526315789,0.15789473684210525,0.3684210526315789,0.0,0.0,0.0,0.0
#le-soldat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#nicandre,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#zaminte,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
