VALEUR,#pasquin,#dorante,#lisette,#colin,#agathe,#nanette,#nicaise,#atgathe,#le-choeur,#pierrot,#le-village
Fréquences (scènes),0.625,0.4583333333333333,0.5,0.16666666666666666,0.375,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
Fréquences(répliques),0.09722222222222222,0.3194444444444444,0.2361111111111111,0.05555555555555555,0.0,0.125,0.08333333333333333,0.0,0.05555555555555555,0.0,0.027777777777777776
Confrontation,0.18382352941176472,0.14705882352941177,0.18382352941176472,0.10294117647058823,0.16911764705882354,0.029411764705882353,0.007352941176470588,0.022058823529411766,0.051470588235294115,0.051470588235294115,0.051470588235294115
Déviations,#pasquin,#dorante,#lisette,#colin,#agathe,#nanette,#nicaise,#atgathe,#le-choeur,#pierrot,#le-village
#pasquin,3.375,0.0022727272727272726,0.03333333333333333,0.1,0.06944444444444445,1.25,0.625,0.225,0.05,0.225,0.225
#dorante,0.0022727272727272726,7.04166666666667,0.4090909090909091,0.37878787878787873,0.003787878787878788,0.9166666666666666,0.4583333333333333,0.6401515151515154,0.007575757575757583,0.6401515151515154,0.6401515151515154
#lisette,0.03333333333333333,0.4090909090909091,6.0,2.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5
#colin,0.1,0.37878787878787873,2.0,16.66666666666667,1.5,1.3333333333333337,0.16666666666666666,0.16666666666666666,1.3333333333333337,4.166666666666668,4.166666666666668
#agathe,0.06944444444444445,0.003787878787878788,0.5,1.5,9.375,0.08333333333333333,0.375,1.0416666666666667,0.08333333333333333,1.0416666666666667,1.0416666666666667
#nanette,1.25,0.9166666666666666,0.0,1.3333333333333337,0.08333333333333333,20.166666666666664,10.083333333333332,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
#nicaise,0.625,0.4583333333333333,0.5,0.16666666666666666,0.375,10.083333333333332,22.04166666666667,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664
#atgathe,0.225,0.6401515151515154,0.5,0.16666666666666666,1.0416666666666667,0.08333333333333333,0.041666666666666664,22.04166666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664
#le-choeur,0.05,0.007575757575757583,0.0,1.3333333333333337,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,20.166666666666664,10.083333333333332,10.083333333333332
#pierrot,0.225,0.6401515151515154,0.5,4.166666666666668,1.0416666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,10.083333333333332,22.04166666666667,22.04166666666667
#pierrot,0.225,0.6401515151515154,0.5,4.166666666666668,1.0416666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,10.083333333333332,22.04166666666667,22.04166666666667
Successions,#pasquin,#dorante,#lisette,#colin,#agathe,#nanette,#nicaise,#atgathe,#le-choeur,#pierrot,#le-village
#pasquin,0.02564102564102564,0.5384615384615384,0.2564102564102564,0.05128205128205128,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0
#dorante,0.6619718309859155,0.04225352112676056,0.14084507042253522,0.0,0.07042253521126761,0.028169014084507043,0.0,0.014084507042253521,0.028169014084507043,0.014084507042253521,0.0
#lisette,0.25806451612903225,0.24193548387096775,0.04838709677419355,0.1935483870967742,0.22580645161290322,0.03225806451612903,0.0,0.0,0.0,0.0,0.0
#colin,0.21739130434782608,0.0,0.4782608695652174,0.0,0.2608695652173913,0.043478260869565216,0.0,0.0,0.0,0.0,0.0
#agathe,0.21052631578947367,0.23684210526315788,0.3684210526315789,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nanette,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
#nicaise,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#atgathe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#pierrot,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-village,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
