VALEUR,#mathurine,#colette,#madame-thomas,#lucas,#le-magister,#valere,#monsieur-griffart,#arlequin
Fréquences (scènes),0.3888888888888889,0.5,0.3333333333333333,0.4444444444444444,0.2777777777777778,0.16666666666666666,0.1111111111111111,0.16666666666666666
Fréquences(répliques),0.08847184986595175,0.2975871313672922,0.21447721179624665,0.17158176943699732,0.07238605898123325,0.03753351206434316,0.005361930294906166,0.1126005361930295
Confrontation,0.17857142857142858,0.19047619047619047,0.15476190476190477,0.17857142857142858,0.07142857142857142,0.09523809523809523,0.03571428571428571,0.09523809523809523
Déviations,#mathurine,#colette,#madame-thomas,#lucas,#le-magister,#valere,#monsieur-griffart,#arlequin
#mathurine,6.722222222222222,1.7857142857142858,0.1904761904761907,0.00396825396825394,0.4587301587301589,0.02380952380952377,0.7777777777777776,0.02380952380952377
#colette,1.7857142857142858,4.5,0.3333333333333333,0.25,0.1,0.16666666666666666,1.0,0.16666666666666666
#madame-thomas,0.19047619047619038,0.3333333333333333,8.0,0.6666666666666669,0.2666666666666667,0.0,0.1666666666666667,0.0
#lucas,0.0039682539682539715,0.25,0.6666666666666669,5.555555555555556,2.2222222222222223,0.3333333333333334,0.8888888888888888,2.083333333333334
#le-magister,0.4587301587301587,0.1,0.26666666666666655,2.2222222222222223,9.38888888888889,0.8333333333333333,3.755555555555555,0.8333333333333333
#valere,0.02380952380952383,0.16666666666666666,0.0,0.3333333333333334,0.8333333333333334,12.5,0.3333333333333333,4.5
#monsieur-griffart,0.7777777777777778,1.0,0.1666666666666667,0.8888888888888888,3.755555555555555,0.3333333333333333,14.222222222222221,0.3333333333333333
#arlequin,0.02380952380952383,0.16666666666666666,0.0,2.083333333333334,0.8333333333333334,4.5,0.3333333333333333,12.5
Successions,#mathurine,#colette,#madame-thomas,#lucas,#le-magister,#valere,#monsieur-griffart,#arlequin
#mathurine,0.0,0.4186046511627907,0.4186046511627907,0.13953488372093023,0.023255813953488372,0.0,0.0,0.0
#colette,0.32142857142857145,0.05357142857142857,0.08928571428571429,0.25,0.08928571428571429,0.19642857142857142,0.0,0.0
#madame-thomas,0.22666666666666666,0.0,0.0,0.48,0.14666666666666667,0.02666666666666667,0.05333333333333334,0.06666666666666667
#lucas,0.10810810810810811,0.22972972972972974,0.40540540540540543,0.0,0.0,0.04054054054054054,0.0,0.21621621621621623
#le-magister,0.0,0.17391304347826086,0.4782608695652174,0.0,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.0
#valere,0.0,0.6363636363636364,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0,0.09090909090909091
#monsieur-griffart,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
#arlequin,0.041666666666666664,0.0,0.125,0.625,0.0,0.20833333333333334,0.0,0.0
