VALEUR,#joseph,#choeur,#choeur-des-garçons,#martin,#martin #joseph,#les-garçons,#juliette,#duchatel,#blondin,#ensemble,#duvivier,#virginie,#mademoiselle-bernard,#mademoiselle-bernard #virginie,#juliette #mademoiselle-bernard #virginie,#tous,#saint-eloy,#un-amateur,#un-autre-amateur,#duchatel #saint-eloy,#choeur-general
Fréquences (scènes),0.26666666666666666,0.3333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.4,0.5333333333333333,0.5333333333333333,0.06666666666666667,0.2,0.2,0.2,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
Fréquences(répliques),0.033846153846153845,0.12615384615384614,0.012307692307692308,0.055384615384615386,0.018461538461538463,0.021538461538461538,0.12923076923076923,0.16615384615384615,0.3323076923076923,0.018461538461538463,0.012307692307692308,0.0,0.0,0.012307692307692308,0.012307692307692308,0.024615384615384615,0.012307692307692308,0.0,0.0,0.0,0.012307692307692308
Confrontation,0.03896103896103896,0.10064935064935066,0.006493506493506494,0.05194805194805195,0.00974025974025974,0.00974025974025974,0.09415584415584416,0.09740259740259741,0.09740259740259741,0.006493506493506494,0.045454545454545456,0.08116883116883117,0.08116883116883117,0.025974025974025976,0.025974025974025976,0.08116883116883117,0.048701298701298704,0.012987012987012988,0.012987012987012988,0.03571428571428571,0.03571428571428571
Déviations,#joseph,#choeur,#choeur-des-garçons,#martin,#martin #joseph,#les-garçons,#juliette,#duchatel,#blondin,#ensemble,#duvivier,#virginie,#mademoiselle-bernard,#mademoiselle-bernard #virginie,#juliette #mademoiselle-bernard #virginie,#tous,#saint-eloy,#un-amateur,#un-autre-amateur,#duchatel #saint-eloy,#choeur-general
#joseph,8.066666666666668,0.3333333333333334,2.016666666666667,0.049999999999999975,2.016666666666667,2.016666666666667,0.22500000000000006,0.6020833333333333,0.00833333333333333,0.26666666666666666,0.8000000000000002,0.049999999999999975,0.049999999999999975,0.26666666666666666,0.26666666666666666,1.0666666666666667,0.5333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
#choeur,0.3333333333333334,6.666666666666668,1.3333333333333337,0.0,0.3333333333333333,0.3333333333333333,0.5,0.041666666666666706,0.041666666666666706,0.3333333333333333,0.0,4.0,4.0,1.3333333333333337,1.3333333333333337,2.083333333333334,2.6666666666666674,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337
#choeur-des-garçons,2.016666666666667,1.3333333333333337,13.066666666666668,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.4000000000000001,0.5333333333333333,0.5333333333333333,0.06666666666666667,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#martin,0.049999999999999975,0.0,0.20000000000000004,9.599999999999998,3.2000000000000006,3.2000000000000006,0.03333333333333339,0.22500000000000006,0.22500000000000006,0.20000000000000004,3.2666666666666657,0.2666666666666665,0.2666666666666665,0.20000000000000004,0.20000000000000004,1.7999999999999998,0.8999999999999999,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006
#martin #joseph,2.016666666666667,0.3333333333333333,0.06666666666666667,3.2000000000000006,13.066666666666668,13.066666666666668,0.4000000000000001,0.5333333333333333,0.5333333333333333,0.06666666666666667,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#martin #joseph,2.016666666666667,0.3333333333333333,0.06666666666666667,3.2000000000000006,13.066666666666668,13.066666666666668,0.4000000000000001,0.5333333333333333,0.5333333333333333,0.06666666666666667,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
