VALEUR,#lisette,#lucrece,#clarice,#beatrix,#ragotin,#clindor,#clidamant,#guillot,#l-homme,#le-petit-laquais
Fréquences (scènes),0.2608695652173913,0.43478260869565216,0.34782608695652173,0.17391304347826086,0.2608695652173913,0.21739130434782608,0.43478260869565216,0.4782608695652174,0.043478260869565216,0.043478260869565216
Fréquences(répliques),0.07662082514734773,0.1650294695481336,0.12180746561886051,0.015717092337917484,0.13654223968565815,0.05206286836935167,0.13359528487229863,0.29273084479371314,0.0029469548133595285,0.0029469548133595285
Confrontation,0.10869565217391304,0.13768115942028986,0.14492753623188406,0.08695652173913043,0.050724637681159424,0.07971014492753623,0.18115942028985507,0.18840579710144928,0.007246376811594203,0.014492753623188406
Déviations,#lisette,#lucrece,#clarice,#beatrix,#ragotin,#clindor,#clidamant,#guillot,#l-homme,#le-petit-laquais
#lisette,12.56521739130435,0.14202898550724638,1.7536231884057973,3.6684782608695654,1.5652173913043477,1.3043478260869565,0.05869565217391303,0.0059288537549406824,0.2608695652173913,0.2608695652173913
#lucrece,0.14202898550724638,7.347826086956523,0.07826086956521743,0.31413043478260866,0.14202898550724638,0.313913043478261,0.4178260869565216,0.6644268774703557,0.43478260869565216,0.7347826086956523
#clarice,1.7536231884057973,0.07826086956521743,9.782608695652174,4.891304347826087,2.0869565217391304,1.7391304347826086,0.07826086956521743,0.007905138339920938,0.34782608695652173,0.34782608695652173
#beatrix,3.6684782608695654,0.31413043478260866,4.891304347826087,15.695652173913043,1.0434782608695652,0.8695652173913043,0.03913043478260871,0.003952569169960469,0.17391304347826086,0.17391304347826086
#ragotin,1.5652173913043477,0.14202898550724638,2.0869565217391304,1.0434782608695652,12.56521739130435,2.2043478260869565,0.9920289855072464,1.218050065876153,0.2608695652173913,0.2608695652173913
#clindor,1.3043478260869565,0.313913043478261,1.7391304347826086,0.8695652173913043,2.2043478260869565,14.08695652173913,0.013913043478260851,0.06403162055335967,0.21739130434782608,2.8173913043478267
#clidamant,0.05869565217391303,0.4178260869565216,0.07826086956521743,0.03913043478260871,0.9920289855072464,0.013913043478260851,7.347826086956523,5.691699604743083,0.43478260869565216,0.43478260869565216
#guillot,0.005928853754940723,0.6644268774703557,0.007905138339920938,0.003952569169960469,1.2180500658761526,0.06403162055335967,5.691699604743083,6.260869565217391,0.5691699604743082,0.4782608695652174
#l-homme,0.2608695652173913,0.43478260869565216,0.34782608695652173,0.17391304347826086,0.2608695652173913,0.21739130434782608,0.43478260869565216,0.5691699604743082,21.043478260869566,0.043478260869565216
#le-petit-laquais,0.2608695652173913,0.7347826086956523,0.34782608695652173,0.17391304347826086,0.2608695652173913,2.8173913043478267,0.43478260869565216,0.4782608695652174,0.043478260869565216,21.043478260869566
Successions,#lisette,#lucrece,#clarice,#beatrix,#ragotin,#clindor,#clidamant,#guillot,#l-homme,#le-petit-laquais
#lisette,0.0,0.38095238095238093,0.19047619047619047,0.09523809523809523,0.0,0.0,0.2857142857142857,0.047619047619047616,0.0,0.0
#lucrece,0.1836734693877551,0.0,0.14285714285714285,0.02040816326530612,0.32653061224489793,0.20408163265306123,0.04081632653061224,0.061224489795918366,0.0,0.02040816326530612
#clarice,0.043478260869565216,0.21739130434782608,0.0,0.08695652173913043,0.0,0.0,0.43478260869565216,0.21739130434782608,0.0,0.0
#beatrix,0.3333333333333333,0.0,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0
#ragotin,0.0,0.5483870967741935,0.03225806451612903,0.0,0.0,0.3870967741935484,0.03225806451612903,0.0,0.0,0.0
#clindor,0.0,0.22857142857142856,0.02857142857142857,0.0,0.4,0.0,0.08571428571428572,0.22857142857142856,0.0,0.02857142857142857
#clidamant,0.06666666666666667,0.02666666666666667,0.21333333333333335,0.013333333333333334,0.0,0.02666666666666667,0.0,0.6533333333333333,0.0,0.0
#guillot,0.039473684210526314,0.02631578947368421,0.17105263157894737,0.013157894736842105,0.013157894736842105,0.14473684210526316,0.5526315789473685,0.0,0.039473684210526314,0.0
#l-homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#le-petit-laquais,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
