VALEUR,#hippolyte,#theramene,#oenone,#phedre,#panope,#aricie,#ismene,#thesee
Fréquences (scènes),0.32142857142857145,0.14285714285714285,0.32142857142857145,0.42857142857142855,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.42857142857142855
Fréquences(répliques),0.21281599059376838,0.10817166372721929,0.12992357436801882,0.2863021751910641,0.022339800117577895,0.0823045267489712,0.019988242210464434,0.13815402704291593
Confrontation,0.16129032258064516,0.08064516129032258,0.1774193548387097,0.20967741935483872,0.08064516129032258,0.0967741935483871,0.016129032258064516,0.1774193548387097
Déviations,#hippolyte,#theramene,#oenone,#phedre,#panope,#aricie,#ismene,#thesee
#hippolyte,12.89285714285714,2.2857142857142865,0.2755731922398591,2.1164021164021163,0.9642857142857142,0.09603174603174601,0.3214285714285714,0.894179894179894
#theramene,2.285714285714285,20.571428571428577,1.2857142857142858,1.7142857142857142,0.42857142857142855,0.11428571428571427,0.14285714285714285,0.29761904761904756
#oenone,0.2755731922398591,1.2857142857142856,12.89285714285714,2.560846560846562,0.00132275132275133,1.6071428571428572,0.3214285714285714,2.1164021164021163
#phedre,2.116402116402117,1.7142857142857142,2.56084656084656,9.142857142857146,0.396825396825397,2.142857142857143,0.42857142857142855,0.8928571428571425
#panope,0.9642857142857144,0.42857142857142855,0.0013227513227513134,0.396825396825397,22.321428571428577,0.5357142857142857,0.10714285714285714,0.396825396825397
#aricie,0.09603174603174601,0.11428571428571437,1.6071428571428572,2.142857142857143,0.5357142857142857,18.89285714285714,3.7785714285714285,0.009523809523809516
#ismene,0.32142857142857145,0.14285714285714285,0.32142857142857145,0.42857142857142855,0.10714285714285714,3.778571428571428,26.03571428571429,0.42857142857142855
#thesee,0.8941798941798945,0.29761904761904756,2.116402116402117,0.8928571428571425,0.396825396825397,0.009523809523809516,0.42857142857142855,9.142857142857146
Successions,#hippolyte,#theramene,#oenone,#phedre,#panope,#aricie,#ismene,#thesee
#hippolyte,0.0,0.3170731707317073,0.024390243902439025,0.14634146341463414,0.0,0.1951219512195122,0.024390243902439025,0.2926829268292683
#theramene,0.7058823529411765,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.23529411764705882
#oenone,0.020833333333333332,0.0,0.020833333333333332,0.8541666666666666,0.041666666666666664,0.0,0.0,0.0625
#phedre,0.15254237288135594,0.0,0.6779661016949152,0.03389830508474576,0.01694915254237288,0.0,0.0,0.11864406779661017
#panope,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.3333333333333333
#aricie,0.36363636363636365,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.2727272727272727,0.2727272727272727
#ismene,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#thesee,0.32432432432432434,0.10810810810810811,0.08108108108108109,0.16216216216216217,0.08108108108108109,0.1891891891891892,0.0,0.05405405405405406
